1,INT CASTLE,182
2,INT ROOM,26
3,INT CASTLE,6
4,INT BASEMENT,62
5,INT CRYPT,54
6,INT BASEMENT,6
7,INT CRYPT,15
8,INT ABYSS,99
9,EXT WINDOW,5
10,INT BANQUET ROOM,136
11,EXT CASTLE,36
12,EXT MARSHALL UNIVERSITY  A FEW DAYS LATER,3
13,INT INDIANA JONES OFFICE,200
14,INT HISTORY MUSEUM  PREHISTORIC ROOM,380
15,EXT CENTRAL MOZAMBIQUE  BEIRA  A HOT SUNNY AFTERNOON,277
16,INT HOTEL,5
17,INT ROOM,8
18,INT OPENING,53
19,EXT ZOOLOGICAL COMPOUND,18
20,INT CAGE,26
21,EXT COMPOOND,5
22,INT CAGE,94
23,INT CAGE,65
24,INT DASHIELLS BAR,104
25,EXT ZOOLOGICAL COMPOUND,40
26,INT DASHIELLS BAR,84
27,INT COMPOUND,22
28,EXT ZOOLOGICAL COMPOUND,134
29,INT WAREHOUSE,145
30,EXT ZAMBESI RIVER  THE FOLLOWING DAY,368
31,INT LOWER CABIN  KITCHEN,75
32,EXT RIVER BOAT  TOP DECK,13
33,EXT RIVER BOAT  TOP DECK,10
34,EXT PIRATE SHIP,4
35,INT CANNON COMPARTMENT,8
36,EXT PIRATE SHIP  TOP DECK,4
37,INT CANNON COMPARTMENT,8
38,EXT PIRATE SHIP  TOP DECK,10
39,EXT RIVER BOAT  TOP DECK,9
40,EXT PIRATE SHIP  TOP DECK,41
41,EXT RIVER BOAT,11
42,INT BEHIND THE WATERFALL,94
43,INT WATER CURTAIN CAVE  THAT NIGHT,115
44,EXT JUNGLE PLAINS  THE FOLLOWING AFTERNOON,14
45,INT TAXI,19
46, PAINT T   RUN TOWARD   FIRING ARROWS,14
47,INT JUNGLE,87
48,EXT MONGOOBO VILLAGE,37
49,INT GRASS HUT,12
50,EXT MONGOOBOO VILLAGE  DAWN,7
51,INT GRASS HUT,18
52,EXT VILLAGE,16
53,EXT MONGOOBOO VILLAGE,24
54,EXT VILLAGE,15
55,EXT VILLAGE,42
56,INT TANK,18
57,INT TANK,32
58,INT TANK,5
59,INT TANK,2
60,EXT PLAINS,3
61,INT TANK,2
62,EXT PLAINS,16
63,INT TANK,5
64,EXT TANK,6
65,INT TANK,14
66,EXT TANK,75
67,INT TANK,2
68,EXT PLAINS,33
69,INT TANK,4
70,EXT PLAINS,25
71,INT TANK,32
72,EXT PLAINS,51
73,INT TANK,105
74,EXT MOUNTAIN,2
75,INT TANK,8
76,EXT MOUNTAIN  A FEW HOURS LATER,20
77,INT TANK,21
78,EXT RAVINE,4
79,INT TANK,2
80,EXT RAVINE,7
81,INT TANK,2
82,EXT MOUNTAIN,5
83,INT TANK,5
84,EXT MOUNTAIN,4
85,INT TANK,4
86,EXT MOUNTAIN,7
87,INT TANK,3
88,EXT MOUNTAIN,71
89,INT CITY,93
90,INT PALACE  RULERS CHAMBER,15
91,INT DUNGEON,8
92,INT PALACE,116
93,EXT COLISEUM,6
94,INT COLISEUM,12
95,EXT CITY,4
96,EXT MOUNTAIN PATH,26
97,INT TRUCK,8
98,EXT MOUNTAIN PATH,8
99,INT CITY,72
100,EXT CITY,25
101,INT CITY,55
102,INT TANK,7
103,EXT TANK,15
104,INT SECOND TRUCK,7
105,INT FIRST TRUCK  CABIN,9
106,INT CITY,21
107,EXT ROOFTOP,43
108,INT CITY,56
109,INT TANK,4
110,EXT TANK,3
111,INT SECOND TANK,3
112,EXT TANK,3
113,INT GORILLA TANK,3
114,INT COLISEUM,55
115,INT TANK,3
116,EXT TANK,5
117,INT TANK,62
118,INT WALL,200
119,EXT CITY GATES  THE FOLLOWING MORNING,15
120,EXT MOUNTAIN PATH  A FEW HOURS LATER,73
121,EXT MOZAMBIQUE  DOCK  A FEW DAYS LATER,145
122,INT CLARES ROOM  THAT EVENING,11
123,EXT OCEAN  NIGHT,5
