1,INT DARKENED BEDROOM  NIGHT,29
2,INT CORRIDOR  CONTINUOUS,17
3,INT BEDROOM  NIGHT,14
4,INT LIVING ROOM LAMBERT HOME  NIGHT,115
5,INT KITCHEN LAMBERT HOME  MORNING,26
6,INT BATHROOM LAMBERT HOME  MORNING,18
7,INT KITCHEN LAMBERT HOME  MORNING,59
8,INT LIVING ROOM LAMBERT HOME  CONTINUOUS,5
9,INT KITCHEN LAMBERT HOME  CONTINUOUS,65
10,INT CLASSROOM FORRESTER HIGH SCHOOL  DAY,75
11,INT LIVING ROOM LAMBERT HOME  DAY,28
12,INT CALIS NURSERY  DAY,4
13,INT HALLWAY  CONTINUOUS,4
14,INT BASEMENT  CONTINUOUS,18
15,EXT LAMBERT HOME  NIGHT,4
16,INT LIVING ROOM LAMBERT HOME  NIGHT,27
17,INT CORRIDOR LAMBERT HOME  NIGHT,4
18,INT BASEMENT  NIGHT,10
19,INT LIVING ROOM  NIGHT,2
20,INT BASEMENT  NIGHT,8
21,INT LIVING ROOM  SAME TIME,6
22,INT BASEMENT  NIGHT,33
23,INT DALTONS BEDROOM  NIGHT,21
24,INT MASTER BEDROOM  NIGHT,73
25,INT LIVING ROOM  NIGHT,4
26,INT KITCHEN  NIGHT,2
27,INT HALLWAY  NIGHT,2
28,INT BASEMENT  NIGHT,2
29,INT FOSTERS BEDROOM  NIGHT,3
30,INT CALIS NURSERY  NIGHT,2
31,INT DALTONS BEDROOM  NIGHT,2
32,INT MASTER BEDROOM  NIGHT,4
33,INT KITCHEN  MORNING,13
34,INT DALTONS BEDROOM  CONTINUOUS,24
35,INT HOSPITAL ROOM ICU UNIT  DAY,81
36,INT DALTONS BEDROOM LAMBERT HOME  DAY,40
37,INT CORRIDOR  DAY,3
38,INT CALIS NURSERY  CONTINUOUS,4
39,INT LIVING ROOM  DAY,32
40,INT NURSERY  CONTINUOUS,8
41,INT KITCHEN  NIGHT,11
42,INT FOSTERS BEDROOM  NIGHT,50
43,INT MASTER BEDROOM  NIGHT,30
44,INT FRONT DOOR  NIGHT,15
45,INT MASTER BEDROOM  NIGHT,4
46,INT CORRIDOR  NIGHT,29
47,INT LIVING ROOM  CONTINUOUS,2
48,INT FRONT DOOR  CONTINUOUS,6
49,INT KITCHEN  CONTINUOUS,3
50,INT CORRIDOR  CONTINUOUS,2
51,INT DALTONS BEDROOM  CONTINUOUS,11
52,INT LAUNDRY  SAME TIME,6
53,EXT LAMBERT HOME  NIGHT,22
54,INT GYMNASIUM FORRESTER HIGH SCHOOL  DAY,37
55,INT GYMNASIUM FORRESTER HIGH SCHOOL  LATER,35
56,EXT PARK  NIGHT,3
57,INT MASTER BEDROOM  NIGHT,2
58,INT KITCHEN  NIGHT,3
59,INT CORRIDOR  NIGHT,9
60,EXT LAMBERT HOME,2
61,INT DALTONS BEDROOM  DAY,39
62,INT LIVING ROOM  DAY,2
63,INT BATHROOM  DAY,15
64,EXT LAMBERT HOME  NIGHT,63
65,INT LIVING ROOM  NIGHT,4
66,INT CORRIDOR  NIGHT,3
67,INT DALTONS BEDROOM  NIGHT,3
68,INT LIVING ROOM  NIGHT,3
69,INT MASTER BEDROOM  NIGHT,86
70,EXT SUBURBAN HOUSE  DAY,3
71,INT LIVING ROOM NEW HOUSE  DAY,43
72,INT DOCTORS OFFICE  DAY,36
73,INT DALTONS BEDROOM NEW HOUSE  DAY,3
74,INT LIVING ROOM NEW HOUSE  DAY,11
75,INT FOSTERS BEDROOM NEW HOUSE  CONTINUOUS,4
76,INT HALLWAY NEW HOUSE  CONTINUOUS,17
77,INT KITCHEN  CONTINUOUS,9
78,INT LIVING ROOM  CONTINUOUS,23
79,INT DALTONS BEDROOM  DAY,26
80,INT CLASSROOM FORRESTER HIGH SCHOOL  NIGHT,59
81,EXT NEW HOUSE  NIGHT,6
82,INT LIVING ROOM NEW HOUSE  NIGHT,128
83,INT KITCHEN NEW HOUSE  NIGHT,37
84,INT LIVING ROOM NEW HOUSE  DAY,25
85,EXT NEW HOUSE  DAY,2
86,INT LIVING ROOM NEW HOUSE  DAY,56
87,INT KITCHEN NEW HOUSE  DAY,12
88,INT LIVING ROOM SPECS APARTMENT  DAY,60
89,INT MASTER BEDROOM NEW HOUSE  DAY,28
90,INT CORRIDOR NEW HOUSE  LATER,14
