1,EXT CAVEMAN VILLAGE  THE PALEOLITHIC ERA  DAY,54
2,EXT CAVEMAN VILLAGE  THE PALEOLITHIC ERA  NIGHT,144
3,EXT JENNIFERS APARTMENT COMPLEX  NIGHT,6
4,INT JENNIFERS APARTMENT COMPLEX  SAME,83
5,INT MARKS VOLVO  NIGHT,56
6,INT LA BONISERA  NIGHT,8
7,INT LA BONISERA  NIGHT,185
8,EXT JENNIFERS APARTMENT COMPLEX  NIGHT,31
9,INT MARKS APARTMENT  BEDROOM  NIGHT,47
10,INT ELEVATOR  MARKS APARTMENT  MORNING,21
11,INT MARKS CAR  MORNING,31
12,EXT LECTURE FILMS  CAR LOT  DAY,21
13,INT LECTURE FILMS  LOBBY  MORNING,94
14,INT LECTURE FILMS  WRITERS OFFICES  MORNING,44
15,INT LECTURE FILMS  MARKS OFFICE  MORNING,74
16,INT LECTURE FILMS  WRITERS OFFICES  MORNING,54
17,EXT ELDERLY HOME  DAY,3
18,INT ELDERLY HOME  DAY,28
19,INT MARTHA SCHIFFMANS ROOM  DAY,104
20,INT BAR  AFTERNOON,70
21,INT MARKS APARTMENT  BEDROOM  NIGHT,24
22,INT MARKS APARTMENT  LIVING ROOM  AFTERNOON,33
23,INT MARKS APARTMENT BUILDING  HALLWAY  AFTERNOON,14
24,INT BANK  DAY,122
25,EXT STREET,3
26,INT MARKS APARTMENT BUILDING  UNIT A,27
27,INT MARKS APARTMENT  DAY,18
28,EXT BAR  DAY,151
29,EXT STREET  DAY,29
30,EXT A MOTEL  DAY,6
31,INT MOTEL  ROOM   DAY,68
32,EXT MOTEL  DAY,3
33,INT BAR  DUSK,38
34,INT MARKS CAR  NIGHT,98
35,EXT BELLAGIO  NIGHT,5
36,INT BELLAGIO  NIGHT,145
37,INT BELLAGIO  PENTHOUSE SUITE  DAY,79
38,INT MARKS APARTMENT BUILDING  LOBBY  MORNING,95
39,INT MARKS APARTMENT  NIGHT,95
40,INT MARKS BEDROOM  NIGHT,116
41,EXT LECTURE FILMS  CAR LOT  MORNING,9
42,INT LECTURE FILMS  WRITERS OFFICES  DAY,210
43,INT FANCY RESTAURANT  NIGHT,97
44,INT SUBURBAN HOUSE  DAY,15
45,INT FANCY RESTAURANT  NIGHT,99
46,INT HOSPITAL ROOM  DAY,143
47,INT MARKS CAR  MORNING,10
48,INT JENNIFERS APARTMENT  LIVING ROOM  NIGHT,22
49,INT MARKS CAR  MORNING,43
50,INT MARKS APARTMENT  DAY,49
51,EXT MARKS APARTMENT BUILDING  AFTERNOON,8
52,INT MARKS APARTMENT  LIVING ROOM  AFTERNOON,82
53,EXT MARKS APARTMENT BUILDING  NIGHT,5
54,INT MARKS APARTMENT  LIVING ROOM  NIGHT,19
55,INT MARKS APARTMENT  BEDROOM  NIGHT,22
56,INT MARKS APARTMENT  LIVING ROOM  NIGHT,21
57,EXT MARKS APARTMENT BUILDING  NIGHT,429
58,INT MARKS APARTMENT BUILDING  LOBBY  NIGHT,46
59,INT MARKS MANSION  DEN  EVENING,239
60,EXT MARKS MANSION  POOLSIDE  NIGHT,83
61,INT CONFERENCE ROOM  DAY,141
62,INT SUPER MARKET  DAY,15
63,INT BAR  MORNING,65
64,INT MARKS CAR  DAY,37
65,INT GRAVEYARD  AFTERNOON,32
66,INT MARKS MANSION  KITCHEN  NIGHT,98
67,INT MARKS HOUSE  BEDROOM  MORNING,6
68,EXT CHURCH  DAY,13
69,INT CHURCH  DAY,6
70,INT CHURCH  BRIDAL ROOM  DAY,20
71,INT CHURCH  DAY,108
