1,INT SHOP NR CHESTER SQUARE LONDON PRESENT DAWN,27
2,EXT STREET CHESTER SQUARE LONDON PRESENT DAWN,3
3,INT KITCHEN CHESTER SQUARE LONDON PRESENT DAY,42
4,INT CORRIDOR CHESTER SQUARE PRESENT DAY,16
5,INTHALL CHESTER SQUARE DAY,2
6,INT BEDROOM HOUSE CHESTER SQUARE LONDON PRESENTDAY,58
7,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,83
8,INT SADLERS WELLS LONDON  NIGHT,4
9,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,16
10,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,10
11,INT BACK PARLOUR SHOP GRANTHAM  DUSK,20
12,INT SHOP GRANTHAM  DUSK,9
13,INT BACK PARLOUR SHOP GRANTHAM  DUSK,10
14,INT SHOP GRANTHAM  DAY,12
15,INT HALL GRANTHAM  DAY,29
16,EXT STREET GRANTHAM  DAY,28
17,INT SHOP GRANTHAM  DAY,8
18,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,2
19,INT SHOP GRANTHAM  DAY,20
20,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,4
21,INT BEDROOM HOUSE CHESTER SQUARE LONDON PRESENTDAY,79
22,INTEXT BEDROOM CHESTER SQUARE PRESENT DAY,14
23,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,59
24,EXT GRAND HOTEL BRIGHTON  NIGHT,28
25,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT DAY,14
26,INTBEDROOM HOUSE CHESTER SQUARE LONDON PRESENTDUSK,74
27,INT CORRIDOR CHESTER SQUARE LONDON PRESENT EVENING,35
28,INT CORRIDORDARTFORD  EVENING,3
29,INT SITTING ROOM HOUSE DARTFORD  EVENING,13
30,INTDINING ROOM CHESTER SQUARE LONDON PRESENTEVENING,11
31,INT DINING ROOM HOUSE DARTFORD  EVENING,45
32,INT DINING ROOM CHESTER SQUARELONDONPRESENTEVENING,9
33,INT DINING ROOM HOUSE DARTFORD  EVENING,60
34,INT SITTING ROOM DARTFORD  EVENING,7
35,INTDINING ROOM,46
36,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT,40
37,INT DRESSING ROOM HOUSE CHESTER SQUARE PRESENTNIGHT,57
38,INT BEDROOM CHESTER SQUARE PRESENT NIGHT,26
39,INT SADLERS WELLS,11
40,INT TOWN HALL  NIGHT,112
41,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT,57
42,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENTNIGHT,13
43,INT HALLWAY HOUSE FARNBOROUGH KENT  DAWN,10
44,INT DRAWING ROOM CHESTER SQUARE LONDON PRESENT,67
45,INT HOUSE OF COMMONS CHAMBER  DAY,62
46,EXT WESTMINSTER STREET  DAY,17
47,INT CABINET ROOM DOWNING STREET  NIGHT,71
48,INT TOWN HALL  NIGHT,22
49,INT CAR STREET CENTRAL LONDON  DAWN,52
50,INT KITCHEN FLOOD STREET LONDON  DAWN,127
51,INT SITTING ROOM CHESTER SQ PRESENT NIGHT,9
52,INT KITCHEN FLOOD STREET LONDON  DAWN,8
53,INT SITTING ROOM CHESTER SQ PRESENT NIGHT,19
54,INT STUDIO LONDON  NIGHT,7
55,INT REECES OFFICE LONDON  DAY,110
56,INT REHEARSAL ROOM NATIONAL THEATRE LONDON  DAY,44
57,EXT YARD ICE CREAM FACTORY DAY,18
58,INT HAIR SALON LONDON  DAY,11
59,EXT YARD ICE CREAM FACTORY DAY,11
60,INT HAIR SALON LONDON  DAY,4
