1,INT BEDROOM  DAY,72
2,INT UPPER EAST SIDE APARTMENT BUILDING  STAIRCASE  DAY,2
3,EXT UPPER EAST SIDE  SIDEWALK  DAY,201
4,INT KOREAN GROCERY  DAY,33
5,EXT UPPER EAST SIDE  APARTMENT  DAY,38
6,EXT PAULS APARTMENT BUILDING  DAY,19
7,INT PAULS APARTMENT BUILDING  DAY,44
8,INT RUBYS ROOM  DAY,126
9,INT PAULS APARTMENT  DAY,112
10,INT PAULS APARTMENT  DAY,24
11,INT RUBYS ROOM  DAY,40
12,INT PAULS APARTMENT  DAY,5
13,INT RUBYS HOUSE  DAY,8
14,INT PAULS APARTMENT  DAY,9
15,INT RUBYS ROOM  DAY,17
16,INT TESTING CLINIC  DAY,8
17,INT TESTING CLINIC  DAY,8
18,INT TESTING CLINIC  DAY,14
19,INT TESTING CLINIC  DAY,12
20,INT TESTING CLINIC  DAY,14
21,INT TESTING CLINIC  DAY,6
22,INT TESTING CLINIC  DAY,4
23,INT TESTING CLINIC  DAY,5
24,EXT ENTRANCE OF AN UPTOWN TRAIN STATION  DAY,2
25,INT TRAIN STATION  DAY,14
26,INT TESTING CLINIC  WAITING ROOM  DAY,19
27,INT WAITING ROOM  DAY,5
28,INT TESTING CLINIC  DAY,16
29,INT TESTING CLINIC  DAY,17
30,INT SUBWAY CAR  DAY,111
31,INT TELEPHONE BOOTH  DAY,48
32,EXT TELLYS HOUSE  DAY,49
33,INT TELLYS PARENTS BEDROOM  DAY,29
34,INT TELLYS ROOM  DAY,36
35,INT TELLYS KITCHEN  DAY,30
36,EXT PAULS APARTMENT BUILDING  DAY,26
37,EXT WASHINGTON SQUARE PARK  DAY,34
38,EXT UNDER THE ARCH  WASHINGTON SQUARE PARK  DAY,115
39,EXT NEW YORK SIDEWALK  DAY,6
40,INT CASPERS HOUSE  DAY,64
41,EXT WASHINGTON SQUARE PARK  ON A CEMENT BENCH  DAY,18
42,EXT WASHINGTON SQUARE PARK  ON THE FOUNTAIN  DAY,38
43,EXT THE CEMENT BENCHES  DAY,5
44,EXT THE FOUNTAIN  DAY,37
45,INT  EXT TAXICAB  GOING DOWNTOWN  EVENING,113
46,EXT LOWER EAST SIDE  APARTMENT BUILDING  EVENING,103
47,EXT WASHINGTON SQUARE PARK  EVENING,28
48,EXT PUBLIC SWIMMING POOL  NIGHT,133
49,EXT OUTSIDE NASA  RAVE  NIGHT,67
50,INT STEVENS HOUSE  NIGHT,27
51,INT NASA  NIGHT,22
52,EXT IN FRONT OF STEVENS HOUSE  NIGHT,24
53,INT  EXT TAXI  NIGHT,8
54,INT STEVENS APARTMENT  NIGHT,26
55,INT  EXT TAXI  NIGHT,2
56,INT STEVENS PARENTS BEDROOM  NIGHT,9
57,INT STEVENS APARTMENT STAIRWELL  NIGHT,3
58,INT STEVENS HOUSE  NIGHT,3
59,INT BATHROOM  NIGHT,14
60,INT STEVENS PARENTS BEDROOM  NIGHT,28
61,INT BATHROOM  NIGHT,25
62,INT STEVENS PARENTS BEDROOM  NIGHT,6
63,INT HALLWAY IN FRONT OF DOOR  NIGHT,2
64,INT BEDROOM  NIGHT,10
65,INT HALLWAY IN FRONT OF DOOR  NIGHT,10
66,INT BATHROOM  NIGHT,3
67,INT LIVING ROOM  NIGHT,51
