1,EXT LA SKYLINE  SUNSET,34
2,EXT MANSION HANCOCK PARK  NIGHT,7
3,INT HANCOCK PARK MANSION  BALLROOM  NIGHT,26
4,INT THE MOCAMBO  NIGHT,35
5,INT HUSHHUSH MAGAZINE OFFICE  DAY,11
6,INT HANCOCK PARK MANSION  BALLROOM  NIGHT,17
7,EXT STOREFRONT  NIGHT,18
8,INT HANCOCK PARK MANSION  BALLROOM  NIGHT,9
9,INT OLYMPIC AUDITORIUM  NIGHT,3
10,INT MOVIE THEATER  NIGHT,2
11,EXT COHEN MANSION BEVERLY HILLS  DAY,15
12,EXT GRAUMANS CHINESE  DAY,2
13,EXT WESTCHESTER BEAN FIELD  DAY,8
14,EXT FEDERAL COURTHOUSE  STEPS  DAY,26
15,INT PACKARD ACROSS FROM BULLOCKS WILSHIRE  NIGHT,71
16,EXT  EVERGREEN  NIGHT,29
17,EXT  EVERGREEN  BUD  NIGHT,45
18,INT STAGE FOUR VARIETY INTERNATIONAL PICTURES  NIGHT,84
19,EXT  MARAVILLA  NIGHT,18
20,INT  MARAVILLA  NIGHT,9
21,EXT  MARAVILLA  NIGHT,12
22,INT  MARAVILLA  NIGHT,32
23,INT HOLLYWOOD STATION  DISPATCH DESK  NIGHT,29
24,EXT HOLLYWOOD BOULEVARD  HOLLYWOOD LIQUOR  NIGHT,46
25,EXT HOLLYWOOD LIQUOR  NIGHT,91
26,INT PRECINCT HOUSE  MUSTER ROOM  NIGHT,37
27,INT PRECINCT HOUSE  DISPATCH DESK  NIGHT,31
28,INT DUDLEY SMITHS OFFICE  DAY,91
29,INT PRECINCT HOUSE  MUSTER ROOM  NIGHT,26
30,INT PRECINCT HOUSE  NARCO PEN  NIGHT,55
31,INT MUSTER ROOM  NIGHT,38
32,INT CELL BLOCK  NIGHT,13
33,INT SQUAD ROOM  NIGHT,6
34,INT CELL BLOCK  NIGHT,60
35,INT CHIEFS OFFICE  DAY,242
36,INT ROOM  GRAND JURY WITNESS ROOM  DAY,56
37,INT TWILIGHT LOUNGE  NIGHT,167
38,EXT GRAUMANS CHINESE  NIGHT,4
39,INT KLUB ZAMBOANGA  NIGHT,14
40,EXT FREEWAY  DAY,7
41,EXT HOLLYWOOD HIGH SCHOOL  DAY,5
42,INT HOLLYWOOD HIGH SCHOOL  AUDITORIUM  DAY,46
43,INT CITY JAIL  DAY,28
44,INT BEVERLY HILLS MANSION  STUDY  NIGHT,16
45,EXT MNEIL PENITENTIARY  DAY,3
46,INT MNEIL PENITENTIARY  VISITOR BOOTH  DAY,28
47,INT BRIEFING ROOM  AD VICE  DAY,60
48,INT HOLLYWOOD STATION  NARCO PEN  DAY,4
49,INT HUSHHUSH MAGAZINE OFFICE  DAY,51
50,EXT HOLYWOOD STATION  PARKING LOT  TWILIGHT,10
51,INT HOLLYWOOD STATION  SQUAD ROOM  NIGHT,32
52,EXT HOLLYWOOD STATION  PARKING LOT  NIGHT,45
53,INT HOLLYWOOD STATION  SQUAD ROOM  NIGHT,21
54,EXT HOLLYWOOD AND CHEROKEE  NIGHT,14
55,INT NITE OWL  NIGHT,38
56,EXT NITE OWL  NIGHT,26
57,INT NIGHT OWL  NIGHT,31
58,EXT VICTORY MOTEL  DAWN,17
59,INT VICTORY MOTEL  ROOM   DAWN,92
60,INT EXLEYS PLYMOUTH  DAY,10
61,EXT COUNTY MORGUE  DAY,4
62,INT COUNTY MORGUE  HALLWAY  DAY,45
63,INT COUNTY MORGUE  EXAMINATION ROOM  DAY,39
64,INT LAPD HEADQUARTERS  BRIEFING ROOM  DAY,85
65,INT SQUAD ROOM  DAY,51
66,INT HOLLYWOOD LIQUOR  DAY,21
67,EXT  GRETNA GREEN BRENTWOOD PATCHETTS  DAY,165
68,EXT  NOTTINGHAM LOS FELIZ LYNN BRACKENS  DAY,5
69,INT  NOTTINGHAM LYNN BRACKENS  DAY,22
70,EXT  SOUTH DUQUESNE  DAY,68
71,EXT  NOTTINGHAM LYNN BRACKENS  DAY,38
72,INT  NOTTINGHAM LYNN BRACKENS  DAY,183
73,EXT TEVERE HOTEL  DAY,56
74,INT CORRIDOR  TEVERE HOTEL  DAY,45
75,INT OBSERVATION ROOM  DAY,26
76,INT  ROOM  DAY,331
77,EXT AVALON BOULEVARD  EVENING,58
78,EXT,55
79,INT SQUAD ROOM  DAY,15
80,INT HOLLYWOOD STATION  JACKS DESK  DAY,11
81,EXT,8
82,INT,3
83,INT TH FLOOR HALLWAY  VICTORIAN BUILDING  DAY,52
84,INT HOLLYWOOD STATION  DAY,13
85,EXT CEMETERY  GRAVE  DAY,21
86,EXT CEMETERY SOUTH CENTRAL LA  DAY,3
87,INT CITY OF ANGELS HOSPITAL  RECEPTION AREA  DAY,23
88,EXT ORANGE GROVE ANAHEIM  DAY,9
89,INT STATE ASSEMBLYMANS OFFICE  DAY,13
90,INT STATE ASSEMBLY  CHAMBER  DAY,6
91,EXT  NOTTINGHAM LYNN BRACKENS  NIGHT,16
92,INT TROCADERO CLUB  NIGHT,3
93,EXT WILSHIRE BOULEVARD  DAY,4
94,INT OLYMPIC AUDITORIUM  NIGHT,4
95,INT MIDDLE CLASS LIVING ROOM  NIGHT,13
96,INT PIERCE PATCHETTS HOUSE  NIGHT,6
97,EXT POLICE HEADQUARTERS  DAY,60
98,INT VARIETY INTERNATIONAL PICTURES  STAGE   NIGHT,222
99,INT VICTORY HOTEL  ROOM SIX  NIGHT,19
100,INT VICTORY HOTEL  BATHROOM  NIGHT,7
101,EXT VICTORY HOTEL  NIGHT,8
102,INT BUDS PACKARD   NOTTINGHAM LYNNS  NIGHT,13
103,INT  NOTTINGHAM LYNN BRACKENS  LIVING ROOM ,8
104,INT FRONT HALL  NIGHT,27
105,INT LYNN BRACKENS  NOTTINGHAM  BEDROOM  NIGHT,26
106,EXT  CHERAMOYA AVENUE HOLLYWOOD  NIGHT,17
107,INT  CHERAMOYA AVENUE  NIGHT,12
108,EXT  HALBORO HUDGEONS HOUSE  NIGHT,63
109,INT AFTER HOURS CLUB  NIGHT,19
110,INT  NOTTINGHAM LYNN BRACKENS  BEDROOM  NIGHT,74
111,INT HOLLYWOOD STATION  EXLEYS OFFICE  NIGHT,16
112,EXT GRIFFITH PARK  DAY,11
113,INT FORENSICS LAB  DAY,87
114,EXT LEFFERTS HOUSE SAN BERNARDINO  DAY,17
115,INT LEFFERTS HOUSE  LIVING ROOM  DAY,93
116,EXT LEFFERTS HOUSE SAN BERNARDINO  DAY,23
117,EXT LEFFERTS HOUSE  DAY,15
118,INT FORENSICS LAB  DAY,28
119,EXT LEFFERTS HOUSE SAN BERNARDINO  DAY,38
120,INT HOLLYWOOD STATION  JACKS DESK  DAY,8
121,INT LAPD  FORENSICS LAB  DAY,8
122,INT JACKS DESK  DAY,132
123,EXT BROWN DERBY  DAY,8
124,INT BROWN DERBY  BAR  DAY,85
125,INT BROWN DERBY  PHONE BOOTH  DAY,8
126,EXT  NOTTINGHAM LYNN BRACKENS  DAY,5
127,EXT BUSHES   NOTTINGHAM LYNN BRACKENS  DAY,58
128,INT BROWN DERBY  ENTRANCE  DAY,50
129,INT EXLEYS PLYMOUTH  SUNSET,7
130,EXT  GRETNA GREEN PIERCE PATCHETTS  NIGHT,2
131,INT  GRETNA GREEN PATCHETTS  LIBRARY  NIGHT,57
132,EXT  GRETNA GREEN  NIGHT,25
133,INT LIBRARY  GRETNA GREEN  NIGHT,8
134,INT  NOTTINGHAM LYNNS  LIVING ROOM  NIGHT,83
135,INT FORENSIC LAB  NIGHT,19
136,INT LAPD  RECORDS ROOM  NIGHT,6
137,INT PACIFIC DINING CAR  NIGHT,5
138,INT  NOTTINGHAM LYNNS  LIVING ROOM  NIGHT,107
139,EXT  VENDOME SILVERLAKE  NIGHT,18
140,INT  VENDOME  KITCHEN  NIGHT,72
141,INT LAPD HEADQUARTERS  BRIEFING ROOM  DAY,37
142,INT LAPD HEADQUARTERS  BUD WHITES DESK  DAY,55
143,INT FORENSICS LAB  DAY,28
144,EXT VICTORY MOTEL  DAY,7
145,INT VICTORY MOTEL  ROOM SIX  DAY,122
146,EXT VICTORY MOTEL  HUDGEONS CAR  DAY,10
147,INT VICTORY MOTEL  ROOM   DAY,34
148,INT RECORDS ROOM  LAPD  DAY,26
149,EXT  NOTTINGHAM LYNN BRACKENS  DAY,60
150,INT RECORDS ROOM  LAPD  DAY,188
151,EXT  GRETNA GREEN PIERCE PATCHETTS  DAY,22
152,INT  GRETNA GREEN  HALLWAY  DAY,61
153,EXT  NOTTINGHAM LYNN BRACKENS  DAY,36
154,INT DISTRICT ATTORNEYS OUTER OFFICE  DAY,162
155,EXT CITY OFFICE BUILDING  DAY,23
156,INT SHERIFFS DEPARTMENT  HOLDING ROOM  DAY,39
157,INT LAPD  EVIDENCE ROOM  NIGHT,25
158,EXT VICTORY MOTEL  SUNSET,4
159,INT VICTORY MOTEL  ROOM   SUNSET,41
160,INT VICTORY MOTEL  ROOM   NIGHT,59
161,EXT VICTORY MOTEL  NIGHT,12
162,INT VICTORY MOTEL  NIGHT,123
163,EXT VICTORY MOTEL  NIGHT,48
164,EXT ROSE BOWL PARADE  DAY,4
165,INT OBSERVATION ROOM  NIGHT,6
166,INT ROOM   NIGHT,15
