1,EXT PONDICHERRY ZOO INDIA   DAY,31
2,EXT PONDICHERRY ZOO INDIA   DAY,25
3,INT PIS HOME KITCHEN MONTREAL  DAY,39
4,EXT ASHRAM SWIMMING POOL PONDICHERRY   DAY,19
5,INT PIS HOME KITCHEN MONTREAL  DAY,24
6,EXT THE PISCINE MOLITOR PARIS   DAY,25
7,INT PIS HOME MONTREAL  DAY,6
8,EXT PIS PRIMARY SCHOOL   DAY,32
9,INT SCIENCE CLASS   DAY,20
10,SC  INT INDIAN HISTORY CLASS   DAY ,41
11,INT FRENCH CLASS   DAY,9
12,EXT GEOGRAPHY CLASS   DAY,11
13,INT SCHOOL HALLWAY   DAY,8
14,INT MATH CLASS   CONTINUOUS,17
15,INT PIS KITCHEN  DAY,82
16,EXT PONDICHERRY SHORELINE   DAY,10
17,EXT ASHRAM STREET   DAY,4
18,EXT PONDICHERRY CANAL   DAY,7
19,SC  EXT PONDICHERRY MUSLIM QUARTER   DAY ,7
20,INT PIS HOME  CONTINUED,8
21,EXT ZOO ENTRANCE   DAY,16
22,EXT THE NURSERY  CONTINUOUS,12
23,INT PIS HOME OUTER ROOM MONTREAL  DAY,36
24,EXT OUTSIDE THE PATEL HOME   NIGHT,14
25,INT PIS BEDROOM   NIGHT,73
26,EXT MUNNAR TEA FIELDS   DAY,15
27,INT CATHOLIC CHURCH   DAY,28
28,INT PIS DINING ROOM MONTREAL  INTERCUTCONTINUOUS,8
29,EXT PLANTATION HOME MUNNAR   DAY,8
30,INT CATHOLIC CHURCH MUNNAR   DAY ,19
31,INT PIS BEDROOM   DAY,13
32,EXT MUSLIM QUARTER   DAY,14
33,EXT PONDICHERRY MOSQUE   DAY,5
34,INT PI FAMILY HOME   DAY,6
35,INT FAMILY KITCHENDINING ROOM   DUSK,75
36,EXT PIS STREET  DAY,26
37,INT THE TIGER FEEDING AREA  PART ,19
38,EXT MONTREAL STREET  DAY,19
39,EXT THE TIGER FEEDING AREA PART TWO   DAY,52
40, EXT THE FEEDING CAGES   A SHORT TIME LATER ,72
41,INT PI AND RAVIS BEDROOM   MORNING,21
42, EXT PIS SCHOOL PONDICHERRY   DAY ,97
43,EXT THE ZOO EXHIBITS   DAY,16
44,INT PATEL DINING ROOM   DUSK,48
45,EXT PONDICHERRY BENEATH THE PIER   DAY,17
46,EXT CARGO SHIP DECK   DUSK,15
47,INT THE TSIMTSUM MESS HALL   DAY,67
48,INT THE TSIMTSUM MESS HALL   DAY,14
49,INT TSIMTSUM CARGO HOLD   DAY,36
