1,EXT ARRIVALS TERMINAL,57
2,EXT MOTEL,7
3,INT MOTEL ROOM,23
4,INT TAXI,8
5,EXT SMALL HOUSE,43
6,INT EDS HOUSE,26
7,EXT EDS BACKYARD,239
8,INT EDS CAR,84
9,EXT WILSONS MOTEL,61
10,INT GUN SHOW,147
11,INT EDS CAR,85
12,INT RENTAL CAR,9
13,EXT BOULEVARD,5
14,EXT A STREET DOWNTOWN,10
15,INT CAR,11
16,EXT SIDE STREET,31
17,EXT THE BUILDING,60
18,INT WAREHOUSE HALLWAY,8
19,INT WAREHOUSE,97
20,EXT BUILDING,19
21,INTEXT VALENTINES HOUSE,149
22,EXT BALCONY,34
23,EXT VALENTINES HOUSE,31
24,EXT APARTMENT BUILDING,109
25,INT ELAINES APARTMENT,11
26,EXT ELAINES APARTMENT BUILDING,4
27,INT ELAINES APARTMENT,11
28,INT RESTAURANT,157
29,EXT OCEANFRONT,152
30,INT ELAINES APARTMENT,157
31,EXT HILLSIDE,10
32,INT WILSONS CAR ON THE ROAD BELOW,52
33,EXT HILLSIDE UNDERBRUSH,30
34,EXT VALENTINES HOUSE,33
35,INT VALENTINES HOUSE,21
36,INT VALENTINES BEDROOM,60
37,INT VALENTINES HOUSE,25
38,INT VALENTINES HOUSE,9
39,INT MASTER BATHROOM,2
40,INT MASTER BEDROOM,53
41,INT VALENTINES HOUSE,11
42,INT VALENTINES HOUSE,5
43,INT VALENTINES HOUSE,196
44,INT VALENTINES GARAGE,30
45,EXT BETWEEN VALENTINES HOUSE AND GARAGE,12
46,INT VALENTINES HOUSE,9
47,EXT VALENTINES HOUSE,5
48,INT VALENTINES HOUSE,7
49,EXT DECK,22
50,INT VALENTINES HOUSE,24
51,EXT DECK,8
52,EXT VALENTINES HOUSE,12
53,EXT CANYON ROAD,5
54,INT WILSONS CAR,13
55,EXT ROAD,13
56,EXT ROAD,6
57,INT WILSONS CAR,16
58,EXT ROAD,12
59,INT WILSONS CAR,8
60,EXT ROAD,46
61,EXT VALENTINES HOUSE,93
62,EXT VALENTINES HOUSE,5
63,INT VALENTINES HOUSE,17
64,INT WILSONS CAR,9
65,INT POOL HALL,113
66,INT WILSONS MOTEL,104
67,EXT MEAN STREET,27
68,EXT WILSONS MOTEL,3
69,INT WILSONS ROOM,173
70,EXT PACIFIC COAST HIGHWAY,6
71,INT SPORTS CAR,27
72,INT THE CAR BEHIND,43
73,EXT ELAINES NEIGHBORHOOD,146
74,EXT SOME STREET,5
75,INT ELAINES CAR,3
76,INT STACYUNCLE JOHNS CAR,35
77,INT SOUND STUDIO,12
78,INT HALLWAY,5
79,INT SOUND STUDIO,75
80,EXT ELAINES BUILDING,7
81,INT ELAINES BUILDING,57
82,INT ROOM,96
83,INT HALLWAY,9
84,INT OFFICE,180
85,EXT INN,19
86,INT POOL HALL,59
87,EXT VALENTINES HOUSE,59
88,INT RESTAURANT,57
89,EXT RESTAURANT,5
90,EXT COAST HIGHWAY,4
91,INT CAR,38
92,EXT HIGHWAY,4
93,INT BAR,79
94,EXT HIGHWAY,5
95,INT WILSONS CAR,54
96,EXT HIGHWAY,3
97,EXT HOUSE,31
98,INT HOUSE,158
99,EXT MOTEL,20
100,EXT DECK,16
101,EXT MOTEL PORCH,24
102,EXT VALENTINE HOUSE,6
103,INT VALENTINE HOUSE BEDROOM,5
104,INT VALENTINE HOUSE LIVING ROOM,11
105,EXT VALENTINE HOUSE,8
106,EXT VALENTINE HOUSE ANOTHER ANGLE,11
107,INT VALENTINE HOUSE,16
108,EXT BIG SUR HOUSE,6
109,EXT BIG SUR HOUSE,7
110,EXT BIG SUR HOUSE,10
111,INT BIG SUR HOUSE,38
112,EXT BIG SUR HOUSE,7
113,INT BIG SUR HOUSE,20
114,INT BIG SUR HOUSE,98
115,EXT BIG SUR HOUSE,18
116,INT BIG SUR HOUSE,6
117,EXT BIG SUR HOUSE,12
118,INT BIG SUR HOUSE,25
119,EXT BIG SUR HOUSE,65
120,INT BIG SUR HOUSE,59
121,EXT BIG SUR HOUSE,37
122,EXT BIG SUR HOUSE,7
123,EXT BEACH,145
124,INT BIG SUR HOUSE,15
