1,INT JERRYS HOUSE JERRYS BEDROOM  MORNING,13
2,INT JERRYS HOUSE KITCHEN  MOMENTS LATER,5
3,INT JERRYS HOUSE BATHROOM  MOMENTS LATER,6
4,INT JERRYS HOUSE JERRYS BEDROOM  MOMENTS LATER,8
5,INT JERRYS HOUSE LIVING ROOM  MOMENTS LATER,12
6,EXT RESCUE SQUAD  MORNING,8
7,INT RESCUE SQUAD KITCHEN  CONTINUOUS,40
8,EXT JIMMYS APARTMENT  MORNING,87
9,EXT POOL  MORNING,73
10,INT JESSICAS APARTMENT  MORNING,9
11,INT JESSICAS APARTMENT BATHROOM  MOMENTS LATER,4
12,INT JESSICAS APARTMENT LIVING ROOM  CONTINUOUS,5
13,INT JESSICAS APARTMENT BATHROOM  CONTINUOUS,12
14,INT JESSICAS APARTMENT LIVING ROOM  CONTINUOUS,63
15,EXT RONS GYM  MORNING,3
16,INT RONS GYM LOCKER ROOM  CONTINUOUS,110
17,EXT POOL  CONTINUOUS,43
18,EXT EMPTY PARK  MORNING,65
19,INT AMBULANCE  MORNING,10
20,EXT ROAD  CONTINUOUS,8
21,EXT POOL PARKING LOT  CONTINUOUS,17
22,EXT POOL  CONTINUOUS,63
23,EXT ROAD  MOMENTS LATER,3
24,INT AMBULANCE  CONTINUOUS,34
25,EXT COREY AND PEDROS HOUSE  MORNING,24
26,EXT PIZZA SHOP  MORNING,4
27,INT PIZZA SHOP  CONTINUOUS,24
28,INT CARLOS CAR  MORNING,11
29,EXT CONVENIENCE STORE  CONTINUOUS,57
30,INT CARLOS CAR  CONTINUOUS,76
31,EXT PIZZA SHOP  MORNING,16
32,EXT COUNTY ROAD  MORNING,5
33,INT DEREKS POLICE CAR  CONTINUOUS,18
34,EXT RESCUE SQUAD  CONTINUOUS,55
35,EXT AARONS HOUSE  MORNING,20
36,INT AARONS HOUSE  CONTINUOUS,46
37,INT POOL MENS BATHROOM  MORNING,62
38,EXT CARS HOUSE  DAY,9
39,INT CARS HOUSE  CONTINUOUS,34
40,EXT CARS HOUSE  CONTINUOUS,3
41,INT CARS HOUSE  CONTINUOUS,11
42,EXT CARS HOUSE  CONTINUOUS,3
43,INT JIMMYS CAR  LATER,19
44,INT MATTS BEDROOM  CONTINUOUS,70
45,EXT TRAFFIC INTERSECTION  CONTINUOUS,4
46,INT JIMMYS CAR  CONTINUOUS,5
47,EXT TRAFFIC INTERSECTION  CONTINUOUS,134
48,EXT POOL SWINGS  DAY,104
49,EXT POOL  PARKING LOT  MOMENTS LATER,60
50,EXT POLICE STATION  DAY,6
51,INT AMBULANCE  CONTINUOUS,67
52,INT AARONS HOUSE  CONTINUOUS,48
53,EXT AARONS HOUSE  CONTINUOUS,47
54,INT CARLOS CAR  CONTINUOUS,19
55,EXT LANDLORDS HOUSE  DAY,76
56,EXT BASEBALL FIELD PARKING LOT DAY,92
57,EXT POOL CLUBHOUSE  DAY,5
58,EXT CONVENIENCE STORE  CONTINUOUS,41
59,EXT POOL  MOMENTS LATER,24
60,EXT RESCUE SQUAD  DAY,3
61,INT RESCUE SQUAD LOCKER ROOM  CONTINUOUS,34
62,EXT ROAD  DAY,4
63,INT JIMMYS CAR  CONTINUOUS,36
64,INT CARS HOUSE  CONTINUOUS,119
65,EXT INTERSECTION  CONTINUOUS,10
66,EXT JIMMYS APARTMENT  DAY,4
67,INT JIMMYS APARTMENT  CONTINUOUS,5
68,EXT ROBS HOUSE  DAY,10
69,INT AARONS HOUSE  DAY,38
70,EXT NEIGHBORHOOD STREET  CONTINUOUS,8
71,INT AARONS HOUSE  CONTINUOUS,44
72,INT CARLOS CAR  CONTINUOUS,79
73,EXT NEIGHBORHOOD STREET  CONTINUOUS,3
74,EXT LANDLORDS HOUSE  DAY,58
75,EXT DINER BACKLOT  DAY,46
76,EXT DINER  MOMENTS LATER,3
77,INT DR COOKS OFFICE EXAMINING ROOM  DAY,62
78,EXT DEREKS HOUSE  DAY,4
79,INT DEREKS HOUSE BEDROOM  CONTINUOUS,80
80,INT PIZZA SHOP  DAY,19
81,INT JESSICAS APARTMENT LIVING ROOM  DAY,14
82,INT JESSICAS APARTMENT KITCHEN  CONTINUOUS,8
83,INT JESSICAS APARTMENT LIVING ROOM  MOMENTS LATER,22
84,INT JESSICAS APARTMENT BEDROOM  MOMENTS LATER,2
85,INT JESSICAS APARTMENT LIVING ROOM  MOMENTS LATER,16
86,INT JESSICAS APARTMENT BATHROOM  CONTINUOUS,2
87,INT DEREKS HOUSE KITCHEN  DAY,47
88,INT DEREKS HOUSE BEDROOM  CONTINUOUS,85
89,EXT PIZZA SHOP  DAY,45
90,INT DAVES APARTMENT KITCHEN  CONTINUOUS,51
91,EXT PIZZA SHOP  CONTINUOUS,28
92,EXT POOL  DAY,100
93,INT POOL GARAGE  CONTINUOUS,15
94,EXT CARTERS HOUSE BACK YARD  EVENING,31
95,INT CARTERS HOUSE KITCHEN  CONTINUOUS,17
96,EXT CARTERS HOUSE FRONT YARD  EVENING,75
97,INT CARLOS CAR  CONTINUOUS,21
98,EXT CARTERS HOUSE FRONT YARD  CONTINUOUS,29
99,INT CARTERS HOUSE KITCHEN  CONTINUOUS,14
100,INT CARTERS HOUSE BATHROOM  CONTINUOUS,147
101,EXT CARTERS HOUSE BACK YARD  NIGHT,6
102,INT CARTERS HOUSE KITCHEN  MOMENTS LATER,50
103,INT CARTERS HOUSE BATHROOM  NIGHT,32
104,EXT CARTERS HOUSE BACK PORCH  MOMENTS LATER,80
105,INT CARTERS HOUSE KITCHEN  CONTINUOUS,26
106,EXT CARTERS HOUSE BACK PORCH  CONTINUOUS,45
107,INT CARTERS HOUSE KITCHEN  CONTINUOUS,38
108,INT CARTERS HOUSE JERRYS BEDROOM  CONTINUOUS,65
109,EXT CARTERS HOUSE FRONT YARD  NIGHT,10
110,EXT CARTERS HOUSE BACK YARD  NIGHT,42
111,EXT CARTERS HOUSE BACK YARD  NIGHT,23
112,INT CARTERS HOUSE KITCHEN  NIGHT,3
113,INT CARTERS HOUSE CARTERS BEDROOM  NIGHT,15
114,INT CARTERS HOUSE LIVING ROOM  CONTINUOUS,50
115,EXT CARTERS HOUSE SIDE YARD  NIGHT,7
116,EXT CARTERS HOUSE BACK YARD  NIGHT,6
117,EXT CARTERS HOUSE FRONT YARD  NIGHT,2
118,INT CARTERS HOUSE LIVING ROOM  CONTINUOUS,83
119,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,34
120,INT CARTERS HOUSE CARTERS BEDROOM  NIGHT,59
121,EXT CARTERS HOUSE FRONT YARD  NIGHT,38
122,INT DEREKS POLICE CAR  NIGHT,4
123,INT CARTERS HOUSE KITCHEN  CONTINUOUS,35
124,EXT CARTERS HOUSE BACK YARD  NIGHT,32
125,EXT CARTERS HOUSE BACK YARD  NIGHT,154
126,INT CARTERS HOUSE LIVING ROOM  NIGHT,102
127,INT CARTERS HOUSE HALLWAY  MOMENTS LATER,16
128,INT CARTERS HOUSE JERRYS BEDROOM  CONTINUOUS,75
129,EXT CARTERS HOUSE FRONT YARD  NIGHT,140
130,EXT CARTERS HOUSE FRONT YARD  NIGHT,11
131,EXT CARTERS HOUSE BACK YARD  NIGHT,61
132,EXT CARTERS HOUSE BACK YARD  NIGHT,39
133,INT CARTERS HOUSE BACK YARD  CONTINUOUS,67
134,INT CARTERS HOUSE BERUBIS BEDROOM  NIGHT,9
135,EXT CARTERS HOUSE BACK YARD  NIGHT,7
136,INT CARTERS HOUSE JERRYS BEDROOM  CONTINUOUS,45
137,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,16
138,INT POLICE CAR  CONTINUOUS,8
139,EXT CARTERS HOUSE BACK PORCH  NIGHT,37
140,INT CARTERS HOUSE JERRYS BEDROOM  NIGHT,63
141,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,47
142,INT CARTERS HOUSE JERRYS OLD BEDROOM  CONTINUOUS,9
143,INT CARTERS HOUSE HALLWAY  CONTINUOUS,3
144,INT CARTERS HOUSE BATHROOM  CONTINUOUS,13
145,INT CARTERS HOUSE HALLWAY  MOMENTS LATER,11
146,INT CARTERS HOUSE LIVING ROOM  MOMENTS LATER,11
147,EXT CARTERS HOUSE FRONT YARD  CONTINUOUS,3
148,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,10
149,EXT CARTERS HOUSE  NIGHT,3
150,INT POLICE CAR  CONTINUOUS,23
151,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,8
152,EXT CARTERS HOUSE BACK YARD  CONTINUOUS,25
