1,EXT EDGE OF CORN FIELDS  DAY,20
2,EXT INDUSTRIAL PLANT  DAY,24
3,INT INDUSTRIAL PLANT  DAY,15
4,EXT DINER  DAY,3
5,INT DINER,15
6,EXT FARMLAND ROAD  DAY,3
7,INT PAWN SHOP  DAY,22
8,INT JOES APARTMENT  AFTERNOON,9
9,INT CAR GARAGE  EVENING,3
10,EXT CITY STREETS  EARLY EVENING,6
11,EXT STREET CORNER  EARLY EVENING,20
12,EXT DRIVING THROUGH THE CITY STREETS,41
13,EXT LA BELLE AURORE  NIGHT,8
14,EXT PARKING LOT,2
15,EXT LA BELLE AURORE SIDE ENTRANCE,3
16,INT COAT CHECK,19
17,INT BACKSTAGE,8
18,INT BORDELLO ENTRANCE,14
19,INT BACKSTAGE,7
20,INT STEEP STAIRS,24
21,EXT ABANDONED LOT  DAY FLASHBACK,37
22,INT STEEP STAIRS,15
23,INT LA BELLE AURORE CLUB  NIGHT,4
24,INT LA BELLE AURORE BATHROOM  NIGHT,3
25,INT LA BELLE AURORE CLUB,2
26,EXT LA BELLE AURORE  NIGHT,4
27,EXT CITY STREETS  NIGHT,7
28,EXT VAGRANT VILLAGE  NIGHT,10
29,EXT SETHS APARTMENT  DAWN,47
30,INT JOES APARTMENT  MORNING,2
31,INT JOES APARTMENT ENTRYWAY  MORNING,3
32,INT JOES APARTMENT,3
33,EXT FARMLAND ROAD  DAY,2
34,EXT CORN FIELD,4
35,INT DINER  DAY,8
36,INT PAWN SHOP BACK ROOM  DAY,10
37,INT JOES APARTMENT,3
38,INT LA BELLE AURORE CLUB  NIGHT,13
39,INT BACKSTAGE,18
40,INT LA BELLE AURORE CLUB,2
41,INT JOES APARTMENT  NIGHT  LATER,3
42,INT JOES BATHROOM  NIGHT,4
43,INT JOES APARTMENT  LATER THAT NIGHT,50
44,EXT CORN FIELD  DAY FLASHBACK,14
45,INT JOES APARTMENT,21
46,EXT CORN FIELD  DAY FLASHBACK,9
47,INT JOES APARTMENT,67
48,EXT LA BELLE AURORE  DAWN  ESTABLISHING,2
49,INT STEEP STAIRS,3
50,INT WAITING ROOM,56
51,INT ABES OFFICE,149
52,INT WAITING ROOM,8
53,INT BORDELLO ENTRANCE,7
54,INT BLACK HALLWAY,7
55,INT SUZIES BEDROOM  LATER,33
56,INT JOES APARTMENT  NIGHT,7
57,EXT CITY OUTSKIRTS  NIGHT,32
58,EXT CITY STREETS,22
59,EXT WIRE STREET,18
60,INT JOES APARTMENT  MORNING,2
61,EXT CORN FIELD,13
62,INT PLANT  DAY,15
63,EXT CORN FIELD  DAY,45
64,EXT FARMLAND ROAD  LATE AFTERNOON,3
65,EXT JOES APARTMENT BUILDING  NIGHT,3
66,INT JOES APARTMENT HALLWAY,3
67,INT JOES APARTMENT,9
68,INT JOES BATHROOM,12
69,INT JOES APARTMENT,35
70,EXT JOES APARTMENT WINDOW  NIGHT,11
71,EXT CORN FIELD  DAY,15
72,INT LA BELLE AURORE CLUB  NIGHT,2
73,INT JOES APARTMENT  MORNING,3
74,EXT CARGO SHIP DECK  DAY,3
75,INT PARIS APARTMENT  DAY,2
76,EXT PARIS STREETS  DAY,2
77,INT PARIS BODEGA  NIGHT,7
78,INT PARIS CLUB  NIGHT,3
79,INT PARIS APARTMENT  DAY,3
80,EXT PARIS STREETS  DAY,2
81,EXT PARIS CLUB  NIGHT,4
82,INT PARIS APARTMENT  DAY,4
83,INT PARIS BODEGA  DAY,5
84,EXT PARIS STREETS  NIGHT,4
85,INT PARIS GANG HEADQUARTERS,10
86,EXT PARIS STREETS  DAY,2
87,INT PARIS CLUB  NIGHT,11
88,INT PARIS CAFE  DAY,2
89,INT PARIS BEDROOM  DAY,2
90,EXT PARIS STREETS  DAY,2
91,INT PARIS APARTMENT  DAY,4
92,INT CAR  DAY,3
93,EXT FRENCH BEACH  HIGHWAY  CONTINUOUS,8
94,EXT FRENCH COUNTRYSIDE  DAY,2
95,INT FRENCH COTTAGE BEDROOM  NIGHT,3
96,EXT FRENCH COTTAGE  SUNSET  YEARS LATER,3
97,INT FRENCH COTTAGE KITCHEN  MORNING  A WEEK LATER,5
98,INT FRENCH BEDROOM  MORNING,16
99,EXT COTTAGE  CONTINUOUS,7
100,INT BASEMENT  DAY,15
101,INT TIME MACHINE  CONTINUOUS,4
102,EXT CORN FIELD  DAY,6
103,EXT HIGHWAY  DUSK,2
104,INT BODEGA  NIGHT,9
105,EXT ALLEYWAY  NIGHT,3
106,EXT JOES APARTMENT  NIGHT,25
107,INT ARMORED VAN,9
108,EXT JOES APARTMENT,20
109,EXT CITY OUTSKIRTS  NIGHT,13
110,INT LA BELLE AURORE BACKSTAGE,9
111,INT ABES DEN,9
112,INT ABES OFFICE,17
113,EXT CITY STREETS  NIGHT,12
114,EXT SETHS APARTMENT,4
115,INT PUBLIC LIBRARY  NIGHT,8
116,EXT LA BELLE AURORE  NIGHT,5
117,EXT SETHS APARTMENT  NIGHT,5
118,INT PUBLIC LIBRARY  NIGHT,11
119,INT SETHS APARTMENT  NIGHT,33
120,EXT CORN FIELD  DAWN  ESTABLISHING,3
121,EXT CORN FIELD,3
122,INT BEDROOM  MORNING  FLASHBACK,6
123,EXT DINER  EARLY MORNING,6
124,INT DINER,306
125,INT FRENCH COTTAGE  MORNING FLASHBACK,9
126,INT DINER,43
127,INT OFFICE  DAY  FLASHBACK,8
128,INT FRENCH LIVING ROOM  CONTINUOUS  FLASHBACK,10
129,INT DINER,93
130,EXT BACK OF DINER  MORNING,2
131,EXT FRONT OF DINER,40
132,EXT CORN FIELD,13
133,EXT FIELD  DAWN,8
134,EXT CORN FIELD  EARLY MORNING,4
135,INT FARM HOUSE KITCHEN  EARLY MORNING,2
136,EXT FARM HOUSE PORCH  EARLY MORNING,8
137,INT FARM HOUSE BEDROOM  MORNING,5
138,INT FARM HOUSE KITCHEN  MORNING,2
139,INT FARM HOUSE FOYER,12
140,EXT FARMHOUSE FRONT LAWN,35
141,EXT CITY  ESTABLISHING  DAY,2
142,INT ABES OFFICE,34
143,INT STEEP STAIRS,2
144,INT BACKSTAGE,9
145,EXT ALLEYWAY  DAY,26
146,EXT FARM HOUSE  NIGHT,8
147,EXT FRONT LAWN  NIGHT,3
148,EXT BARN  CONTINUOUS,15
149,EXT CORN FIELD  CONTINUOUS,11
150,EXT FRONT LAWN,8
151,INT ND STORY BEDROOM  NIGHT,11
152,EXT FRONT LAWN  CONTINUOUS,15
153,EXT SECOND STORY BEDROOM WINDOW,3
154,EXT FRONT LAWN,14
155,EXT FRONT PORCH  MOMENTS LATER,51
156,INT FARMHOUSE FOYER  CONTINUOUS,6
157,INT FARMHOUSE UPPER HALL,10
158,INT CIDS BEDROOM,20
159,EXT HIGHWAY  NIGHT,9
160,INT STAKE BED TRUCK  CONTINUOUS,6
161,INT BARN  NIGHT,15
162,EXT CITY STREETS  MORNING,5
163,INT DRAINAGE TUNNEL,2
164,INT RUNOFF ROOM,5
165,EXT FRONT PORCH  NIGHT OLD JOE MEMORY,5
166,INT RUNOFF ROOM,4
167,EXT FRONT PORCH  NIGHT OLD JOE MEMORY,4
168,INT RUNOFF ROOM,4
169,EXT FRONT PORCH  NIGHT OLD JOE MEMORY,3
170,INT RUNOFF ROOM,5
171,INT PARIS CLUB  NIGHT,10
172,INT RUNOFF ROOM,9
173,INT BARN  MORNING,3
174,INT FARMHOUSE KITCHEN  MORNING,15
175,EXT SUBURBAN STREET  MORNING,9
176,EXT BARN  MORNING,116
177,EXT PARK,3
178,EXT BARN  DAY OLD JOE MEMORY,2
179,EXT PARK,3
180,INT BARN,19
181,EXT PARK  DAY,24
182,INT BARN,27
183,EXT SUBURBAN STREET,3
