1,EXT RIVER ANDUIN  DAY,33
2,EXT UNDERWATER RIVER ANDUIN  DAY,5
3,EXT RIVER ANDUIN GLADDEN FIELDS  DAY,22
4,INT MISTY MOUNTAINS CAVES  DAY,26
5,EXT CULVERT VALE OF MORGUL  DAWN,67
6,EXT CULVERT VALE OF MORGUL  DAY,8
7,EXT THE FOREST OF ISENGARD DAY,10
8,EXT ISENGARED GATE  DAY,89
9,EXT EDORAS  DAY,6
10,INT EDORAS GOLDEN HALL  EVENING,70
11,EXT MORGUL VALLEY  NIGHT,176
12,EXT EDORAS GOLDEN HALL  EARLY DAWN,10
13,INT EDORAS SLEEPING QUARTERS  EARLY DAWN,36
14,EXT EDORAS GOLDEN HALL  EARLY DAWN,8
15,INT EDORAS SLEEPING QUARTERS  NIGHT,58
16,INT EDORAS GOLDEN HALL  DAY,95
17,EXT EDORAS STREETS  DAWN,46
18,INT EDORAS STABLES  DAWN,43
19,EXT GATES OF EDORAS  DAY,3
20,EXT EDORAS GATES LOOKOUT  DAY,5
21,EXT RIVENDELL FOREST  DAY,54
22,EXT RIVENDELL  DAY,3
23,EXT ELRONDS BALCONY RIVENDELL  DAY,61
24,INT ARWENS CHAMBER RIVENDELL  NIGHT,36
25,EXT FOOTHILLS OF WHITE MOUNTAINS  NIGHT,5
26,EXT FOOTHILLS OF WHITE MOUNTAINS  DAY,7
27,EXT MINAS TIRITH  DAWN,19
28,EXT MINAS TIRITH STREETS  DAY,15
29,EXT MINAS TIRITH COURT OF THE KINGS  DAY,44
30,INT MINAS TIRITH TOWER HALL  DAY,98
31,INT MINAS TIRITH PIPPINS QUARTERS  NIGHT,15
32,EXT MINAS TIRITH BALCONY  NIGHT,99
33,EXT MINAS MORGUL  NIGHT,64
34,EXT MINAS TIRITH BALCONY  NIGHT,6
35,EXT MINAS MORGUL  NIGHT,7
36,EXT MINAS TIRITH BATTLEMENTS  NIGHT,4
37,EXT MINAS MORGUL  NIGHT,26
38,EXT MINAS TIRITH BALCONY  NIGHT,7
39,EXT MINAS MORGUL  NIGHT,18
40,EXT MINAS TIRITH BALCONY  NIGHT,5
41,EXT MINAS TIRITH SIXTH LEVEL  NIGHT,13
42,EXT WEST OSGILIATH RIVER ANDUIN  NIGHT,19
43,EXT WEST OSGILIATH RIVER ANDUIN  NIGHT,19
44,EXT MOUNT MINDOLLUIN  DAWN,4
45,EXT MINAS TIRITH BEACON  DAWN,12
46,EXT MINAS TIRITH STREETS  DAWN,3
47,EXT MINAS TIRITH BEACON  DAWN,6
48,EXT MINAS TIRITH STREETS,3
49,EXT MINAS TIRITH BATTLEMENTS  DUSK,24
50,EXT WHITE MOUNTAINS AERIAL  NIGHT,3
51,EXT EDORAS COURTYARD  DAWN,6
52,INT EDORAS GOLDEN HALL  DAWN,16
53,EXT EDORAS COURTYARD  DAWN,50
54,EXT PLAINS OF ROHAN  DAY,4
55,EXT WEST OSGILIATH RIVER ANDUIN  DAY,37
56,EXT PELENNOR FIELDS  DAY,11
57,EXT PELENNOR FIELDS  DAY,14
58,EXT MINAS TIRITH GATES  DAY,58
59,EXT CIRITH UNGOL STAIRS  NIGHT,12
60,EXT CIRITH UNGOL LEDGE  NIGHT,60
61,EXT OSGILIATH  DAY,14
62,EXT MINAS TIRITH BATTLEMENTS  DAY,19
63,INT MINAS TIRITH TOWER HALL  DAY,71
64,EXT CIRITH UNGOL LEDGE  DAWN,163
65,EXT MINAS TIRITH STREETS  DAY,18
66,EXT MINAS TIRITH BATTLEMENTS  DAY,9
67,EXT WEST OSGILIATH  DAY,3
68,INT TOWER HALL MINAS TIRITH  DAY,24
69,EXT PELENNOR FIELDSOSGILIATH RUINS  DAY,21
70,INT TOWER HALL MINAS TIRITH  DAY,7
71,EXT MINAS TIRITH COURTYARD  DAY,2
72,EXT OSGILIATH BRIDGE  DAY,27
73,EXT DUNHARROW PLATEAU  DUSK,28
74,EXT DUNHARROW PLATEAU  DUSK,41
75,EXT DUNHARROW PLATEAU  DUSK,2
76,INT EOWYNS TENT DUNHARROW  NIGHT,18
77,EXT DUNHARROW PLATEAU  NIGHT,25
78,EXT DUNHARROW TRACK  NIGHT,3
79,INT ARAGORNS TENT DUNHARROW  NIGHT,17
80,EXT DUNHARROW PLATEAU  NIGHT,2
