1,EXT NARITA AIRPORT  NIGHT,11
2,INT CHARLOTTES ROOM  NIGHT,8
3,INT CAR  NIGHT,13
4,EXT PARK HYATT  NIGHT,9
5,INT PARK HYATT  NIGHT,10
6,INT HOTEL RECEPTION  NIGHT,23
7,INT BOBS HOTEL ROOM  NIGHT,2
8,INT PARK HYATT BAR  NIGHT,10
9,INT BOBS HOTEL ROOM  MORNING,4
10,INTHOTEL BATHROOM  DAY,6
11,INT STUDIO  DAY,59
12,EXT TOKYO  NIGHT,2
13,INT PARK HYATT BAR  NIGHT,17
14,INT BOBS HOTEL ROOM  NIGHT,90
15,INT HOTEL RESTAURANT  DAY,6
16,INT HOTEL ELEVATOR  DAY,33
17,INT PHOTO STUDIO  DAY,53
18,INT PARK HYATT BAR  NIGHT,20
19,INT ELEVATOR  LATER,6
20,INT CHARLOTTES HOTEL ROOM  NIGHT,19
21,INT BOBS HOTEL ROOM  NIGHT,13
22,INT HOTEL GYM  NIGHT,21
23,INT PARK HYATT LOBBY GROUND FLOOR  DAY,9
24,EXT SHIBUYA STATION  DAY,17
25,INT CHARLOTTES HOTEL ROOM  NIGHT,12
26,INT PARK HYATT BAR  NIGHT,98
27,INT HOTEL LOBBY  DAY,93
28,INT CHARLOTTES HOTEL ROOM  DAY,60
29,INT HOTEL POOL  DAY,12
30,INT HOTEL SPA  DAY,9
31,INT CHARLOTTES ROOM  DAY,15
32,INT HOTEL  DAY,22
33,INT HOTEL HALLWAY  DAY,10
34,INT CHARLOTTES HOTEL  BATHROOM,18
35,INT CHARLOTTES HOTEL ROOM  EVENING,23
36,INT PARK HYATT BAR  NIGHT,63
37,INT CHARLOTTES HOTEL ROOM  NIGHT,10
38,EXT TOKYO  MORNING,6
39,EXT TEMPLE  DAY,4
40,INT TEMPLE  DAY,6
41,INT CHARLOTTES HOTEL ROOM  AFTERNOON,80
42,INT SUBWAY  AFTERNOON,6
43,INT SUBWAY STATION  AFTERNOON,4
44,EXT STREET  AFTERNOON,7
45,EXT ARCADE  DAY,3
46,INT ARCADE  AFTERNOON,11
47,INT GALLERY BOOKSTORE  DAY,10
48,EXT SHIBUYA  DAY,4
49,EXT SHIBUYA  DAY,5
50,INT CHARLOTTES HOTEL ROOM  LATE AFTERNOON,102
51,INT PARK HYATT POOL  EVENING,4
52,INT PARK HYATT HALL  EVENING,28
53,INT BOBS ROOM  EVENING,9
54,INT CHARLOTTES HOTEL ROOM  NIGHT,28
55,INT TOKYO BAR  NIGHT,42
56,EXT BAR  NIGHT,10
57,INTPACHINKO PARLOR  NIGHT,3
58,EXT STREET  NIGHT,4
59,INT CAB  NIGHT,9
60,INT KARAOKE BAR  NIGHT,50
61,INT KARAOKE BAR HALLWAY  NIGHT,19
62,INT NOBUS COMPOUND  NIGHT,30
63,INT NOBUS ENTRY  NIGHT,15
64,EXT TOKYO  NIGHT,2
65,INT CAB  NIGHT,8
66,INT HOTEL HALL  NIGHT,3
67,INT CHARLOTTES ROOM  NIGHT,7
68,INTHOTEL HALL  NIGHT,4
69,INT BOBS ROOM  NIGHT,56
70,INT CHARLOTTES ROOM  MORNING,5
71,INT BOBS ROOM  MORNING,26
72,INT HOTEL RESTAURANT  DAY,19
73,EXT GOLF COURSE  DAY,3
74,INT CHARLOTTES HOTEL ROOM  NIGHT,16
75,INT BOBS ROOM  NIGHT,184
76,EXTSTREET BASKETBALL COURT  DAY,5
77,INT BOBS HOTEL ROOM  DAY,21
78,INT HOTEL GROUND FLOOR LOBBY  DAY,4
79,EXT PARK HYATT  DAY,6
80,EXT DAKINYAMA  DAY,13
81,EXTINT ICHICAN SUSHI  DAY,57
82,EXT DAIKANYAMA STREET  DAY,29
83,INTHOSPITAL LOBBY  DAY,4
84,INT HOSPITAL ND FLOOR  DAY,5
85,INT HOSPITAL  DAY,5
86,INT HOSPITAL GIFT SHOP  DAY,20
87,INT HOSPITAL ROOM  DAY,5
88,INT HOSPITAL WAITING ROOM  DAY,6
89,EXT PARK HYATT  LATE AFTERNOON,5
90,INT HOTEL SPA BATH  EVENING,58
91,INT CAR  NIGHT,10
92,EXT OFFICE BUILDING  NIGHT,2
93,INT OFFICE BUILDING  NIGHT,8
94,INT ORANGE NIGHTCLUB  NIGHT,25
95,EXT TOKYO STREETS  NIGHT,31
96,INT PARK HYATT LOBBY  NIGHT,12
97,INTCHARLOTTES HOTEL ROOM  MORNING,11
98,INT TRAIN  DAY,3
99,EXT KYOTO  DAY,18
100,INT TV STUDIO  DAY,28
101,INT CAR  NIGHT,6
102,INT PARK HYATT BAR  NIGHT,5
103,INT BOBS ROOM  MORNING,30
104,EXT TOKYO STREETS  DAY,54
105,EXT ICHICAN SUSHI RESTAURANT  DAY,10
106,INT SHABU SHABU RESTAURANT  DAY,47
107,INTCHARLOTTES HOTEL ROOM  NIGHT,4
108,EXT PARK HYATT  NIGHT,25
109,INT PARK HYATT BAR  NIGHT,54
110,INT ELEVATOR  NIGHT,15
111,INT CHARLOTTES ROOM  DAY,5
112,INT PARK HYATT LOBBY LOUNGE  DAY,24
113,INT HOTEL RECEPTION DAY,64
114,EXT PARK HYATT  DAY,4
115,INT CAR  DAY,10
116,EXT TOKYO STREETS  DAY,34
