1,EXT MCCALL HOUSE  LATE MORNING,189
2,INT WRIGHT HOUSE  BATHROOM  LATE MORNING,39
3,INT MCCALL HOUSE  KITCHEN  DAY,100
4,INT WRIGHT HOUSE  LIVING ROOM  DAY,165
5,INT WRIGHT HOUSE  MONICAS ROOM  NIGHT,84
6,INT MCCALL HOUSE  QUINCYS ROOM  NIGHT,13
7,EXT MCCALL AND WRIGHT HOUSES  MORNING,106
8,INT CRENSHAW HIGH SCHOOL GYM  DAY,92
9,INT CRENSHAW HIGH SCHOOL GYM  LATE DAY,12
10,INT WRIGHT HOUSE  KITCHEN  DUSK,12
11,INT DINING ROOM  CONTINUOUS,79
12,EXT MCCALL HOUSE  SAME TIME,18
13,INT CRENSHAW HIGH SCHOOL GYM  NIGHT,62
14,INT CRENSHAW HIGH SCHOOL GYM  NIGHT,85
15,INT QUINCYS JEEP  NIGHT,114
16,INT MCCALL HOUSE  ENTRY WAY  SHORT TIME LATER,18
17,INT KITCHEN  CONTINUOUS,42
18,INT MCCALL HOUSE  ZEKE AND NONAS ROOM  LATE NIGHT,51
19,INT MCCALL HOUSE  QUINCYS ROOM  CONTINUOUS,5
20,EXT MCCALL AND WRIGHT HOUSES  CONTINUOUS,6
21,INT WRIGHT HOUSE  MONICAS ROOM  CONTINUOUS,7
22,INT WRIGHT HOUSE  MONICAS ROOM  LATE DAY,104
23,EXT MCCALL HOUSE  DRIVEWAY  LATE DAY,11
24,INT WRIGHT HOUSE  KITCHEN  DUSK,42
25,INT CRENSHAW HIGH SCHOOL GYM  NIGHT,33
26,INT CRENSHAW GYM  NIGHT,56
27,INT WRIGHT HOUSE  MONICAS ROOM  NIGHT,43
28,INT CRENSHAW GYM  NIGHT,69
29,INT CRENSHAW HIGH SCHOOL GYM  LATER,118
30,INT JASONS CAR  NIGHT,57
31,INT WRIGHT HOUSE  MONICAS ROOM  CONTINUOUS,21
32,EXT WRIGHT AND MCCALL HOUSES  CONTINUOUS,170
33,INT USC  CAMPUS GYM  MORNING,75
34,EXT TRACK  EARLY MORNING,20
35,INT CAMPUS GYM  MORNING,20
36,INT CAMPUS GYM  MORNING,36
37,INT WEIGHT ROOM  LATE DAY,35
38,EXT USC CAMPUS  LATE MORNING,65
39,INT CAMPUS GYM  MORNING,58
40,INT LOCKER ROOM  LATE MORNING,68
41,INT USC SUITES  QUINCYS ROOM  NIGHT,133
42,INT ESPN STUDIOS,11
43,INT BASKETBALL COURT,13
44,INT ESPN STUDIOS,12
45,INT BASKETBALL COURT,8
46,INT ESPN STUDIOS,4
47,INT SPORTS ARENA  NIGHT,3
48,INT CAMPUS GYM  NIGHT,3
49,INT SPORTS ARENA  NIGHT,7
50,INT CAMPUS GYM  NIGHT,6
51,INT SPORTS ARENA  NIGHT,4
52,INT KAISER ARENA  NIGHT,6
53,INT SPORTS ARENA  NIGHT,3
54,INT UNIVERSITY OF CONNECTICUT  GAMPEL PAVILION  NIGHT,4
55,INT SPORTS BAR  NIGHT,145
56,EXT MCCALL HOUSE  NIGHT,83
57,EXT TRACK  NIGHT,77
58,INT MONICASHAYLAS DORM  NIGHT,22
59,EXT TRACK  NIGHT,8
60,INT CAMPUS GYM  LATE DAY,47
61,INT SPORTS ARENA  LATE DAY,14
62,INT CAMPUS GYM  CONTINUOUS,40
63,INT SPORTS ARENA  CONTINUOUS,3
64,INT LOCKER ROOM  DUSK,67
65,INT COACH MILLERS OFFICE  SHORT TIME LATER,40
66,INT LOCKER ROOM  CONTINUOUS,14
67,INT APARTMENT  NIGHT,76
68,EXT BALCONY  CONTINUOUS,45
69,INT HOUSEPARTY  CONTINUOUS,29
70,EXT BALCONY  CONTINUOUS,87
71,INT QUINCYREGGIES SUITE  LIVING ROOM  LATER,85
72,EXT STREET  LATE NIGHT,8
73,EXT CAMPUS GYM  LATE DAY,8
74,EXT QUINCYREGGIES SUITE  DUSK,7
75,INT QUINCYREGGIES SUITE  LIVING ROOM  CONTINUOUS,7
76,INT QUINCYREGGIES ROOM  CONTINUOUS,24
77,INT LIVING ROOM  CONTINUOUS,27
78,EXT WRIGHT HOUSE  DRIVEWAY  DUSK,41
79,EXT DORMS  NIGHT,135
80,EXT STREETS OF SPAIN  LATE DAY,9
81,EXT ARENA  CONTINUOUS,34
82,INT ARENA  LOCKER ROOM  LATE DAY,22
83,INT ARENA  NIGHT,42
84,INT SPAIN  NIGHTCLUB  LATE NIGHT,112
85,INT SPAIN  MONICAS APARTMENT  LATE NIGHT,15
86,INT LOS ANGELES FORUM  NIGHT,58
87,INT DANIEL FREEMAN HOSPITAL  HALLWAY  LATE NIGHT,38
88,INT QUINCYS HOSPITAL ROOM  CONTINUOUS,86
89,INT QUINCYS HOSPITAL ROOM  DAY,196
90,INT HALLWAY  MOMENTS LATER,2
91,INT WRIGHT HOUSE  KITCHEN  LATE DAY,197
92,INT WRIGHT HOUSE  MONICAS ROOM  DAY,10
93,INT REHAB CENTER  DAY,6
94,INT BANK  DAY,11
95,INT WRIGHT HOUSE  MONICAS ROOM  NIGHT,6
