1,EXT MEXICAN CITY  DAY,8
2,INT FEDERALE CAR MOVING  DAY,24
3,EXT MEXICAN HOTEL  DAY,3
4,INT FEDERALE CAR MOVING  DAY,27
5,INT MEXICAN HOTEL HALLWAY,2
6,INT MEXICAN HOTEL ROOM,14
7,INT MEXICAN HOTEL HALLWAY,11
8,INT MEXICAN HOTEL LOBBY,74
9,EXT BORDER BRUSH COUNTRY  NIGHT,21
10,EXT BUNGALOW  NIGHT,2
11,INT BUNGALOW BATHROOM  NIGHT,11
12,INT BUNGALOW BEDROOM,69
13,EXT BUNGALOW  DAY,9
14,EXT ELEKTRAS CAR MOVING  DAY,9
15,EXT DAY LABORER PICKUP SPOT  DAY,66
16,EXT ALLEY  DAY,35
17,EXT ALLEY  DAY,35
18,EXT STREET CORNER  DAY,12
19,INT CAR DRIVING  DAY,30
20,EXT PARKING GARAGE  DAY,3
21,INT WAREHOUSE OFFICE,50
22,INT INNER ROOM,21
23,EXT STREET IN FRONT OF CHURCH  DAY,5
24,EXT DAY LABORER PICKUP SPOT  DAY,10
25,INT CONFERENCE ROOM,71
26,EXT ABANDONED NATIONAL GUARD ARMORY  DAY,30
27,EXTINT DOWNTOWN BUILDING  DAY,21
28,EXT TOHO JAPANESE STEAKHOUSE  DAY,2
29,INT TOP FLOOR ROOF ACCESS,3
30,EXT ROOFTOP,4
31,EXT COURTHOUSE STEPS  DAY,36
32,EXT ROOFTOP  DAY,11
33,EXT COURTHOUSE STEPS  DAY,5
34,INT TOP FLOOR ROOF ACCESS,6
35,INT ELEVATOR,14
36,INT SIXTH FLOOR,4
37,INT DOWNTOWN BUILDING GROUND FLOOR,4
38,EXT COURTHOUSE STEPS  DAY,5
39,INT LIMOUSINE MOVING,22
40,EXT FIRE ESCAPE  DAY,19
41,INT PATROL CAR MOVING,70
42,EXT ALLEYWAY  DAY,4
43,INT TOHO JAPANESE STEAKHOUSE,14
44,EXT ALLEYWAY,7
45,INT TOHO JAPANESE STEAKHOUSE,16
46,EXT ALLEYWAYINT SNIPERS CAR MOVING  DAY,18
47,INT COUNTY MEDICAL HOSPITAL ROOM  NIGHT,12
48,INT COUNTY MEDICAL HOSPITAL ROOM,63
49,INT HOSPITAL LOBBY,3
50,INT COUNTY MEDICAL HOSPITAL ROOM,65
51,EXT HOSPITAL CORRIDOR,2
52,INT HOSPITAL ROOM,5
53,EXT HOSPITAL CORRIDOR,6
54,EXT HOSPITAL  NIGHT,2
55,INT CAR  NIGHT,7
56,INT COFFEE SHOP,2
57,EXT COUNTRY CLUB HOSPITAL,4
58,INT MCLAUGHLINS HOSPITAL ROOM,80
59,EXT BACK ALLEY  NIGHT,8
60,EXT COFFEE SHOP  NIGHT,9
61,EXT LUZS GARAGE DRIVEWAY  NIGHT,2
62,INT BEDROOM LUZS HOUSE,4
63,INT KITCHEN,2
64,INT BEDROOM,44
65,EXT ELEKTRAS BUNGALOW  NIGHT,5
66,INT ELEKTRAS BUNGALOW,8
67,INT ELEKTRAS BEDROOM,31
68,EXT BENZS ESTATE  DAY,2
69,INT BENZS ESTATE DINING ROOM,66
70,INT BENZS OFFICE,16
71,INT LUZS HOUSE  DAY,4
72,INT KITCHEN  MORNING,9
73,EXT DRUGLORDS SPRAWLING RANCH MEXICO  DAY,2
74,INT DRUGLORDS BEDROOM,21
75,INT GOVERNMENT OFFICES TEXAS  DAY,11
76,EXT MEXICAN SLUMS  DAY,15
77,INT MEXICO PRIMITIVE DRUG LAB,5
78,EXT MEXICO CHURCH  NIGHT,19
79,INT MEXICO CITY BAR  NIGHT,8
80,INT PHONE BOOTH  NIGHT,3
81,EXT PARK  NIGHT,10
82,INT LIVING ROOM  NIGHT,7
83,EXT HOUSE  NIGHT,16
84,EXT TREE HOUSE  MORNING,8
85,INT PRISON CELL  DAY,6
86,INT GOVERNMENT OFFICES TEXAS  DAY,33
87,EXT CHURCH  DAY,2
88,INT CHURCH,3
89,INT CONFESSIONAL,53
90,EXT DAY LABORER PICKUP SPOT  DAY,26
91,INT CHURCH SACRISTY,80
92,EXT ALLEY CHOP SHOP,17
93,INT MCLAUGHLINS OFFICE,26
94,INT PADRES CHURCH HEARSE,3
95,EXT BENZS ESTATE  DAY,3
96,EXT NATURAL SPRING  DAY,31
97,EXT BENZS ESTATE DAY,3
98,EXT WINDY ROAD  DAY,3
99,INT BENZS OFFICE  DAY,11
100,INT PADRES CHURCH GARAGE,6
101,EXT ARMORY  DAY,42
102,EXT OUTSIDE PADRES CHURCH  DAY,52
103,EXT DAY LABORER PICKUP SPOT  DAY,19
104,INT ELEKTRAS CAR  DAY,47
