1,INT APARTMENTFOYER  EVENING,33
2,EXT STREET  NIGHT,6
3,EXT PHARMACY  NIGHT,34
4,EXT FORRESTNEAR LAKE TAHOE  NIGHT  ,17
5,EXT FORRESTNEAR LAKE TAHOE  MORNING,16
6,INT PEPPERMILL CASINO  NIGHT  FLASHBACK,8
7,INT CASINOLOBBY  EARLY MORNING  FLASHBACK,10
8,INT LAKE TAHOEUNDERWATER  DAY,4
9,EXT LAKE TAHOE  THAT MOMENT,4
10,INT LAKE TAHOEUNDERWATER  THAT MOMENT,3
11,EXT LAKE TAHOE  THAT MOMENT,16
12,EXT RENO MOTEL  DAY  FLASHBACK,3
13,INT MOTEL  THAT MOMENT,5
14,INT AIR TANKER COCKPIT  FLASHBACK  DAY,9
15,EXT LAKE TAHOE  SHOT REPLAYED,4
16,INT CASINO  NIGHT  FLASHBACK,12
17,INT MOTEL ROOM  DAY  BACK TO SCENE,16
18,INT CASINO  NIGHT  BACK TO SCENE,13
19,INT HOTEL BANQUET ROOM  NIGHT ,13
20,EXT ROOFTOP  MORNING  FLASHBACK ,24
21,EXT ROOFTOP  FLASHBACK,10
22,INT COAT POCKET  THAT MOMENT,8
23,INT BUILDINGHALLWAY  THAT MOMENT,7
24,INT APARTMENT   THAT MOMENT,33
25,INT APARTMENT  DAY  LATER,20
26,INT APARTMENTHALLWAY  THAT MOMENT,13
27,INT APARTMENT  DAY  FLASHBACK,13
28,INT APARTMENTHALLWAY  PRESENT,8
29,EXT BUILDINGROOFTOP  DAY  FLASHBACK,30
30,INT APARTMENT  DAY,39
31,INT SUBURBAN HOME  DAY,17
32,INT BAR SETLOCATION  THAT MOMENT,29
33,INT SMILING PEANUT BAR  NIGHT,8
34,INT CLAUDIAS APARTMENT  LATER,9
35,INT CLAUDIAS BEDROOM  MOMENTS LATER,7
36,INT TELEVISION IMAGE  CLIP  THAT MOMENT,14
37,INT JIMMY GATORS OFFICE  DAY,14
38,INT CEDARS SINAI MEDICAL CENTER  HALLWAY  PRESENT DAY,7
39,INT DOCTORS OFFICE  MOMENTS LATER,9
40,INT SUBURBAN HOME  DAY,12
41,INT SPECTOR HOUSE  DAY,30
42,EXT SPECTOR HOUSE  MOMENTS LATER,7
43,EXT SCHOOL  MOMENTS LATER,16
44,INT  SUBURBAN HOME  DAY,19
45,INT DENTIST OFFICEEXAMINING ROOM  MOMENTS LATER,18
46,INT DENTIST OFFICEHALLWAY  LATER,13
47,EXT PARKING LOT  NORTH HOLLYWOOD  DAY,19
48,INT EARLS HOUSE  DAY,21
49,INT EARLS THROAT  THAT MOMENT,11
50,INT EARLS LIVING ROOM  THAT MOMENT,11
51,INT EARLS HOUSEUPSTAIRS BEDROOM  THAT MOMENT,18
52,INT EARLS HOUSE  LIVING ROOM  MOMENTS LATER,18
53,INT GARAGELINDAS MERCEDES  PARKED  MOMENTS LATER,5
54,INT JIM KURRINGS APARTMENT  DAY,38
55,INT VAN NUYS POLICE STATION  DAY,9
56,INT POLICE GARAGE  MOMENTS LATER,6
57,INT POLICE CAR  MOVING  LATER,31
58,EXT MAGNOLIA BOULEVARD  DAY,10
59,INT APARTMENT COMPLEXNORTH HOLLYWOOD  DAY,241
60,INT EARLS HOUSE  LIVING ROOM  DAY,143
61,INT BURBANK HOLIDAY INNBANQUET ROOM  THAT MOMENT,80
62,INT HOLIDAY INNLOBBY  THAT MOMENT,25
63,INT HOLIDAY INNBANQUET ROOM  THAT MOMENT,41
64,INT EARLS HOUSEOFFICE  THAT MOMENT,28
65,INT HOLIDAY INNBANOUET ROOM  THAT MOMENT,74
