1,EXT ROXBURY STREET  THE WAR YEARS  DAY,17
2, EXT STREET  DAY,5
3,INT BARBER SHOP  DAY,111
4,INT CLOTHING STORE  DAY,14
5,EXT ROXBURY STREET  DAY,83
6, INT ROSELAND STATE BALLROOM  NIGHT,18
7, INT THE DANCE FLOOR,33
8, INT THE DANCE FLOOR,75
9,EXT LAURAS HOUSE  ROXBURY  NIGHT,23
10,INT SOPHIAS CAR  NIGHT,44
11,AINT MOVIE THEATRE  DAY,10
12, EXT BOSTON COMMONS  DAY,43
13, EXT THE TROLLEY TRACKS  NIGHT REMEMBERED TIME,6
14, INT A HEARING ROOM  DAY,16
15, INT SOPHIAS APARTMENT  MORNING,60
16,EXT A BEACH  BRIGHT SUNLIGHT  DAY,36
17,INT DRUGSTORE  EVENING,6
18,INT LITTLE KITCHEN  DAY,85
19, INT OSTROWSKIS CLASSROOM  DAY,11
20,INT THE DRUGSTORE  PM,3
21,A INT OSTROWSKIS CLASSROOM  DAY,10
22,B INT THE DRUGSTORE  PM,5
23, EXT A SIGN  BLINDING SUNLIGHT  DAY,2
24, INT A ROOM IN THE HOSPITAL  DAY,17
25, EXT THE YANKEE CLIPPER  DAY,3
26,INT GALLEY OF TRAIN  NIGHT,60
27,INT A PASSENGER TRAIN  DAY,28
28,EXT THE RAILROAD TRACKS IN HARLEM  PM,3
29,EXT TH STREET STATION  PM,17
30,B EXT TH AND LENOX AVENUE,17
31,EXT SEVENTH AVENUE  NIGHT,14
32,EXT SMALLS PARADISE  NIGHT,3
33,INT SMALLS PARADISE  NIGHT,171
34, INT ARCHIES ROOM  NIGHT,45
35,INTEXT VARIOUS LOCATIONS  SERIES OF CLOSE SHOTS,41
36,A INT MOVIE THEATRE  NIGHT,7
37, INT ARCHIES ROOM  NIGHT,65
38,EXT SMALLS PARADISE  NIGHT,2
39, INT THE BAR  NIGHT,161
40,EXT ONYX CLUB  NIGHT,3
41, INT ONYX CLUB  NIGHT,55
42,INT ENTRANCE TO THE TOILET,3
43,INT MENS ROOM  NIGHT,2
44,EXT OUTSIDE THE MENS ROOM WINDOW  NIGHT FROM ARCHIES POV,4
45,INT MENS ROOM  NIGHT,9
46,EXT THE STREET  NIGHT,5
47,A INT LITTLE HOUSE  LANSING MICHIGAN  NIGHT REMEMBERED TIME ,21
48,C EXT HOUSE  NIGHT,42
49,DEXT STREET  LANSING  NIGHT REMEMBERED TIME,30
50,INT A CAR  NIGHT,39
51,INT HARVARD SQUARE APARTMENT  DAY,29
52, INT HARVARD SQUARE APARTMENT  NIGHT,114
53,EXTINT A BEACON HILL HOUSE  NIGHT,12
54,INT MANSION  DAY,27
55,INT A COURTROOM  DAY,32
56,INT THE CELL CORRIDOR  DAY,95
57, INT A SOLITARY CELL  DAY,15
58,INT SOLITARY  NIGHT,9
59,INT SOLITARY CELL  DAY,9
60,INT SOLITARY  NIGHT,7
61,INT SOLITARY  LATER,11
62, INT SHOWER ROOM  DAY,133
63, INT PRISON LICENSE SHOP  DAY,181
64,INT MALCOLMS CELL  NIGHT,11
65, INT LIBRARY  DAY,12
66,INT LICENSE SHOP  DAY,16
67,EXT THE PRISON YARD  DAY,90
68, INT ANOTHER PART OF THE PRISON  LATE AFTERNOON,25
69,INT A NICHE IN A PRISON WALL  PM,59
70,INT MALCOLMS CELLNIGHT,49
71,INT BEMBRYS LIVING ROOM  NIGHT,24
72, INT PRISON BARBER SHOP  DAY,18
73, INT SMALLS PARADISE  NIGHT,9
74,INT ELIJAHS OFFICE  DAY,18
75,INT PRISON CHAPEL  NIGHT,63
76,INT ELIJAHS OFFICE  DAY,20
77,INT BEMBRYS LIVING ROOM  PM,20
78,A EXT CHURCH  DAY,17
79,EXT STREET CORNER TH AND SEVENTH AVENUE  DAY,41
80,EXT OPEN AIR MAIDS MARKET  DAY,19
81,INT TEMPLE   NIGHT,41
82,INT MUSLIM CAFETERIA  NIGHT,47
83, INT A DINGY ROOM  DAY,51
84, EXT A STREET IN HARLEM  NIGHT,18
85, INT TEMPLE   NIGHT,31
86,INT A LARGE ANTEROOM IN TEMPLE   NIGHT,40
87, INT MUSLIM CAFETERIA  NIGHT TWOSHOT  BETTY AND MALCOLM,7
88,A EXT ELIJAHS GARDEN  DAY,67
89, INT MUSEUM OF NATURAL HISTORY  DAY,27
90,INT SODA FOUNTAIN  DAY,80
91,EXT SIDE STREET IN HARLEM  PM,26
92, INT POLICE STATION  LATE PM,27
93,EXT THE STREET OUTSIDE  LATE PM,6
94,AINT POLICE STATION  NIGHT,22
95,INT A LOCKUP  SAME,15
96, EXT THE STREET  LATER DARKER,19
97, EXT LENOX AVENUE  NIGHT,6
98, EXT HARLEM HOSPITAL  NIGHT,9
99,EXT OUTSIDE HARLEM HOSPITAL  NIGHT,17
100,EXT OUTSIDE HARLEM HOSPITAL  NIGHT,22
101,A INT MUSLIM CAFETERIA  NIGHT,56
102, INT TEMPLE   DETROIT  DAY,7
103,INT ELIJAHS OFFICE  DAY,56
104,INT A HOSPITAL WARD  DAY,10
105,EXT A PAY PHONE AT A GAS STATION  DAY,21
106, INT BEMBRYS BEDROOM  NIGHT,30
107,INT BEMBRYS LIVING ROOM  NIGHT,9
108,EXT RALLY  HARLEM  DAY,29
109,INT CHICAGO TEMPLE  NIGHT,38
110, INT BETTYS BEDROOM  NIGHT,7
111,AINT HOTEL ROOM  NIGHT,50
112,ACINT TV STUDIO,97
113,DINT ELIJAHS OFFICE  DAY,30
114,FINT ELIJAHS OFFICE  DAY,21
115,EXT STREET  HARLEM  DAY,14
116,J INT TEMPLE ,19
117,KEXT STREET  HARLEM  DAY,21
118,OINT MUSLIM CAFETERIA,28
119,EXT HARVARD SQUARE  DAY,20
120, INT HARVARD LAW SCHOOL  DAY,41
121,INT MONSTER RALLY  NIGHT,77
122, INT AN ANTEROOM OF THE RALLY  NIGHT,28
123, INT MALCOLMS HOME  NIGHT,140
124,B INT SISTER LUCILLES ROSARY APT  DAY,30
125, INT BEMBRYS HOUSE  NIGHT,34
126,AINT MANHATTAN CENTER  DAY,28
127, INT MALCOLM WITH REPORTERS  DAY,13
128,AINT ELIJAHS OFFICE  DAY,34
129,INT MALCOLMS HOUSE  NIGHT,42
130, INT HOTEL THERESA  DAY,50
131, EXT JFK AIRPORT  DAY,4
132,EXT VISITORS RAMP  DAY,24
133, INT AUDUBON BALLROOM  NIGHT,7
134, INTEXT MECCA  DAYNIGHT,22
135, INT ELIJAHS HOME  NIGHT,15
136, INT MALCOLMS HOME  NIGHT,31
137, EXT JFK AIRPORT  DAY,4
138,INT JFK AIRPORT  DAY,91
139,INT MALCOLMS HOUSE  NIGHT,39
140,EXT THE HOUSE  NIGHT,3
141, INT THE HOUSE  NIGHT,3
142, INT MALCOLMS BEDROOM  NIGHT,18
143, EXT THE HOUSE  NIGHT,6
144,EXT THE HOUSE  NIGHT LATER,21
145,A EXT TEMPLE   DETROIT  DAY,7
146,B EXT MALCOLMS STREET  NIGHT,18
147,C INT BASEMENT  DAY,12
148,D EXT NY HILTON  DAY  ESTABLISHING SHOT,1
149,E INT NY HILTON,22
150,F INT HOTEL ROOM  NIGHT,8
151,GINT HOTEL THERESA  NIGHT,21
152,K INT AUDUBON BALLROOM  NIGHT,4
153, INT A FRIENDS HOUSE  NIGHT,30
154,EXT ROAD,5
155, EXTSTREET  DAY,3
156,A EXT STREET  DAY,3
157,INT AUDUBON BALLROOM  DAY,4
158, EXT GEORGE WASHINGTON BRIDGE  DAY,6
159, EXT STREET  DAY,3
160, EXT STREET  DAY,3
161,A INT AUDUBON BALLROOM  DAY,12
162, INT BACKSTAGE  DAY,5
163, EXT STREET  DAY,39
164, INT BACKSTAGE  DAY,65
165, INT ANTEROOM  DAY,2
166,AINT BACKSTAGE  DAY,10
167, INT AUDUBON BALLROOM  DAY,140
168,I SHOT  INT CLASSROOM BULLETIN BOARD,21
