1,EXT A JAIL IN MEXICO  DAY,8
2,INT JAIL LOBBY  DAY,7
3,INT JAIL CELLS  DAY,10
4,INT JAIL LOBBY  DAY,3
5,INT JAIL CELLS  DAY,4
6,EXT EL MOCOS RANCH  DAY,12
7,INT JAIL CELLS  DAY,14
8,EXT EL MOCOS RANCH  DAY,47
9,EXT JAIL  DAY,5
10,INT AZUL IN JAIL CELL  DAY,9
11,INT JAIL  DAY,3
12,EXT JAIL  DAY,3
13,INT AZUL IN JAIL CELL  DAY,5
14,INT JAIL LOBBY  DAY,4
15,INT AZUL IN JAIL CELL  DAY,6
16,EXT EL MOCOS RANCH  DAY,2
17,INT AZUL IN JAIL CELL  DAY,4
18,INT TALL MEN IN HALL  DAY,32
19,INT TALL MEN IN CELL  DAY,4
20,INT JAIL LOBBY  DAY,6
21,EXT JAIL  DAY,19
22,CREDIT SEQUENCE EXT AZUL  MARIACHI ON HIGHWAY  DAY,15
23,EXT MAIN STREET  DAY,6
24,INT CORONA CLUB  DAY,84
25,EXT CORONA CLUB  DAY,7
26,INT CORONA CLUB  DAY,5
27,INT BATHROOM  OLD MEAN DUDE  DAY,2
28,INT CORONA CLUB  AZUL  DAY,60
29,INT BATHROOM  DAY,8
30,INT CORONA CLUB MAIN ROOM  DAY,44
31,EXT MOCOS RANCH  DAY,6
32,INT CORONA CLUB  BARTENDER  DAY,4
33,EXT CORONA CLUB  AZUL  DAY,3
34,EXT HOTEL COAHUILA  DAY,5
35,INT HOTEL COAHUILA LOBBY  DAY,30
36,EXT HOTEL CAOHUILA  MARIACHI  DAY,6
37,INT HOTEL COAHUILA LOBBY  DAY,10
38,EXT HOTEL COAHUILA  MARIACHI  DAY,9
39,EXT HOTEL COAHUILA  DAY,5
40,INT HOTEL COAHUILA LOBBY  DAY,39
41,EXT BOYSTOWN SALOON DOMINOS  DAY,66
42,INT MARIACHIS HOTEL ROOM  DAY,8
43,INT HOTEL COAHUILA LOBBY  DAY,5
44,INT MARIACHIS HOTEL ROOM  DAY,27
45,INT MARIACHIS HOTEL ROOM  DAY,2
46,EXT HOTEL COAHUILA  MEAN DUDES        DAY,3
47,INT HOTEL COAHUILA LOBBY  DAY,4
48,EXT COURTYARD IN HOTEL COAHUILA  DAY,14
49,INT MARIACHIS HOTEL ROOM  DAY,3
50,EXT HOTEL COURTYARD  DAY,3
51,INT MARIACHIS HOTEL ROOM  DAY,8
52,EXT HOTEL COURTYARD  DAY,2
53,INT MARIACHIS HOTEL ROOM  DAY,6
54,EXT HOTEL COURTYARD  DAY,12
55,INT HOTEL COAHUILA LOBBY  DAY,4
56,EXT HOTEL COURTYARD  DAY,3
57,INT HOTEL COAHUILA LOBBY  DAY,10
58,EXT HOTEL COAHUILA  DAY,8
59,EXT DOWN THE BLOCK  DAY,6
60,INT MARIACHIS HOTEL ROOM  DAY,2
61,EXT DOWN THE BLOCK  DAY,7
62,INT HOTEL COAHUILA LOBBY  DAY,7
63,INT MARIACHIS HOTEL ROOM  DAY,8
64,EXT HOTEL COURTYARD  DAY,13
65,INT HOTEL HALLWAY  DAY,3
66,EXT COURTYARD BALCONY  DAY,8
67,EXT FRONT BALCONY  HOTEL COAHUILA  DAY,3
68,INT HOTEL HALLWAY  DAY,2
69,EXT FRONT BALCONY  HOTEL COAHUILA  DAY,3
70,EXT STREET SHOT OUTSIDE HOTEL  DAY,4
71,EXT STREET  DAY,25
72,INT BOYSTOWN SALOON DOMINOS  DAY,6
73,INT AMADEUS  DAY,96
74,INT UPSTAIRS DOMINOS LOFT  DAY,14
75,INT AMADEUS  DAY,91
76,INT DOMINOS LOFT  DAY,169
77,INT AMADEUS  EVENING,2
78,INT AZULS HIDEOUT  DAY,29
79,EXT MOCOS RANCH  DAY,75
80,INT AMADEUS  DAY,21
81,INT DOMINOS LOFT  DAY,6
82,EXT MOCOS RANCH  DAY,2
83,INT DOMINOS LOFT  DAY,8
84,INT HOTEL COAHUILA  DAY,28
85,INT AMADEUS  DAY,41
86,EXT STREET  DAY,2
87,EXT BOYSTOWN SALOON  DAY,3
88,INT AMADEUS  DAY,14
89,EXT STREET  DAY,9
90,EXT DOWN THE STREET  DAY,5
91,EXT STREET  DAY,36
92,INT AMADEUS  DAY,12
93,EXT STREET  DAY,3
94,EXT AROUND THE CORNER  DAY,4
95,INT AMADEUS  DAY,8
96,EXT AROUND THE CORNER  DAY,2
97,EXT STREET  DAY,3
98,EXT AROUND THE CORNER  DAY,8
99,EXT A BLOCK AWAY  DAY,3
100,EXT STREET  DAY,13
101,EXT ANOTHER STREET  DAY,3
102,EXT DEAD END  DAY,6
103,EXT STREET  DAY,4
104,EXT DEAD END  DAY,9
105,INT AZULS HIDEOUT  DAY,84
106,INT DOMINOS LOFT  NIGHT,43
107,EXT MOCOS RANCH  DAY,14
108,INT DOMINOS LOFT  NIGHT,129
109,INT AMADEUS  DAY,14
110,EXT STREET  DAY,53
111,EXT ROAD TO MOCOS  DAY,8
112,EXT TRUCK  DAY,8
113,INT AMADEUS  DAY,4
114,INT AZULS HIDEOUT  DAY,19
115,INT MOCOS RANCH  DAY,21
116,EXT BOYSTOWN SALOON  DAY,3
117,INT AMADEUS  DAY,127
118,EXT NEAR SALOON  DAY,7
119,INT AMADEUS  DAY,20
120,INT DOMINOS LOFT  DAY M     ,4
