1,INT NEBACHANEZZER COCKPIT,133
2,INT SEPHORA COCKPIT,7
3,INT FREEDOM COCKPIT,18
4,EXT FREEDOM HULL,6
5,INT SEPHORA COCKPIT,35
6,INT NEB COCKPIT,15
7,INT SEPHORA COCKPIT,10
8,EXT THE SURFACE,20
9,INT NEB COCKPIT,130
10,INT MAIN DECK NEB,9
11,EXT ZION TARMAC,91
12,EXT ZION STREET,147
13,EXT MAIN STREET ZION,25
14,INT DEAD DUCK,81
15,EXT TUNNEL,30
16,INT FREEDOM COCKPIT,7
17,INT MAIN DECK,162
18,EXT MOUNTAIN TOP LATE DAY CONSTRUCT,171
19,INT MAIN BRIDGE,16
20,EXT GLADE CONSTRUCT,5
21,INT MAIN BRIDGE,9
22,EXT GLADE CONSTRUCT,9
23,INT OFFICE MATRIX,99
24,EXT DESERT HIGHWAY NIGHT,52
25,INT CRUISER,6
26,EXT HIGHWAY,7
27,INT COP CAR,23
28,EXT ROAD,21
29,INT CRUISER,9
30,EXT CRUISER,38
31,EXT BEACH,19
32,EXT DUNES,49
33,EXT CAMPFIRE,48
34,EXT HIGHWAY,9
35,INT HELICOPTER COCKPIT,18
36,EXT HIGHWAY,176
37,INT CRUISER,49
38,EXT GUTTED CRUISER,20
39,INT MAIN BRIDGE NIGHT,6
40,INT COCKPIT,5
41,INT MAIN BRIDGE,10
42,INT MAIN BRIDGE,9
43,INT MAIN BRIDGE,22
44,INT MORPHEUS CABIN,64
45,INT MAIN BRIDGE,98
46,EXT DESERT DAY,29
47,EXT DESERT ROCK,10
48,EXT DESERT,3
49,EXT DESERT ROCK,76
50,EXT LAKE SHORE,187
51,INT COCKPIT NIGHT,89
52,INT MAIN DECK,23
53,INT ABANDONED WAREHOUSE,20
54,INT MAIN BRIDGE,4
55,INT ABANDONED WAREHOUSE,42
56,EXT ABANDONED WAREHOUSE,38
57,EXT DOWNTOWN STREET,42
58,EXT FOREST GLADE,89
59,INT OFFICE BUILDING,7
60,EXT FOREST GLADE,12
61,EXT ROOFTOP,13
62,EXT STREET,17
63,EXT BUILDING ROOFTOP,50
64,EXT BUILDING ROOFTOP,10
65,EXT STREET,64
66,INT METACORTEX OFFICE,22
67,EXT ROOFTOP,2
68,EXT METACORTEX PLAZA,13
69,INT TANK TURRET,78
70,INT HELICOPTER COCKPIT,4
71,EXT HELICOPTER WING,11
72,EXT PLAZA,8
73,INT HELICOPTER COCKPIT,4
74,EXT HELICOPTER,6
75,INT TANK TURRET,4
76,EXT MA ABRAMS,15
77,INT TANK TURRET,2
78,EXT TANK,9
79,INT METACORTEX OFFICE,33
80,INT MAIN BRIDGE,16
81,EXT ROOF,2
82,INT MAIN BRIDGE,4
83,EXT ROOF,5
84,INT MAIN BRIDGE,7
85,INT OFFICE BUILDING,3
86,EXT OFFICE,4
87,EXT METACORTEX PLAZA,90
88,EXT ROOFTOP,10
89,EXT PLAZA,3
90,INT MAIN DECK,5
91,EXT ROOF,13
92,EXT CITY STREET,7
93,INT MAIN DECK,7
94,EXT ROOF,4
95,INT MAIN DECK,11
96,EXT STREET,7
97,EXT PLAZA,72
98,EXT ROOF,5
99,INT STAIRWAY,2
100,EXT METACORTEX BUILDING,14
101,EXT ROOFTOP,27
102,INT MAIN DECK,10
103,EXT ROOFTOP,12
104,INT EMPTY BUILDING,13
105,INT LOBBY,7
106,EXT PLAZA,59
107,EXT PLAZA,50
108,EXT ALLEY MATRIX DAY,45
109,EXT PLAZA,41
110,EXT ALLEY  DAY,26
111,EXT ALLEY MATRIX  DAY,4
112,EXT STREET MATRIX  DAY,38
113,EXT ALLEY MATRIX  DAY,9
