1,EXT ANNANDALEONHUDSON NY   AM,12
2,INT PARRISH COUNTRY ESTATE   AM,5
3,INT PARRISH BEDROOM   AM,43
4,EXT REAR TERRACE PARRISH COUNTRY ESTATE  NEXT MORNING,31
5,EXT GREAT HALL COUNTRY ESTATE  MORNING,127
6,EXT COUNTRY ESTATE  MORNING,122
7,INT ASTAR HELICOPTER  DAY,169
8,EXT TH STREET HELIPAD NEW YORK CITY  DAY,6
9,INT ELEVATOR NEW YORK CITY  DAY,63
10,EXT TH STREET NEW YORK CITY  DAY,19
11,INT LOBBY BONTECOU WORLD HEADQUARTERS  DAY,16
12,INT BONTECOU EXECUTIVE OFFICES  DAY,70
13,EXT NEW YORK HOSPITAL CORNELL MEDICAL CENTER  DAY,2
14,INT CORINTH COFFEE SHOP NEW YORK AVENUE  DAY,151
15,EXT PARRISH COMMUNICATIONS NEW YORK CITY  DAY,3
16,INT OUTER LOBBY PARRISH COMMUNICATIONS  DAY,19
17,INT EXECUTIVE OFFICES PARRISH COMMUNICATIONS  DAY,34
18,INT PARRISHS OFFICE  DAY,157
19,INT CORINTH COFFEE SHOP YORK AVENUE DAY,43
20,EXT CORINTH COFFEE SHOP YORK AVENUE  DAY,59
21,INT SALON PARRISH TOWNHOUSE NEW YORK CITY  NIGHT,85
22,INT DINING ROOM  NIGHT,116
23,INT HALLWAY OUTSIDE LIBRARY PARRISH TOWNHOUSE  NIGHT,7
24,INT LIBRARY PARRISH TOWNHOUSE  NIGHT,294
25,INT DINING ROOM  NIGHT,338
26,INT HALLWAY PARRISH TOWNHOUSE  NIGHT,43
27,INT MASTER GUEST SUITE PARRISH TOWNHOUSE  NIGHT,96
28,INT HALLWAY PARRISH TOWNHOUSE  NIGHT,29
29,INT GUEST ROOM PARRISH TOWNHOUSE  NIGHT,7
30,INT HALLWAY PARRISH TOWNHOUSE  NIGHT,5
31,INT KITCHEN HALLWAY PARRISH TOWNHOUSE  NIGHT,4
32,INT KITCHEN PARRISH TOWNHOUSE  NIGHT,66
33,INT SWIMMING POOL PARRISH TOWNHOUSE  DAY,185
34,INT HALLWAY PARRISH TOWNHOUSE  NEXT MORNING,7
35,INT GUEST SUITE PARRISH TOWNHOUSE  MORNING,93
36,EXT TH AVENUE NEW YORK CITY  DAY,95
37,INT LOBBY PARRISH COMMUNICATIONS  DAY,35
38,INT PARRISH COMMUNICATIONS OFFICE OF THE CHAIRMAN  DAY,36
39,INT BOARD ROOM PARRISH COMMUNICATIONS  DAY,224
40,INT PARRISHS OFFICE  DAY,56
41,INT EMERGENCY ROOM AREA NEW YORK HOSPITAL  DAY,249
42,INT PARRISHS OFFICE  AFTERNOON,201
43,INT SALON PARRISH TOWNHOUSE NEW YORK CITY  NIGHT,284
44,INT DINING ROOM PARRISH TOWNHOUSE  NIGHT,190
45,INT SALON PARRISH TOWNHOUSE  NIGHT,43
46,INT FOYER  NIGHT,180
47,INT THE CARLYLE HOTEL  NEXT DAY,172
48,INT DINING ROOM PARRISH TOWNHOUSE  NIGHT,106
49,INT SALON PARRISH TOWNHOUSE  NIGHT,306
50,INT EXECUTIVE SUITE PARRISH COMMUNICATIONS  NEXT DAY,22
51,INT BOARD ROOM PARRISH COMMUNICATIONS  DAY,190
52,INT HALLWAY OUTSIDE BOARD ROOM  DAY,22
53,INT HALLWAY PARRISH COMMUNICATIONS  DAY,65
54,INT FOYER PARRISH TOWNHOUSE  DAY,42
55,INT GUEST SUITE PARRISH TOWNHOUSE  DAY,132
56,INT FOYER PARRISH TOWNHOUSE LATER  DAY,124
57,INT EMERGENCY ROOM AREA NEW YORK HOSPITAL  DAY,14
58,INT EASTERS ROOM NEW YORK HOSPITAL  DAY,129
59,INT LIBRARY PARRISH TOWNHOUSE  LATE AFTERNOON,99
60,EXT THIRD AVENUE NEW YORK CITY  TWILIGHT,39
61,INT LIBRARY PARRISH TOWNHOUSE  NIGHT,32
62,EXT HELICOPTER POV HUDSON VALLEY  AFTERNOON,7
63,EXT PARRISH COUNTRY ESTATE  AFTERNOON,33
64,INT PARRISHS STUDY COUNTRY ESTATE  AFTERNOON,55
65,EXT LAWNS COUNTRY ESTATE  AFTERNOON,105
66,EXT WINE BAR LAWNS COUNTRY ESTATE  AFTERNOON,144
67,EXT FRONT ENTRANCE COUNTRY ESTATE  SUNSET LATER,9
68,EXT LAWN COUNTRY ESTATE  SUNSET,15
69,EXT GARDEN COUNTRY ESTATE  SUNSET,99
70,INT PARRISHS STUDY COUNTRY ESTATE  NIGHT,276
71,EXT LAWNS COUNTRY ESTATE  NIGHT,123
72,INT PARRISHS STUDY COUNTRY ESTATE  NIGHT,50
73,EXT LAWNS COUNTRY ESTATE  NIGHT,26
74,INT PARRISHS STUDY COUNTRY ESTATE  NIGHT,268
