1,INT DERELICT HOUSE  DAY ,32
2,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,12
3,EXT DERELICT BUILDING  DAY ,27
4,INT DERELICT BUILDING  DAY ,94
5,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,27
6,INT DISCOUNT INN OFFICE  DAY  ,31
7,EXT DISCOUNT INN CAR PARK  DAY ,21
8,INT CAR  DAY ,45
9,EXT CONTINUOUS  DERELICT BUILDING  DAY ,7
10,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,29
11,INT DISCOUNT INN ROOM   DAY ,13
12,EXT DISCOUNT INN  DAY ,5
13,INT DISCOUNT INN OFFICE  DAY   ,143
14,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,5
15,INT MOTEL ROOM  BATHROOM  DAY BLACK AND WHITE,10
16,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,12
17,INT A RESTAURANT RESTROOM  DAY ,16
18,INT RESTAURANT  DAY ,26
19,EXTINT JAGUAR  DAY ,4
20,EXT DISCOUNT INN ROOM   DAY ,4
21,INT DISCOUNT INN ROOM   DAY ,117
22,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,52
23,EXT THE CITY GRILL ON MAIN ST  DAY ,15
24,INT THE CITY GRILL ON MAIN STREET  DAY  ,139
25,INT LEONARDS APARTMENT  DAY  ,16
26,INT CITY GRILL  DAY  ,49
27,INT RESTAURANT RESTROOM  DAY  ,22
28,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,26
29,INT LEONARDS OFFICE  DAY BLACK AND WHITE SEQUENCE,21
30,INT MOTEL ROOM   DAY BLACK AND WHITE SEQUENCE,6
31,EXT DISCOUNT INN  DAY ,5
32,INT DISCOUNT INN OFFICE  DAY   ,12
33,EXT DISCOUNT INN  DAY ,5
34,INT DISCOUNT INN ROOM   DAY  ,90
35,EXT ROAD  DAY  ,3
36,EXT THE CITY GRILL ON MAIN STREET  DAY  ,7
