1,INT CAR  DAY,45
2,EXT TRANS AM  DAY,11
3,EXT BANK  DOWNTOWN  DAY,33
4,INT DINER  DAY,78
5,EXT STREET  DAY,2
6,EXT ROOFTOP ACROSS THE STREET  DAY,15
7,INT BANK  DAY,132
8,EXT BANK  DAY,20
9,INT BANK  DAY,38
10,EXT ROOFTOP  DAY,7
11,INT BANK  DAY,36
12,EXT ROOFTOP  DAY,8
13,EXT STREET  SHORT TIME LATER,75
14,INT METRO DIVISION HEADQUARTERS  DAY  RAINING,17
15,INT HALLWAY  DAY  RAINING,7
16,INT CAPTAIN SOLIS OFFICE  RAINING,62
17,INT HALLWAY  SAME  RAINING,4
18,INT SOLIS OFFICE  SAME  RAINING,108
19,INT HALLWAY  DAY  RAINING,45
20,INT UNDERGROUND GARAGE  NIGHT,75
21,EXT MARKET STREET  NIGHT,4
22,EXT KORDAS BUILDING  NIGHT,3
23,INT PICKUP  NIGHT,28
24,INT BUILDING  NIGHT,3
25,INT KORDAS APT  NIGHT,79
26,INT KITCHEN,44
27,INT HALLWAY  NIGHT,2
28,INT ELEVATOR  NIGHT,24
29,EXT BUILDING  NIGHT,6
30,INT BUILDING  NIGHT,10
31,INT THIRD FLOOR HALLWAY  NIGHT,3
32,INT KORDAS APT  NIGHT,4
33,INT HALLWAY  NIGHT,3
34,INT APT   NIGHT,4
35,EXT BUILDING  NIGHT,4
36,INT SOLIS OFFICE  NIGHT  RAIN,47
37,INT METRO OFFICE AREA  NIGHT,18
38,EXT SAN FRANCISCO STREET  NIGHT  RAINING,2
39,INT PICKUP,3
40,INT RONNIES HALLWAY  NIGHT,30
41,INT RONNIES HOUSE  NIGHT,99
42,EXT PIER   EARLY MORNING,4
43,INT WAREHOUSE  SAME,4
44,INT WATCHMANS QUARTERS  SAME,69
45,INT METRO DIVISION HEADQUARTERS  DAY,83
46,EXT MARKET STREET  DAY,2
47,INT PICKUP  DAY,54
48,EXT TH STREET  DAY,59
49,INT APT HALLWAYSTAIRCASE  ACROSS THE STREET,2
50,INT TH ST APARTMENT BUILDING HALLWAY  DAY,5
51,INT APARTMENT  DAY,55
52,EXT ROOF ACROSS THE STREET  ON MCCALL,4
53,INT RAYMONDS APARTMENT,74
54,EXT APT BLDG,8
55,INT APT BUILDING  HALLWAY  DAY,11
56,INT APT  DAY,29
57,INT METRO DIVISION  NIGHT,21
58,INT BILLY GOAT TAVERN  NIGHT,105
59,INT ROOM  DAY,50
60,INT TRAINING ROOM  MOMENTS LATER,86
61,INT TRAINING ROOM  LATER,37
62,INT CONFERENCE ROOM  DAY,33
63,EXT GOLDEN GATE RACETRACK  DAY,41
64,INT BETTING WINDOWS  DAY,11
65,EXT SEATING AREA  DAY,128
66,INT BETCASH WINDOW  DAY,21
67,EXT JEWELRY STORE  UNION SQUARE  DAY,6
68,INT TRAVEL AGENCY  COMMAND CENTER  DAY,11
69,EXT STREET  DAY,16
70,INT COMMAND POST  DAY,54
71,INT JEWELRY STORE  DAY,7
72,INT COMMAND CENTER  DAY,17
73,EXT STREET OUTSIDE JEWELRY STORE  DAY,13
74,INT COMMAND CENTER,2
75,EXT JEWELRY STORE  DAY,60
76,EXT COMMAND CENTER  DAY,62
77,INT JEWELRY STORE  DAY,56
78,EXT STREET  DAY,4
79,INT COMMAND CENTER  DAY,13
80,INT BUILDING  SAME,2
81,INT COMMAND CENTER  SAME,2
82,EXT ROOFTOP  DIFFERENT BUILDING  SAME,2
83,EXT ANOTHER ROOFTOP  SAME,2
84,INT COMMAND CENTER  SAME,29
85,EXT ROOFTOP  SAME,8
86,INT COMMAND CENTER  ROPERS POV  BINOCULARS  SAME,26
87,INT COMMAND CENTER,31
88,EXT POLICE BARRICADES  DAY,8
89,EXT STREET  DAY,5
90,INT VAN  DAY,4
91,INT CADILLAC  DAY,11
92,INT VAN  DAY,7
93,EXT STREET  DAY,6
94,INT VAN  DAY,6
95,INT CADILLAC,27
96,EXT STREET  DAY,2
97,INT VAN,17
98,INT CABLE CAR,13
99,INT CADILLAC,15
100,EXT UNDER CABLE CAR,2
101,EXT STREET,21
102,EXT INTERSECTION,18
103,INT CAR OF MAN TRAPPED IN INTERSECTION,13
104,INT CABLE CAR,35
105,INT CADDY,5
106,EXT STREET,20
107,INT GARAGE  DAY,7
108,INT THIRD LEVEL  GARAGE,20
109,INT GARAGE,74
110,INT METRO DIVISION  NIGHT,51
111,INT KITCHEN  NIGHT,56
112,INT RONNIES BEDROOM  NIGHT,14
113,INT COUNTY JAIL VISITING ROOM  DAY,56
114,EXT RONNIES HOUSE  NIGHT,2
115,INT RONNIES KITCHEN  NIGHT,2
116,EXT RONNIES HOUSE  NIGHT,3
117,INT KITCHEN  NIGHT,3
118,INT PICKUP  NIGHT,7
