1,INT KIEV APARTMENT  NIGHT,127
2,INT SHABBY ROOM  NIGHT,109
3,INT JET  DAY,123
4,INT JET  DAY,19
5,EXT PRAGUE SAFE HOUSE  DAY,4
6,INT SAFE HOUSE  PRAGUE  DAY,124
7,EXT PRAGUE  DAY,2
8,INT SAFE HOUSE  DAY,99
9,EXT AMERICAN EMBASSY  NIGHT,4
10,INT AN ELEVATOR SHAFT  NIGHT,8
11,INT SAFE HOUSE  NIGHT,12
12,INT EMBASSY  NIGHT,40
13,INT SAFE HOUSE  NIGHT,7
14,INT EMBASSY PARTY  NIGHT,16
15,INT ELEVATOR SHAFT  NIGHT,13
16,INT EMBASSY PARTY  NIGHT,9
17,INT SAFE HOUSE  NIGHT,9
18,INT EMBASSY PARTY  NIGHT,18
19,INT THE DENIED AREAELEVATOR BANK  NIGHT,49
20,INT ELEVATOR SHAFT  NIGHT,25
21,INT THE DENIED AREAELEVATOR BANK  NIGHT,13
22,INT ELEVATOR SHAFT  NIGHT,7
23,INT SAFE HOUSE  NIGHT,7
24,INT EMBASSY PARTY  NIGHT,6
25,INT EMBASSY WORK ROOM  NIGHT,22
26,INT SAFE HOUSE  NIGHT,8
27,INT EMBASSY WORK ROOM  NIGHT,5
28,INT ELEVATOR SHAFTWORK ROOM  NIGHT,14
29,INT SAFE HOUSE  NIGHT,6
30,INT EMBASSY WORK ROOM  NIGHT,15
31,INT SAFE HOUSE  NIGHT,6
32,INT EMBASSY WORK ROOM  NIGHT,4
33,INT ELEVATOR SHAFT  NIGHT,7
34,INT EMBASSY WORK ROOM  NIGHT,5
35,INT ELEVATOR SHAFT BELOW ELEVATOR  NIGHT,22
36,INT ELEVATOR SHAFT BELOW ELEVATOR  NIGHT,4
37,EXT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,5
38,EXT EMBASSY  NIGHT,18
39,INT ELEVATOR  NIGHT,2
40,INT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,8
41,INT SAFE HOUSE  NIGHT,5
42,INT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,5
43,INT SAFE HOUSE  NIGHT,6
44,INT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,6
45,INT EMBASSY WORK ROOM  NIGHT,3
46,INT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,3
47,EXT EMBASSY  NIGHT,9
48,INT ELEVATOR SHAFT ABOVE ELEVATOR  NIGHT,12
49,EXT EMBASSY  NIGHT,7
50,INT SAFE HOUSE  NIGHT,8
51,INT EMBASSY WORK ROOM  NIGHT,8
52,EXT PRAGUE SAFE HOUSE  NIGHT,4
53,EXT CHARLES BRIDGE  NIGHT,6
54,EXT EMBASSY AS SEEN FROM CHARLES BRIDGE  NIGHT,9
55,EXT EMBASSY  NIGHT,29
56,INT GETAWAY CAR  NIGHT,5
57,EXT EMBASSY  NIGHT,15
58,EXT PARKING AREA  NIGHT,2
59,EXT RESIDENTIAL STREET  NIGHT,20
60,EXT EMBANKMENT  NIGHT,5
61,EXT STAIRS TO BRIDGE  NIGHT,13
62,EXT STAIRS TO BRIDGE  NIGHT,4
63,EXT CHARLES BRIDGE  NIGHT,10
64,EXT PARKING AREA  NIGHT,14
65,EXT EMBANKMENT  NIGHT,8
66,EXT STAIRS FROM BRIDGE  NIGHT,2
67,EXT EMBANKMENT  NIGHT,47
68,EXT STREET  PHONE BOOTH  NIGHT,90
69,EXT STREET  NIGHT,7
70,EXT OLD TOWN SQUARE  NIGHT,9
71,INT RESTAURANT  NIGHT,178
72,EXT OLD TOWN SQUARE  NIGHT,3
73,EXT SAFE HOUSE  ENTRYWAY  NIGHT,3
74,INT SAFE HOUSE STAIRWELL  NIGHT,6
75,INT SAFE HOUSE STAIRWELL  MOMENTS LATER  NIGHT,6
76,INT SAFE HOUSE  DOORWAY  NIGHT,4
77,INT SAFE HOUSE  NIGHT,5
78,INT SAFE HOUSE BATHROOM  NIGHT,11
79,INT SAFE HOUSE KITCHEN  NIGHT,3
80,INT SAFE HOUSE  NIGHT,200
81,INT SAFE HOUSE  LATER THE SAME NIGHT,58
82,EXT STREET BY BANKFLORENC BUS STOP  DAY,10
83,INT CAR  DAY,15
84,INT MAXS APARTMENT  DAY,163
85,EXT MAXS APARTMENT  BALCONY  DAY,12
86,INT MAXS APARTMENT  DAY,4
87,EXT MAXS APARTMENT,5
88,INT MAXS BUILDING  LOBBY  DAY,4
89,INT MAXS BUILDING HALLWAY  DAY,12
90,INT APARTMENT  DAY,9
91,EXT POWDER TOWER  TOP SHOT  DAY,3
92,EXT MAXS APARTMENT BALCONY  DAY,6
93,INT MAXS CAR  ETHAN AND MAX  DAY,12
94,INT CAR  MOVING  DAY,64
95,INT MAXS APARTMENT  DAY,38
96,INT SAFE HOUSE  DAY,28
97,INT SAFE HOUSE  MOMENTS LATER  DAY,14
98,INT TRAIN  STATEROOM  NIGHT,114
99,INT CIA CORRIDORGUARD STATION  DAY,13
100,INT CIA COMPUTER ANTEROOM  DAY,15
101,INT CIA COMPUTER ROOM  DAY,32
102,INT TRAIN STATEROOM  NIGHT,5
103,INT TRAIN CORRIDOR  NIGHT,7
104,ETHANS POV THRU WINDOW INT BUSINESS CAR  NIGHT,7
105,INT TRAIN  CORRIDOR  NIGHT,7
106,INT TRAIN  CLAIRES COMPARTMENT  NIGHT,43
107,EXT CIA LANGLEY  DAY,5
108,INT COMMUNICATIONS ROOM  DAY,57
109,EXT VIRGINIA TWO LANE HIGHWAY  DAY,3
110,INT CIA LANGLEY LOBBY  DAY,43
111,EXT CIA LANGLEY  PARKING AREA  DAY,6
112,INT FIRE TRUCK  DAY,20
113,INT CIA LANGLEY  LOBBY  DAY,12
114,INT CIA STORAGE ROOM  DAY,9
115,INT CIA CAFETERIA  DAY,29
116,INT FIRE TRUCK  DAY,8
117,INT CIA CORRIDORGUARD STATION  DAY,9
118,INT CIA LANGLEY  CORRIDORS  DAY,11
119,INT CIA  SERVICE AREA  DAY,30
120,INT VERTICAL DUCT  DAY,9
121,INT DUCT  DAY,10
122,INT DUCT  DAY,8
123,INT DUCT  DAY,12
124,INT CIA  COMPUTER ROOM  DAY,18
125,INT CIA COMPUTER ROOM  DAY,3
126,INT CIA  COMPUTER ROOM  DAY,16
127,INT CIA  COMPUTER ROOM  DAY,3
128,INT CIA COMPUTER ROOM  DAY,4
129,INT CIA COMPUTER ROOM  DAY,10
