1,INT REC ROOM  MORNING,39
2,EXT MOON  MORNING,12
3,INT BATHROOMSHOWER  MORNING,6
4,INT COMMS ROOM,15
5,INT MONITORING STATION,11
6,INT RETURN VEHICLE,9
7,INT REC ROOM,23
8,INT GREENHOUSE,10
9,INT INFIRMARY,9
10,EXT LUNAR LANDSCAPE,15
11,EXT EARTH  AS SEEN FROM THE MOON,11
12,INT SLEEPING QUARTERS,28
13,INT COMMS ROOM,12
14,INT CORRIDOR,8
15,INT REC ROOM,43
16,EXT MOON,5
17,INT MONITORING STATION  DAY,15
18,INT STORAGE CUBBY,6
19,INT MONITORING STATION,17
20,INT CHANGING AREA,6
21,INT DOCK,14
22,EXT HARVESTERMOON SURFACE,9
23,INT HARVESTERBELLY  CONTINUOUS,27
24,INT CORRIDOR  LATER,8
25,INT COMMS ROOM,55
26,INT CORRIDOR  DAY,25
27,INT REC ROOM  DAY,160
28,INT REC ROOM  LATER,15
29,INT COMMS ROOM  CONTINUOUS,7
30,INT REC ROOM  CONTINUOUS,7
31,INT COMMS ROOM,63
32,INT REC ROOM  DAY,8
33,INT BATHROOM  DAY,9
34,INT BATHROOMTOILET,18
35,INT COMMS ROOM  DAY,66
36,EXT THE EARTH  NIGHTLATER,6
37,INT REC ROOM  SAME,23
38,INT GREENHOUSE  NIGHT,9
39,INT REC ROOM  NIGHTLATER,37
40,INT INFIRMARY  LATER,38
41,INT THE SLEEPING QUARTERS  NIGHT,11
42,INT SLEEPING QUARTERS  MORNING,11
43,INT REC ROOM  MORNING,5
44,INT REC ROOM  MORNINGLATER,17
45,INT MONITORING STATION  MORNINGLATER,32
46,INT MONITORING STATION  LATERMORNING,67
47,INT INFIRMARY  DAY,45
48,INT INFIRMARY  LATER,10
49,EXT MOON ,6
50,INT INFIRMARY,13
51,INT CORRIDOR  CONTINUOUS,19
52,INT COMMS ROOM  CONTINUOUS,28
53,INT INFIRMARY  LATER,5
54,INT INFIRMARY  LATER,7
55,INT INFIRMARY  LATER,45
56,INT CORRIDOR  DAY,9
57,INT SLEEPING QUARTERS  CONTINUOUS,13
58,EXT THE MOON  DAY,10
59,INT MONITORING STATION  MORNING,17
60,INT COMMS ROOM  LATER,25
61,INT REC ROOM  MORNING,8
62,INT COMMS ROOM  DAY,49
63,INT SLEEPING QUARTERS  MORNING,18
64,INT REC ROOM,5
65,INT COMMS ROOM,31
66,INT REC ROOM,5
67,INT CORRIDOR,47
68,INT CHANGING AREA,5
69,INT DOCK,14
70,EXT MOON  CONTINUOUS,45
71,INT DOCK  A FEW MINUTES LATER,12
72,INT CORRIDOR,33
73,INT INFIRMARY  DAY,14
74,INT INFIRMARY  LATER,66
75,INT CORRIDOR  DAY,7
76,INT REC ROOM  CONTINUOUS,12
77,INT MONITORING STATION,51
78,INT CORRIDOR,5
79,INT SLEEPING QUARTERS  CONTINUOUS,11
80,INT REC ROOM,69
81,INT GREENHOUSE  LATER,41
82,INT REC ROOM  LATER,21
83,INT REC ROOM  LATER,66
84,INT COMMS ROOM  DAY,104
85,INT CORRIDOR  CONTINUOUS,21
86,INT REC ROOM,77
87,INT MONITORING STATION  QUICK CUTS,7
88,INT CORRIDOR  QUICK CUTS,5
89,INT SLEEPING QUARTERS  QUICK CUTS,7
90,INT REC ROOM,64
91,INT BATHROOM  MOMENTS LATER,26
92,INT REC ROOM,7
93,INT MONITORING STATION,117
94,INT SLEEPING QUARTERS,7
95,INT REC ROOM,282
96,INT DOCK,11
97,INT CORRIDOR,6
98,INT BATHROOM,24
99,EXT MOON  DAY,11
100,INT MONITORING STATION,74
101,INT RETURN VEHICLE,47
102,INT DOCK,7
103,INT CORRIDOR,18
104,INT RETURN VEHICLE,11
105,INT LOWER DECKCHAMBER  CONTINUOUS,71
106,INT MONITORING STATION  MOMENTS LATER,32
107,INT DOCK,117
108,EXT ROVERMOON SURFACE,8
109,INT COMMS ROOM,8
110,INT REC ROOM  DAY,121
111,INT SLEEPING QUARTERS,11
112,INT REC ROOM,41
113,INT SLEEPING QUARTERS  DAY,4
114,INT STORAGE CUBBY,73
115,INT COMMS ROOM,8
116,INT SLEEPING QUARTERS,9
117,INT SLEEPING QUARTERS,17
118,INT SLEEPING QUARTERS,16
119,INT CORRIDOR,6
120,INT INFIRMARY  CONTINUOUS,30
121,INT REC ROOM,77
122,EXT MOON BASE  DAY,5
123,INT CORRIDOR,26
124,INT INFIRMARY  DAY,12
125,INT COMMS ROOM,27
126,INT SLEEPING QUARTERS  DAY,21
127,INT SLEEPING QUARTERS,186
128,INT COMMS ROOM,8
129,INT INFIRMARY  LATER,20
130,INT MONITORING STATION  DAY,47
131,INT INFIRMARY  DAY,24
132,INT INFIRMARY  LATER,39
133,EXT MOON SURFACE,5
134,INT MONITORING STATION,18
135,INT MONITORING STATION,10
136,EXT MARK,7
137,INT MONITORING STATION,10
138,EXT WIDE SHOT  THE MOON,7
139,INT MOON BASE SELENEQUICK SHOTS,10
140,INT COMMS ROOM,6
141,EXT ELIZAS SPACECRAFTMOON SURFACE,6
142,INT INFIRMARY  LATER,34
143,EXT MARKJAMMERMOON SURFACE,8
144,EXT CARGO CONTAINERSPACE,6
145,INT CARGO CONTAINER,32
