1,EXT A STATION,281
2,INT LONGFELLOWS LIVING ROOM,226
3,INT AN ALCOVE,132
4,EXT STATION,56
5,EXT STATION,21
6,INT TRAIN DRAWING ROOM,51
7,INT GENERAL OFFICE,22
8,INT PRIVATE OFFICES,7
9,INT CEDARS PRIVATE OFFICES  ANTEROOM,11
10,INT CEDARS PRIVATE OFFICE,92
11,INT AN APARTMENT,34
12,INT EDITORS OFFICE DAILY MAIL,110
13,EXT RESIDENCE,3
14,INT LONGFELLOWS BEDROOM,236
15,INT CORRIDOR,14
16,INT BOARD ROOM,31
17,INT DIRECTORS ROOM,213
18,INT LONGFELLOWS BEDROOM,236
19,EXT CORRIDOR,80
20,EXT FRONT OF HOUSE,6
21,INT TAXI CAB,26
22,EXT FRONT OF HOUSE,58
23,INT TAXI CAB,15
24,INT TULLIOS,332
25,INT FOYER OF TULLIOS,112
26,INT MACS OFFICE,111
27,INT LONGFELLOWS BEDROOM,268
28,EXT TOP OF FIFTH AVENUE BUS  NIGHT,17
29,EXT STREET,11
30,INT THE TAXI  PROCESS,11
31,EXT TOP OF BUS,87
32,INT THE TAXI,12
33,EXT RIVERSIDE DRIVE  GRANTS TOMB,8
34,INT THE TAXI,53
35,INT PRIVATE OFFICES,12
36,INT CEDARS PRIVATE OFFICE,95
37,EXT ROOF OF TALL BUILDING  NIGHT,41
38,EXT CENTRAL PARK  NIGHT,9
39,EXT PARK  BEHIND SOME BUSHES,154
40,EXT PARK  BEHIND SOME BUSHES,61
41,INT LIVING ROOM OF MABEL DAWSONS STUDIO,76
42,INT LONGFELLOWS BEDROOM,7
43,INT MABELS LIVING ROOM,5
44,INT LONGFELLOWS BEDROOM,43
45,INT APT LIVING ROOM,66
46,INT LONGFELLOWS BEDROOM,29
47,INT GRAND STAIRCASE,81
48,EXT LONGFELLOWS HOME  NIGHT,4
49,INT DRAWING ROOM  NIGHT,49
50,INT MABELS BEDROOM,40
51,INT LIVING ROOM,202
52,EXT FRONT OF BABES HOME,174
53,INT NEWSPAPER OFFICE  DAY,96
54,INT GRAND STAIRCASE,5
55,INT INTIMATE DINING ROOM,96
56,INT BEDROOM,91
57,INT NEWSPAPER OUTER OFFICE,33
58,INT LONGFELLOWS BEDROOM,9
59,INT NEWSPAPER OUTER OFFICE,7
60,INT LONGFELLOWS BEDROOM,6
61,INT NEWSPAPER OUTER OFFICE,12
62,INT LONGFELLOWS BEDROOM,37
63,INT CORRIDOR,17
64,INT GRAND FOYER,165
65,EXT INTIMATE DINING ROOM,29
66,EXT LONGFELLOW DEEDS HOME,5
67,INT LONGFELLOWS DRAWING ROOM,92
68,INT CEDARS OFFICE,63
69,INT LONGFELLOWS DRAWING ROOM,237
70,INT CORRIDOR OF HOSPITAL,31
71,INT HOSPITAL ROOM,42
72,INT CORRIDOR OUTSIDE DOOR,68
73,EXT COURTHOUSE,4
74,INT CORRIDOR OF COURTHOUSE,6
75,INT COURTROOM,89
76,INT COURTROOM,1433
