1,EXT SOUTH DAKOTAN FARM  DAY,8
2,INT FARMHOUSE  DAY,12
3,EXT FARMHOUSE  DAY,10
4,EXT THE SKY  DAY,3
5,EXT KENNEDY INTERNATIONAL  AFTERNOON,8
6,INT TAXI  DAY,33
7,EXT LOCATION  DAY,4
8,INT TAXI  DAY,50
9,EXT BRIDGE  DAY,4
10,EXT EAST TH STREET AND ND AVENUE  DAY,77
11,EXT EAST TH STREET  DAY  A FEW MINUTES LATER,73
12,EXT THE FRONT SECURITY DOOR  A FEW MOMENTS LATER,6
13,INT COOP  TWILIGHT  A FEW MOMENTS LATER,24
14,EXT STREET  TWILIGHT  MARIANS POV ,7
15,INT COOP  NIGHT  LATER,42
16,INT COOP  NIGHT,14
17,EXT STREET  NIGHT  MONTAGE,31
18,INT COOP  NIGHT,4
19,EXT COOP BUILDING  DAY,3
20,INT COOP  DAY,17
21,INT COOP  DAY  LATER,3
22,EXT STREET  DAY  MARIANS POV ,19
23,INT HALLWAY  DAY,8
24,INT COOP  NIGHT,10
25,EXT NEW YORK  DUSK,2
26,INT RESTAURANTBAR  NIGHT,73
27,EXT EAST TH STREET  NIGHT,9
28,INT COOP  NIGHT,4
29,EXT SATANS DISCIPLES CLUBHOUSE  NIGHT,26
30,INT CLUBHOUSE  NIGHT,4
31,INT DREAM CORRIDOR  NIGHT,7
32,INT COOP  NIGHT,2
33,INT KITCHEN  A FEW MOMENTS LATER,4
34,INT PAULAS COOP  THE NEXT DAY,3
35,INT HALLWAY  DAY,6
36,EXT EAST TH STREET  DAY  A FEW MOMENTS LATER,9
37,EXT NEW YORK CITY  DAY  MONTAGE,12
38,EXT EAST TH STREET  DAY,112
39,EXT PAULAS BUILDING  DAY  A FEW MOMENTS LATER,17
40,INT COOP HALLWAY  LATER THAT DAY,7
41,INT COOP  BATHROOM  NIGHT  LATER,12
42,EXT STREET  NIGHT  MARIANS POV,25
43,INT COOP  DAY,26
44,INT COOP  DAY  A FEW MINUTES LATER,66
45,EXT STREET  DAY  MARIANS AND MARIKAS POV,3
46,INT COOP  DAY,16
47,EXT EAST TH STREET  DAY,68
48,EXT CLUBHOUSE ENTRANCE  DAY  A FEW MOMENTS LATER,26
49,INT SATANS DISCIPLES CLUBHOUSE  DAY,73
50,INT CLUBHOUSE  DAY  MONTAGE,12
51,INT CLUBHOUSE  DAY  MONTAGE CONTINUING  LATER,14
52,INT CLUBHOUSE  DAY  STILL LATER,37
53,EXT BUILDING  DAY,4
54,INT OFFICE  DAY,46
55,INT COOP  NIGHT,78
56,INT COOP  NIGHT,3
57,EXT EAST TH STREET  NIGHT,18
58,INT COOP  NIGHT,35
59,EXT CENTRAL PARK  DAY,28
60,INT COOP  DAY,38
