1,INT TATTOO PARLOR  NIGHT,260
2,INT ISTANBUL SUPERMARKET AISLE  DAY,13
3,INT ISTANBUL SUPERMARKET  CHECKOUT  MOMENTS LATER,46
4,EXT ISTANBUL STREET  DAY,10
5,FLASHBACK  INT ORPHANAGE OZUNU HOUSE  NIGHT,34
6,INT EUROPOL OFFICE  DAY,106
7,INT ISTANBUL APARTMENT BUILDING  HALL,44
8,INT ISTANBUL RAIZOS APARTMENT  CONTINUOUS,14
9,FLASHBACK  INT ORPHANAGE DOJO  DAY,43
10,EXT BERLIN  DAY,5
11,EXT EUROPOL  DAY,7
12,INT EUROPOL OFFICE  HALLWAY  DAY,135
13,INT ISTANBUL LAUNDROMAT  NIGHT,12
14,FLASHBACK  INT ORPHANAGE  DAY,17
15,INT ISTANBUL LAUNDROMAT  NIGHT,52
16,INT ISTANBUL LAUNDROMAT OFFICE  NIGHT,6
17,INT ISTANBUL LAUNDROMAT  NIGHT,11
18,EXT CURRYWURST STAND BERLIN  DAY,117
19,INT ISTANBUL RAIZOS APARTMENT  DAY,18
20,FLASHBACK  INT ORPHANAGE KITCHENDINING ROOM  DAY,56
21,FLASHBACK  INT ORPHANAGE OZUNU HOUSE  NIGHTINGALE,48
22,FLASHBACK  INT ORPHANAGE DORMITORY  NIGHT,36
23,INT MIKAS APARTMENT  NIGHT,9
24,INT MIKAS APARTMENT  BEDROOM  MOMENTS LATER,27
25,FLASHBACK  INT ORPHANAGE DOJO,96
26,INT ISTANBUL RAIZOS APARTMENT  DAY,17
27,FLASHBACK  INT ORPHANAGE  DAY,11
28,EXT ISTANBUL  STREET  DAY,12
29,FLASHBACK  EXT ORPHANAGE BONSAI GARDEN  DAY,80
30,INT MIKAS OFFICE  NIGHT,50
31,EXT BERLIN STREET  NIGHT,10
32,INT ISTANBUL RAIZOS APARTMENT  DAY,8
33,FLASHBACK  INT ORPHANAGE DOJO  NIGHT,70
34,EXT RIVERSIDE PARK  DAY,21
35,FLASHBACK  INT MASLOWS OFFICE  NIGHT,7
36,EXT RIVERSIDE PARK  DAY,98
37,INT ISTANBUL RAIZOS APARTMENT  NIGHT,26
38,FLASHBACK  INTEXT ORPHANAGE DOJOVERANDA  NIGHT,10
39,FLASHBACK  INT ORPHANAGE DOJO  NIGHT,40
40,FLASHBACK  INT ORPHANAGE DORMITORY  NIGHT,24
41,EXT POTSDAM  SABATIN HOME  DAY,26
42,INT SABATIN HOME  DAY,56
43,FLASHBACK  EXT SABATIN HOME  DAY,47
44,FLASHBACK  INTEXT SABATIN HOUSE  DAY,40
45,FLASHBACK  EXT SABATIN HOUSE  NIGHT,30
46,INT ISTANBUL RAIZOS APARTMENT  DAY,33
47,EXT ISTANBUL STREET SOUK  DAY,11
48,EXT ISTANBUL STREET  DAY,8
49,INT MIKAS APARTMENT  LIVING ROOM  DAY,95
50,FLASHIMAGE  INT MASLOWS OFFICE  AFTERNOON,98
51,INT PASSPORT CONTROL AIRPORT  DAY,10
52,INT MIKAS OFFICE  DAY,88
53,INT PARKING GARAGE  NIGHT,13
54,INT PARKING GARAGE CAR  NIGHT,35
55,INT JAMISONS OFFICE  DAY,24
56,INT PARKING GARAGE CAR  NIGHT,67
57,EXT MIKAS APARTMENT BUILDING  NIGHT,41
58,INT MIKAS APARTMENT BUILDING STAIRWELL  NIGHT,8
59,INT MIKAS APARTMENT  MOMENTS LATER,238
60,INT MIKAS APARTMENT BUILDING STAIRWELL  NIGHT,15
61,INT MIKAS APARTMENT  NIGHT,35
62,EXT WOODS  NIGHT,5
63,INT ORPHANAGE OZUNU HOUSE ASSEMBLY ROOM  NIGHT,11
64,EXT WOODS  NIGHT,6
65,INT ORPHANAGE OZUNU HOUSE ASSEMBLY  NIGHT,7
66,EXT WOODS  NIGHT,7
67,EXT STREET  NIGHT,4
68,INT CAR  NIGHT,50
69,FLASHBACK  INT LIMOUSINE  NIGHT,29
70,INT FIVE STAR HOTEL LOBBY  NIGHT,17
71,INT FIVE STAR HOTEL BATHROOM  NIGHT,49
72,EXT ROOF  NIGHT,88
73,INT CAR  NIGHT,83
74,EXT SHOPPING MALL  NIGHT,5
75,INT CAR  NIGHT,39
76,EXT HIGHWAY MOTEL  NIGHT,4
77,INT HIGHWAY MOTEL ROOMBATHROOM  NIGHT,15
78,EXT HIGHWAY MOTEL  NIGHT,6
79,INT HIGHWAY MOTEL ROOMBATHROOM  NIGHT,65
80,EXT HIGHWAY MOTEL PARKING LOT  NIGHT,25
81,INT CAR  NIGHT,18
82,EXT AUTOBAHN  NIGHT,24
83,INT MASLOWS OFFICE  NIGHT,47
84,EXT BERLIN WALL  NIGHT,62
85,FLASHBACK  INT ORPHANAGE DOJO  DAY,37
86,FLASHBACK  INT ORPHANAGE DORMITORY  NIGHT,15
87,INT SAFEHOUSE  VAULT  NIGHT,9
88,INT SAFEHOUSE GROUND FLOOR  NIGHT,100
89,INT SAFEHOUSE OFFICE  NIGHT  CONTINUOUS,42
90,INT SAFE HOUSE VAULT  NIGHT,14
91,FLASHBACK  INT ORPHANAGE DORMITORY  NIGHT,6
92,FLASHBACK  EXT ORPHANAGE MEDITATION BOX  NIGHT,34
93,INT SAFEHOUSE  VAULT  NIGHT,61
94,INT SAFEHOUSE GROUND FLOOR  NIGHT,42
95,INT SAFEHOUSE  VAULT  NIGHT,5
96,INT SAFEHOUSE GROUND FLOOR  NIGHT,30
97,INT SAFEHOUSE  VAULT  NIGHT,47
98,INT SAFEHOUSE  GROUND FLOOR  NIGHT,27
99,INT SAFEHOUSE  VAULT  NIGHT,58
100,INT SAFEHOUSE  SUBLEVEL  NIGHT,14
101,INT SAFEHOUSE  STAIRWELL  NIGHT,39
102,INT SAFEHOUSE  GROUND FLOOR,23
103,INT GARAGE  NIGHT,40
104,INT SAFEHOUSE  GROUND FLOOR  NIGHT,25
105,INT GARAGE  NIGHT,58
106,INT SAFE HOUSE  NIGHT,29
107,EXT ROOFTOPS  NIGHT,7
108,EXT WINGED VICTORY ROUNDABOUT  NIGHT,16
109,EXT WINGED VICTORY ROUNDABOUT  NIGHT  CONTINUOUS,53
110,EXT HERBALIST  NIGHT,14
111,INT HERBALIST  NIGHT  CONTINUOUS,63
112,EXT AUTOBAHN  NIGHT,6
113,INT SAFEHOUSE  NIGHT,54
114,EXT HIGHWAY MOTEL PARKING LOT  NIGHT,5
115,INT HIGHWAY MOTEL ROOMBATHROOM  NIGHT,5
116,INT HIGHWAY MOTEL ROOM  NIGHT,32
117,INT MASLOWS OFFICE  NIGHT,12
118,EXT HIGHWAY MOTEL ACROSS PARKING LOT  NIGHT,6
119,INT HIGHWAY MOTEL ROOM  NIGHT,13
120,EXT HIGHWAY MOTEL PARKING LOT  DAWN,4
121,EXTINT HIGHWAY MOTEL ROOM  DAWN,25
122,EXT ORPHANAGE COURTYARDWALL  NIGHT,55
123,INT METAL BOX  NIGHT,8
124,FLASHBACK  EXT ORPHANAGE COURTYARD  DAY,38
125,INT ORPHANAGE COURTYARD  NIGHT,162
126,INT ORPHANAGE KITCHENDININGDORMITORYDOJO  NIGHT,59
127,INT ORPHANAGE OZUNU HOUSE NIGHTINGALE FLOORMASTERS,38
128,EXT ORPHANAGE  COURTYARD  NIGHT,7
129,INT ORPHANAGE OZUNU HOUSE ASSEMBLY ROOM  NIGHT,68
130,EXT ORPHANAGE COURTYARD  NIGHT,74
131,EXT ORPHANAGE BONSAI GARDEN  DAY,36
132,EXT ORPHANAGE COURTYARDWALL  DAY,11
133,EXT ORPHANAGE COURTYARDWALL  DAY,5
134,FLASHBACK  EXT ORPHANAGE WALL  NIGHT,5
