1,EXTINT FLOWER SHOP  DAY,135
2,EXT HOUSE  DAY,6
3,INT HOUSE  DAY,16
4,EXT HOUSE  DAY,5
5,INT CAR  DAY,28
6,INT BANK VAULT  DAY,5
7,EXT TRAIN STATION NOT A BIG ONE  DAY,4
8,INT AMTRAK TRAIN  DAY,11
9,INT SPA  DAY,39
10,INT AMTRAK TRAIN  DAY,6
11,INT POOL  DAY,12
12,INT AMTRAK TRAIN  DAY,29
13,INT YOGA STUDIO  DAY,46
14,INT AMTRAK TRAIN  DAY,24
15,INT RUSTYS CAR  DAY,61
16,INT AMTRAK TRAIN  DAY,5
17,INT RITZ CARLTON HOTEL NEW YORK  DAY,28
18,INT AMTRAK TRAIN  DAY,4
19,INT STAGE  NIGHT,32
20,INT AMTRAK TRAIN  DAY,4
21,INT THE WASPIEST IMAGINABLE MENS CLUB  DAY,43
22,INT AMTRAK TRAIN  DAY,4
23,INT RECORDING STUDIO  NIGHT,6
24,INT RECORDING BOOTH  MOMENTS LATER,11
25,INT AMTRAK TRAIN  DAY,4
26,INT CAR  DAY,25
27,INT AMTRAK TRAIN  DAY,69
28,INT AIRPORT TERMINAL  TICKETING AREA,61
29,INT SECURITY AREA,41
30,INT   NIGHT,143
31,EXT AMSTERDAM  DAY,4
32,EXT RED LIGHT DISTRICT  DAY,14
33,INT BELLAGIO OF AMSTERDAM  DAY,34
34,EXT AMSTERDAMS FINEST FIVESTAR HOTEL,13
35,EXT CONVENIENCE STORE UNITED STATES  DAY,4
36,EXT PHONE BOOTH  DAY,40
37,INT AMSTERDAM HOTEL SUITE  NIGHT,5
38,INT HOTEL  NIGHT,5
39,EXT AMSTERDAM COFFEE HOUSE  DAY,18
40,INT COFFEE HOUSE  CLOSE ON EVELYN,48
41,EXT COFFEE HOUSE  AFTERWARD  DAY,51
42,INT AMSTERDAM HOTEL SUITE  NIGHT,109
43,INT HOTEL SUITE  THE PLANNING SESSION CONTINUOUS,34
44,INT HOTEL SUITE  THE PLANNING SESSION CONTINUOUS,115
45,INT HOTEL SUITE  THE PLANNING SESSION  NIGHT,25
46,INT HOTEL SUITE  DAY,66
47,EXT CANAL  DUSK,110
48,EXT VANDERSPEIGLES HOUSE  NIGHT,7
