1,INT COCKPIT EDEN  CONT,78
2,EXT SHIP EDEN  CONT,12
3,EXT OUTER SPACE,25
4,INT SLEEP CHAMBER COMPARTMENT  CONT,60
5,INT STORAGE LOCKER ROOM  MOMENTS LATER,28
6,INT SLEEP CHAMBER COMPARTMENT  LATER,141
7,INT STORAGE LOCKER ROOM  MOMENTS LATER,78
8,INT SLEEP CHAMBER COMPARTMENTCONTROL DESK  LATER,131
9,INT VENTILATION SHAFT  MOMENTS LATER,72
10,INT STORAGE LOCKER ROOM  MOMENTS LATER,32
11,INT VENTILATION SHAFT  MOMENTS LATER,9
12,INT VENTILATION SHAFT  LATER,18
13,INT SLEEP CHAMBERCONTROL DESK  CONT,16
14,INT VENTILATION SHAFT  CONT,42
15,INT SLEEP CHAMBERCONTROL DESK,19
16,INT VENTILATION SHAFT  LATER,45
17,INT SLEEP CHAMBERCONTROL DESK,22
18,INT VENTILATION SHAFT,54
19,INT SLEEP CHAMBERCONTROL DESK  CONT,19
20,INT VENTILATION SHAFT  CONT,52
21,INT SLEEP CHAMBERCONTROL DESK,7
22,INT VENTILATION SHAFT,19
23,INT SLEEP CHAMBERCONTROL DESK,13
24,INT STORAGE BIN,13
25,INT SLEEP CHAMBERCONTROL DESK,8
26,INT STORAGE COMPARTMENT  CONT,9
27,I INT SLEEP CHAMBERCONTROL DESK  CONT,6
28,INT STORAGE COMPARTMENT  CONT,5
29,INT STORAGE COMPARTMENTCORRIDOR  MOMENTS LATER,6
30,INT CORRIDOR  CONT,52
31,INT SLEEP CHAMBERCONTROL DESK  LATER,27
32,INT MESS HALL  LATER,149
33,I INT OFFICERS QUARTERS  LATER,49
34,INT SLEEP CHAMBERCONTROL DESK  CONT,36
35,INT OFFICERS QUARTERS  CONT,33
36,INT SLEEP CHAMBERCONTROL DESK,6
37,INT OFFICERS QUARTERS,82
38,INT SLEEP CHAMBERCONTROL DESK  CONT,23
39,INT CORRIDOR  CONT,20
40,INT SLEEP CHAMBERCONTROL DESK  CONT,6
41,INT CORRIDOR INTERSECTION  LATER,22
42,INT INFIRMARY  CONT,9
43,INT SLEEP CHAMBERCONTROL DESK,12
44,INT INFIRMARY,72
45,INT SLEEP CHAMBERCONTROL DESK,13
46,INT CORRIDOR,190
47,INT FILTRATION COMPARTMENT  MOMENTS LATER,68
48,INT SLEEP CHAMBERCONTROL DESK  CONT,9
49,INT CORRIDOR  CONT,29
50,INT SLEEP CHAMBERCONTROL DESK,4
51,INT CORRIDOR,155
52,INT SLEEP CHAMBERCONTROL DESK  LATER,36
53,INT REC ROOM  LATER,81
54,INT CORRIDOR  MOMENTS LATER,108
55,INT CORRIDOR ATRIUM  LATER,37
56,INT BIOLAB VAULT DOOR ENTRANCE  LATER,38
57,INT BIOLAB VAULT  CONT,125
58,INT SLEEP CHAMBERCONTROL DESK  LATER,84
59,INT VENTILATION SHAFT  LATER,98
60,INT PROCESSING DOCK CONT,143
61,INT SLEEP CHAMBERMAIN CORRIDOR  CONT,12
62,INT SLEEP CHAMBER  CONT,17
63,INT SLEEPING CHAMBERMAIN CORRIDOR  MOMENTS LATER,68
64,INT SLEEP CHAMBERCONTROL DESK  LATER,134
65,INT SUBLEVEL SHAFT  LATER,51
66,INT TANK  CONT,63
67,INT WATER PROCESSOR  MOMENTS LATER,77
68,INT WATER PROCESSOR  LATER,84
69,INT SLEEP CHAMBERCONTROL DESK,54
70,INT WATER PROCESSOR  CONT,22
71,INT SLEEP CHAMBERCONTROL DESK  CONT,20
72,INT WATER PROCESSOR  CONT,41
73,INT SLEEP CHAMBERCONTROL DESK,40
74,INT WATER PROCESSOR  CONT,13
75,INT SLEEP CHAMBERCONTROL DESK,14
76,INT WATER PROCESSOR  CONT,79
77,INT SLEEP CHAMBERCONTROL DESK  LATER,26
78,INT WATER PROCESSOR  CONT,95
79,INT SLEEP CHAMBERCONTROL DESK,11
80,INT WATER PROCESSORCATWALK  CONT,9
81,INT SLEEP CHAMBERCONTROL DESK,30
82,INT LADDER SHAFTCORRIDOR  LATER,23
83,INT LOADING PLATFORM,50
84,INT CORRIDORNEIGHBORING COMPARTMENT,21
85,INT SLEEP CHAMBER COMPARTMENT  CONT,32
86,INT SLEEP CHAMBERCONTROL DESK,48
87,INT SLEEP CHAMBER COMPARTMENT  CONT,72
88,INT SLEEP CHAMBERICONTROL DESK,54
89,INT LOADING PLATFORM  CONT,9
90,INT REACTOR BAY  CONT,73
91,INT SLEEP CHAMBERCONTROL DESK,78
92,INT REACTOR CONTROL TERMINAL  CONT,11
93,INT SLEEP CHAMBERCONTROL DESK,61
94,INT REACTOR CONTROL TERMINAL,26
95,INT LOADING PLATFORM,15
96,INT REACTOR BAY  CONT,30
97,INT SLEEP CHAMBERCONTROL DESK  CONT,59
98,INT LOADING DOCK  CONT,6
99,INT CORRIDOR ATRIUM  CONT,12
100,INT SLEEP CHAMBERCONTROL DESK,28
101,INT SLEEP CRAMBERMAIN CORRIDOR,38
102,INT SLEEP CHAMBERMAIN CORRIDOR,12
103,INT CORRIDOR  CONT,110
104,INT COMMAND BRIDGE  CONT,237
105,INT SLEEP CHAMBERCONTROL DESK  CONT,21
106,INT SLEEP CHAMBER,55
107,EXT OCEAN SURFACE  DAY,30
108,INT COMMAND DECK,34
109,INT SLEEP CHAMBER COMPARTMENT  LATER,12
