1,EXT TUNNEL  NIGHT,26
2,INT CHARLIES BEDROOM  NIGHT,21
3,INT CHARLIES HOUSE  MOMENTS LATER,13
4,INT CHARLIES BEDROOM  NIGHT,10
5,INT MILL GROVE HIGH SCHOOL HALLWAY  LAST DAY,17
6,INT MILL GROVE HIGH SCHOOL HALLWAY  FIRST DAY,29
7,INT MILL GROVE HIGH SCHOOL  CAFETERIA  LUNCH,22
8,INT CAFETERIA  LATER,27
9,INT SHOP CLASS  DAY,57
10,INT ENGLISH CLASS  MORNING,73
11,INT ENGLISH CLASS  LATER,36
12,INT MILL GROVE HIGH SCHOOL  HALLWAY  DAY,18
13,EXT CHARLIES HOUSE  DAY,9
14,INT CHARLIES HOUSE  AFTERNOON,12
15,INT CHARLIES DINING ROOM  EARLY EVENING,40
16,INT LIVING ROOM  ENTRY HALL  EVENING,29
17,INT CHARLIES BED ROOM  DUSK,14
18,INT CHARLIES BEDROOM  DAY,5
19,INT MILL GROVE HIGH SCHOOL  HALLWAY  AFTERNOON,12
20,INT CHARLIES BEDROOM  DUSK,5
21,INT CHARLIES LIVING ROOM  AFTERNOON,6
22,INT MILL GROVE HIGH SCHOOL  CAFETERIA  LUNCH,6
23,INT MILL GROVE HIGH SCHOOL  CAFETERIA  LUNCH,6
24,EXT MILL GROVE HIGH SCHOOL  FOOTBALL STADIUM  NIGHT,115
25,INT KINGS FAMILY RESTAURANT  NIGHT,92
26,EXT CHARLIES HOUSE  NIGHT,22
27,INT CHARLIES HOUSE  NIGHT,6
28,INT DOORWAY TO BASEMENT  NIGHT,32
29,INT CHARLIES HOUSE  BASEMENT  CONTINUOUS,18
30,INT CHARLIES BEDROOM  NIGHT,11
31,INT ENTRY HALL  NIGHT FLASHBACK,16
32,INT ENTRY HALL  NIGHT PRESENT,24
33,INT GYMNASIUM  NIGHT,37
34,EXT BOBS HOUSE  NIGHT,38
35,INT BOBS BASEMENT  MOMENTS LATER,83
36,INT BOBS BASEMENT  LATER,56
37,INT BOBS KITCHEN  NIGHT,44
38,INT HALLWAY  NIGHT,51
39,INT BOBS BASEMENT  NIGHT,50
40,EXTINT SAMS TRUCK  NIGHT,65
41,INT CHARLIES BEDROOM  AFTERNOON,22
42,INT BILLS CLASSROOM  MORNING,14
43,INT CAFETERIA  LUNCH,17
44,INT LIBRARY  AFTERNOON,19
45,EXT FOOTBALL STADIUM  NIGHT,12
46,INT CAFETERIA  LUNCH,8
47,INT ST THOMAS MORE CATHOLIC CHURCH  MORNING,13
48,INT LIBRARY  DAY,24
49,INT CHARLIES BEDROOM  DUSK,11
50,EXT DORMONT HOLLYWOOD MOVIE THEATER  MIDNIGHT,4
51,INT DORMONT HOLLYWOOD MOVIE THEATER  MIDNIGHT,17
52,INT DORMONT HOLLYWOOD MOVIE THEATER  LATER,27
53,INT CRAIGS LOFT APARTMENT  KITCHEN  NIGHT,30
54,INT CRAIGS LOFT APARTMENT  MOMENTS LATER,61
55,INT CRAIGS LOFT APARTMENT  LATER,45
56,INT MILL GROVE HIGH SCHOOL  HALLWAY  DAY,5
57,INT ENGLISH CLASS  MORNING,32
58,INT KINGS FAMILY RESTAURANT  MORNING,16
59,INT CHARLIES HOUSE  NIGHT,22
60,INT MILL GROVE HIGH SCHOOL  DAY,6
61,INT BILLS CLASSROOM  MORNING,15
62,INT SHOP CLASS  DAY,21
63,EXT WEST END OVERLOOK  NIGHT,13
64,INT DORMONT HOLLYWOOD MOVIE THEATER  GREEN ROOM  NIGHT,9
65,INT SAM AND PATRICKS HOUSE  GAMES ROOM  NIGHT,133
66,INT SAMS BEDROOM  LATER,122
67,EXT SAM AND PATRICKS HOUSE  NIGHT,25
68,EXT DOWNTOWN PITTSBURGH  NIGHT,6
69,INT CHARLIES HOUSE  NIGHT,29
70,INT CHARLIES DINING ROOM  MOMENTS LATER,9
71,EXT CHARLIES STREET  NIGHT PRESENT,14
72,EXT CHARLIES STREET  NIGHT FLASHBACK,20
73,EXT CHARLIES STREET  NIGHT PRESENT,7
74,INT CHARLIES HOUSE  KITCHENDINING ROOM  NIGHT,60
75,INT ST THOMAS MORE CHURCH  MORNING,10
76,INT BOBS LIVING ROOM  NIGHT,11
77,EXT BOBS HOUSE  NIGHT,36
78,INT BOBS HOUSE  NIGHT,13
79,EXT CHARLIES STREET  NIGHT FLASHBACK,7
80,INT BOBS HOUSE  NIGHT PRESENT,11
81,EXT CHARLIES STREET  NIGHT,6
82,EXT CHARLIES STREET  NIGHT FLASHBACK,5
83,EXT CHARLIES STREET  NIGHT PRESENT,5
84,INT AUNT HELENS CAR  NIGHT FLASHBACK,7
85,INT CHARLIES HOUSE  NIGHT FLASHBACK,5
86,EXT CHARLIES STREET  NIGHT PRESENT,5
87,INT HOSPITAL ROOM  AFTERNOON,30
88,EXT MILL GROVE HIGH SCHOOL  PARKING LOT  MORNING,5
89,INT HALLWAY  MORNING,8
90,INT BILLS CLASSROOM  MORNING,16
91,EXT DORMONT HOLLYWOOD MOVIE THEATER  NIGHT,7
92,INT DORMONT HOLLYWOOD MOVIE THEATER  GREEN ROOM  NIGHT,30
93,INT DORMONT HOLLYWOOD MOVIE THEATER  LATER,11
94,INT DORMONT HOLLYWOOD MOVIE THEATER  LATER,26
95,EXT DORMONT HOLLYWOOD MOVIE THEATER  NIGHT,38
96,INT CHARLIES HOUSE  DUSK,14
97,INT CHARLIES HOUSE  FIREPLACE  DUSK,13
98,INT MILL GROVE HIGH SCHOOL  GYMNASIUM  NIGHT,12
99,INT MILL GROVE HIGH SCHOOL  GYMNASIUM  LATER,34
100,INT MARY ELIZABETHS DENLIVING ROOM  NIGHT,75
101,INT MARY ELIZABETHS BASEMENT  FANTASY,6
102,INT MARY ELIZABETHS BASEMENT  MOMENTS LATER,28
103,EXT CHARLIES HOUSE  NIGHT,16
104,INT CAFETERIA  LUNCH,16
105,EXT MILL GROVE HIGH SCHOOL PARKING LOT  MORNING,18
106,EXT DORMONT HOLLYWOOD MOVIE THEATER  NIGHT,19
107,INT MARY ELIZABETHS DENLIVING ROOM  NIGHT,14
