1, INT CITY ROOM OF NEWSPAPER OFFICE,235
2, EXT THE SCHUYLER HOUSE  DAY ,3
3, EXT THE SCHUYLER HOUSE ANOTHER,3
4, INT INSIDE THE MANSION  DAY ,4
5, INT SCHUYLER DRAWING ROOM  DAY,121
6, INT SCHUYLER LIBRARY  DAY  FULL,73
7, INT SCHUYLER DRAWING ROOM  DAY,184
8, INT SCHUYLER DRAWING ROOM  MEDIUM,344
9,INT JOES SPEAKEASY  DAY,138
10, INT SCHUYLER ENTRANCE HALL  DAY,203
11, INT SCHUYLER LIBRARY  MEDIUM SHOT,90
12,INT SCHUYLER DINING ROOM,149
13,INT SCHUYLER DRAWING ROOM  NIGHT,56
14,INT PENTHOUSE APT  NIGHT,52
15,EXT ROOF GARDEN,75
16,INT CITY ROOM OF MORNING POST  DAY,259
17,INT JOES SPEAKEASY,346
18,INT SCHUYLER DRAWING ROOM  DAY,354
19,INT STEWS BEDROOM  MORNING,315
20,INT CITY ROOM OF NEWSPAPER OFFICE ,135
21,INT ANNES BEDROOM,19
22,EXT SCHUYLER LONG ISLAND ESTATE,3
23, EXT FRONT ENTRANCE GATE,5
24,INT CORRIDOR SCHUYLER HOME,13
25, INT SCHUYLER RECEPTION HALL,5
26, INT CORRIDOR SCHUYLER HOME,54
27, INT ENTRANCE OF BALLROOM,37
28, INT TERRACE LEADING OFF SCHUYLER,8
29, INT SECLUDED SPOT IN GARDEN,198
30,EXT TERRACE,20
31,INT SCHUYLER ENTRANCE HALL,41
32,INT SCHUYLER BALLROOM,24
33,INT SCHUYLER ENTRANCE HALL,20
34,INT SCHUYLER LIBRARY,101
35,INT SCHUYLER HOME,85
36,INT SCHUYLER ENTRANCE HALL  DAY,10
37,INT SCHUYLER DRAWING ROOM,121
38,INT SCHUYLER DRAWING ROOM,58
39,INT STEWS BEDROOM,140
40,INT SCHUYLER GRAND FOYER,144
41,INT STEWS ROOM,6
42,INT GALLAGHERS ROOM  NIGHT,41
43,INT SCHUYLER ENTRANCE HALL  NIGHT,101
44,INT SCHUYLER DRAWING ROOM,13
45,INT SCHUYLER ENTRANCE HALL,94
46,INT STEWS SITTING ROOM,116
47,INT SCHUYLER ENTRANCE HALL,90
48,INT STEWS SITTING ROOM,250
49,EXT SCHUYLER HOME  NIGHT,89
50, INT STEWS APARTMENT  DAY  MED,10
51, INT STEWS KITCHENETTE  MED,28
52, INT STEWS LIVING ROOM  MED,62
