1, INT NETHERFIELD  HERTFORDSHIRE  DAY I,22
2, EXT LONGBOURN HOUSE  DAY ,22
3, INT LONGBOURN  CONTINUOUS,21
4,INT LIBRARY  LONGBOURN  CONTINUOUS,16
5, INT CORRIDOR  LONGBOURN  THE SAME,6
6, INT DRAWING ROOM  LONGBOURN  THE SAME ,62
7, INT ASSEMBLY ROOMS  MERYTON VILLAGE  NIGHT,325
8, INT BEDROOM  LONGBOURN  NIGHT ,49
9, INT BREAKFAST ROOM  LONGBOURN  DAY ,63
10, EXT COUNTRYSIDE  DAY ,3
11, EXT FIELD  DAY ,7
12, EXT LONGBOURN  DAY ,9
13, EXT GARDEN  DAY ,3
14, EXT MERYTON VILLAGE  DAY ,3
15,  EXT LONGBOURN  DAY ,13
16, INT NETHERFIELD  DAY ,3
17, INT DRAWING ROOM  LONGBOURN  DAY ,36
18, EXT COUNTRYSIDE  DAY ,5
19, INT NETHERFIELD  BREAKFAST ROOM  DAY,47
20,  INT NETHERFIELD LANDING  DAY I,13
21, INT NETHERFIELD  JANES BEDROOM  DAY ,28
22, INT DRAWING ROOM  NETHERFIELD  DAY ,21
23, EXT GARDEN  LONGBOURN  DAY ,24
24, EXT MERYTON VILLAGE  DAY ,9
25, INT DRAWING ROOM  NETHERFIELD  EVENING ,151
26, EXT COUNTRYSIDE  DAY ,2
27, EXT STABLE YARD  NETHERFIELD  DAY ,7
28,  INTEXT BEDROOMSTABLE YARD  NETHERFIELD  THE SAME ,8
29, INT DRAWING ROOM  NETHERFIELD  DAY ,75
30, EXT DRIVE  NETHERFIELD  DAY,28
31, INT CARRIAGE  LEAVING NETHERFIELD  THE SAME ,5
32, EXT MERYTON  DAY ,4
33,  INT CARRIAGE  MERYTON  DAY ,12
34, INT LONGBOURN  HERTFORDSHIRE  DAY ,10
35, INT CARRIAGE  COMING THROUGH MERYTON  DAY ,40
36, INT HALLWAY  LONGBOURN  DAY ,30
37, INT DINING ROOM  NETHERFIELD  EVENING ,72
38, INT CORRIDOR  LONGBOURN  THE SAME ,35
39, EXT BACK MEADOW  LONGBOURN  DAY ,15
40, EXT MERYTON VILLAGE  DAY ,32
41, INT MILLINERS SHOP  DAY ,46
