1,EXT DOWNTOWN LOS ANGELES  NIGHT,205
2,INT FLOPHOUSE,191
3,INT APARTMENT,4
4,INT CHURCH,5
5,INT POLICE CENTER,21
6,INT CORONERS OFFICE,122
7,INT POLICE OFFICE,7
8,EXT DESERT  EARLY MORNING,13
9,EXT SANDSTONE CANYON  MORNING,111
10,EXT KATHERINES HOUSE  DAY,3
11,EXT THE TOWN,61
12,EXT HILL  DAY,48
13,INT BIG CITY CHURCH,8
14,EXT DOWNTOWN ALLEY,3
15,INT FLOPHOUSE,12
16,EXT KATHERINES CLASSROOM BUILDING  DAY,90
17,EXT APARTMENT BUILDING  DAY,146
18,INT GYM LOCKER ROOM,11
19,INT LOCKER ROOM DRESSING AREA,140
20,EXT GYM,18
21,EXT DOWNTOWN  DAY,23
22,INT COUNTY BUILDING BASEMENT,14
23,INT MORGUE,19
24,INT KATHERINES SCHOOL,140
25,EXT TOWN  DAY,3
26,INT MOBILE HOME,36
27,INT THOMASS APARTMENT,17
28,INT MORGUE,55
29,INT JERRYS APARTMENT,20
30,INT POLICE STATION,46
31,EXT DESERT  NIGHT,24
32,EXT GRAVEYARD  NIGHT,64
33,INT THOMASS APARTMENT,63
34,EXT THE TOWN  NIGHT,22
35,INT THE SCHOOL BUILDING  NIGHT,90
36,INT KATHERINES HOUSE  NIGHT,4
37,INT MARYS HOUSE  NIGHT,2
38,INT THE SCHOOL BUILDING  NIGHT,17
39,EXT THE TOWN,5
40,INT THE SCHOOL BUILDING,29
41,EXT THE TOWN  MORNING,4
42,INT SCHOOL BUILDING,20
43,EXT MARYS FAMILY TRAILER  DAY,26
44,EXT MARYS FAMILY TRAILER  DAY,14
45,EXT COUNTY BUILDING  DAY,92
46,EXT TOWN HOTEL  DAY,2
47,INT HOTEL ROOM,24
48,INT THE SCHOOLHOUSE,135
49,INT THE TOWN LIBRARY,6
50,INT THE TOWN CHURCH,48
51,INT THOMASS HOTEL,5
52,INT VFW HALL  NIGHT,51
53,INT TOWN HALL  NIGHT,22
54,EXT DANCE HALL  NIGHT,39
55,EXT ROAD  NIGHT,15
56,INT JOHNS HOUSE  NIGHT,99
57,EXT HOTEL  NIGHT,35
58,INT MINE,9
59,EXT THE SCHOOLHOUSE  MORNING,104
60,EXT THE TOWN  DAY,145
61,INT THOMASS CAR  DAY,64
62,INT THE MINE,88
63,EXT MINE  DAY,70
64,INT THOMASS CAR,9
65,INT MARYS GRANDMOTHERS TRAILER,233
66,EXT HIGHWAY  DAY,7
67,INT TRUCK,13
68,EXT GAS STATION  DAY,21
69,INT CHURCH,112
70,INT KIVA  NIGHT,14
71,EXT VILLAGE  NIGHT,157
72,INT HOGAN,421
73,INT ROADSIDE DINER  DAY,32
74,EXT VILLAGE  DAY,47
