1,INT MICHAELS APARTMENT BERLIN DAY CREDITS,53
2,INT MICHAELS APARTMENT BERLIN DAY,9
3,INT TRAM DAY,5
4,INT MICHAELS APARTMENT DAY,2
5,INT TRAM DAY,3
6,INT MICHAELS APARTMENT DAY,2
7,EXT BANHOFSTRASSE DAY,26
8,EXT STREET DAY,4
9,EXT BLUMENSTRASSE DAY,12
10,INT BERG APARTMENT BLUMENSTRASSE NIGHT,28
11,INT BEDROOM BERG APARTMENT DAY,22
12,INT  EXT BERG APARTMENT DAY,17
13,EXT BANHOFSTRASSE DAY,4
14,INT STAIRS  LANDING BANHOFSTRASSE DAY,10
15,INT HANNAS APARTMENT DAY,50
16,INT STAIRS DAY,3
17,EXT COURTYARD DAY,3
18,INT BEDROOM DAWN,3
19,EXT STREET DAWN,2
20,INT BEDROOM DAWN,2
21,INT TRAM DAY,4
22,EXT BANHOFSTRASSE DAY,10
23,INT LANDING HANNAS APARTMENT DAY,12
24,INT CELLAR DAY,6
25,INT HANNAS APARTMENT DAY,53
26,INT DINING ROOM BERG APARTMENT NIGHT,55
27,EXT SCHOOL DAY,4
28,INT STAIRS  LANDING BANHOFSTRASSE DAY,3
29,INT HANNAS APARTMENT DAY,8
30,INT HANNAS APARTMENT DAY,5
31,INT HANNAS APARTMENT DAY,28
32,INT CLASSROOM SCHOOL DAY,15
33,INT CORRIDOR SCHOOL DAY,6
34,EXT SCHOOL DAY,3
35,INT HANNAS APARTMENT EVE,79
36,INT KITCHEN NIGHT,16
37,INT GYMNASIUM DAY,4
38,EXT TRAM DAWN,3
39,INT TRAM DAWN,7
40,EXT TRAM DAY,2
41,INT TRAM DAY,5
42,EXT TRAM DAY,2
43,INT TRAM DAY,6
44,EXT ROAD DAY,5
45,INT LANDING HANNAS APARTMENT DAY,5
46,INT HANNAS APARTMENT DAY,68
47,INT BEDROOM HANNAS APARTMENT DAY,22
48,INT HANNAS APARTMENT DAY,24
49,INT HANNAS APARTMENT EVE,11
50,INT HANNAS APARTMENT NIGHT,12
51,INT HANNAS APARTMENT DAY,16
52,INT HANNAS APARTMENT EVE,39
53,INT BEDROOM BERG APARTMENT DAWN,13
54,INT  EXT SHOP DAY,21
55,EXT HILL DAY,5
56,EXT CAFE DAY,17
57,EXT CAFE DAY,13
58,EXT CHURCH DAY,9
59,INT CHURCH DAY,5
60,EXT RIVERSIDE DAY,15
61,INT MICHAELS APARTMENT BERLIN DAY,7
62,INT STREET DAY,3
63,INT CAR DAY,5
64,EXT STREET DAY,3
65,INT LOBBY COURTHOUSE DAY,13
66,INT COURTROOM DAY,6
67,INT STAIRWAY SCHOOL DAY,11
68,INT SCHOOL DAY,16
69,INT SCHOOL DAY,16
70,EXT SWIMMING LAKE DAY,37
71,EXT BANHOFSTRASSE DAY,2
72,INT HANNAS APARTMENT DAY,15
73,INT GARAGE DAY,11
74,EXT SWIMMING LAKE DAY,23
75,EXT STREET DAY,3
76,INT HANNAS APARTMENT DAY,55
77,INT HANNAS APARTMENT DAY,6
78,INT HANNAS APARTMENT DAY,5
79,INT HANNAS APARTMENT DAY,5
80,INT HANNAS APARTMENT DAY,4
81,EXT SWIMMING LAKE DAY,9
82,INT LANDING  HANNAS APARTMENT DUSK,8
83,INT HANNAS APARTMENT NIGHT,3
84,INT APARTMENT DAY,19
85,EXT SWIMMING LAKE DUSK,5
86,INT COURTHOUSE NIGHT,2
87,EXT SWIMMING LAKE DUSK,3
88,INT COURTHOUSE DAY,10
89,INT BRASSERIE BERLIN NIGHT,12
90,INT RESTAURANT NIGHT,29
91,INT  EXT CAR NIGHT,14
92,EXT CAR DAY,30
93,INT LECTURE ROOM HEIDELBERG LAW SCHOOL DAY,32
94,INT STUDENT DIGS NIGHT,29
95,INT TRAIN DAY,5
96,EXT TOWN HALL MANNHEIM DAY,15
97,INT TOWN HALL DAY,126
98,INT TRAIN DAY,3
99,INT TRAIN DAY,23
100,EXT COUNTRYSIDE DAY,2
101,INT STUDENT DIGS NIGHT,6
102,EXT STUDENT DIGS NIGHT,4
103,INT LECTURE ROOM HEIDELBERG LAW SCHOOL DAY,121
104,INT COURTROOM MANNHEIM DAY,106
105,INT LOBBY TOWN HALL DAY,10
106,INT LOBBY  COURTROOM DAY,62
107,INT LOBBY TOWN HALL DAY,2
108,INT COURTROOM DAY,76
109,INT LECTURE ROOM LAW SCHOOL DAY,83
110,EXT EMPTY ROAD DAY,4
111,EXT STRUTHOF CAMP DAY,4
112,INT STRUTHOF CAMP DAY,6
113,INT STRUTHOF CAMP DAY,4
114,INT COURTROOM DAY,134
115,INT  EXT DAY AND NIGHT FLASHBACKS,5
116,INT COURTROOM DAY,10
117,INT STAIRS HEIDELBERG LAW SCHOOL DAY,5
118,INT LECTURE ROOM HEIDELBERG LAW SCHOOL DAY,61
119,INT REMAND CELL EVE,7
120,EXT PRISON WAITING ROOM DAY,5
121,INT MEETING ROOM PRISON DAY,3
122,EXT PRISON YARD DAY,5
123,INT MEETING ROOM PRISON DAY,2
124,EXT PRISON YARD DAY,2
125,INT MEETING ROOM PRISON DAY,4
126,INT PRISON EVE,2
127,INT MARTHES ROOM STUDENT DIGS NIGHT,11
128,INT MARTHES ROOM NIGHT,8
129,INT REMAND CELL DAWN,3
130,INT STUDENT DIGS MICHAELS ROOM DAWN,4
131,INT REMAND CELL DAY,2
132,INT STUDENT DIGS DAY,3
133,INT REMAND CELL DAY,5
134,INT PRISON DAY,2
135,EXT TOWN HALL DAY,6
136,INT COURTROOM TOWN HALL DAY,5
137,INT COURTROOM DAY,32
138,EXT COURTHOUSE DAY,3
139,INT TRAIN DAY,3
140,INT TRAIN DAY,12
141,EXT BLUMENSTRASSE DAY,4
142,INT DINING ROOM BERG APARTMENT DAY,48
143,INT TRAIN EVE,3
144,EXT SCHONEBERG BERLIN NIGHT,4
145,INT LANDING GERTRUDS APARTMENT BERLIN NIGHT,66
146,INT MICHAELS APARTMENT KREUZBERG NIGHT,13
147,INT HANNAS CELL DAWN,4
148,INT PRISON CORRIDOR DAY,4
149,INT MAIL ROOM PRISON DAY,4
150,INT CELL DAY,2
151,INT MICHAELS APARTMENT EVE,2
152,INT CELL DAY,2
153,INT MICHAELS APARTMENT EVE,4
154,INT CELL DAY,5
155,INT MICHAELS APARTMENT EVE,17
156,INT MICHAELS APARTMENT NIGHT,8
157,INT BEDROOM NIGHT,8
158,INT LIVING ROOM DAY,6
159,INT CELL NIGHT,13
160,INT  EXT MONTAGE DAY  NIGHT,9
161,INT CELL NIGHT,12
162,EXT EXERCISE YARD PRISON DAY,3
163,INT PRISON LIBRARY DAY,18
164,INT CELL DAY,13
165,INT CELL NIGHT,3
166,EXT  INT MICHAELS APARTMENT EVE,6
167,INT MICHAELS APARTMENT EVE,4
168,INT CELL DAY,5
169,INT CELL PRISON NIGHT MONTAGE,8
170,INT MICHAELS APARTMENT BEDROOM NIGHT,2
171,INT CELL PRISON NIGHT MONTAGE,6
172,INT STUDY MICHAELS APARTMENT DAY,6
173,INT CELL PRISON DAY,2
174,INT MICHAELS APARTMENT KREUZBERG DAY,16
175,INT BRENNERS OFFICE PRISON DAY,8
176,INT MICHAELS APARTMENT KREUZBERG DAY,4
177,INT BRENNERS OFFICE DAY,10
178,INT MICHAELS APARTMENT KREUZBERG DAY,12
179,EXT  INT MICHAELS APARTMENT KREUZBERG DAY,3
180,EXT PRISON DAY,3
181,EXT PRISON YARD DAY,11
182,INT  EXT STAIRS  PASSAGE PRISON DAY,9
183,INT CANTEEN PRISON DAY,106
184,EXT PRISON EVE,3
185,INT HANNAS ROOM EVE,6
186,INT CELL DAWN,6
187,EXT  INT PRISON DAY,4
188,INT PRISON DAY,5
189,INT CORRIDOR  CELL PRISON DAY,45
190,EXT BRIDGE MANHATTAN DAY,3
191,EXT FIFTH AVENUE DAY,4
192,INT LIVING ROOM ILANAS APARTMENT DAY,177
193,INT ILANAS HOUSE DAY,7
194,INT  EXT CAR DAY,11
195,EXT COUNTRY DAY,4
