1,EXT BELEM STREETS  NIGHT,9
2,INT TAXI  NIGHT,20
3,EXT BELEM STREETS  NIGHT,3
4,EXT HARBOR  BELEM  NIGHT,102
5,INT HOLD  SANTA LUCIA  NIGHT,39
6,EXT DOCKS  NIGHT,4
7,EXT LOUISIANNA COAST  DAY TITLE CARD JUNE,4
8,INT UNMARKED CAR  DAY,37
9,EXT LOUISIANA BEACH  DAY,78
10,EXT ROOFTOP GARDEN  MARGOS NEW YORK APARTMENT  MORNING,21
11,EXT CENTRAL PARK  MORNING,11
12,EXT MUSEUM OF NATURAL HISTORY  DAY,40
13,INT MUSEUM ROTUNDASTAIRWELL  DAY,70
14,INT MUSEUM BASEMENT  DAY,21
15,INT WHITTLESLEY COLLECTION BASEMENT  DAY,96
16,INT PHYSICAL ANTHROPOLOGY LAB  DAY,74
17,INT CORRIDORSSTAIRWELL  MUSEUM  DAY,7
18,INT FROCKS OFFICE  DAY,130
19,INT MUSEUM HALLWAYS  DAY,31
20,INT HALL OF AFRICAN MAMMALS  AFTERNOON,11
21,INT MOLLUSKS EXHIBIT  DAY,30
22,INT REPTILES AND AMPHIBIANS ROOM  DAY,34
23,INT MUSEUM HALL OF BIRDS  DAY,16
24,INT BACK HALLWAYS  DAY,45
25,INT SPIRAL STAIRCASE  DAY,46
26,INT MARGOS APARTMENT  NIGHT,18
27,EXT CENTRAL PARK WEST  DAY,16
28,INT LOWER ROTUNDA  DAY,17
29,INT SIDE HALL  MUSEUM  DAY,26
30,INT HALL OF ADVANCED FOSSIL MAMMALS  DAY,13
31,INT CIRCULAR STAIRWELL  DAY,102
32,INT IMAX ROOM  DAY,84
33,INT GEM ROOM  DAY,97
34,INT BUSINESS OFFICES  MUSEUM  DAY,107
35,INT MUSEUM CLASSROOM  DAY,109
36,EXT MUSEUM  DAY,32
37,INT NEW YORK CITY MORGUE  EVENING,5
38,INT AUTOPSY ROOM  AFTERNOON,180
39,EXT STREETS  NIGHT,2
40,INT COP CAR  NIGHT,50
41,EXT NATURAL HISTORY MUSEUM  DUSK,19
42,INT MUSEUM HALL OF THE GEMS  NIGHT,3
43,INT METEORITE ROOM  NIGHT,3
44,INT HALLWAY  MUSEUM  NIGHT,4
45,INT PHYSICAL ANTHROPOLOGY LAB  NIGHT,71
46,INT MUSEUM HALLS  NIGHT,160
47,INT SUPERSTITION EXHIBIT  NIGHT,171
48,INT SUPERSTITION EXHIBIT  NIGHT,63
49,EXT ROTUNDA FRONT ENTRY  EXHIBIT  NIGHT,28
50,EXT MUSEUM  NIGHT,37
51,EXT MUSEUM  NIGHT,2
52,INT MUSEUM FRONT  EXHIBIT FRONT DOOR  NIGHT,66
53,INT EXHIBIT ENTRANCE  NIGHT,29
54,INT SUPERSTITION EXHIBIT  NIGHT,10
55,EXT MUSEUM  DAY,8
56,INT CUTHBERTS OFFICE  DAY,59
57,INT PHYSICAL ANTHROPOLOGY LAB  DAY,71
58,INT MUSEUM HALLWAY AREA  DAY,56
59,INT FREIGHT ELEVATOR  DAY,23
60,INT OSTEOLOGICAL PREPARATION AREA  DAY,51
61,INT HALLWAY  DAY,41
