1,EXT NEW YORK CITY  NIGHT  FLASHBACK,7
2,INT GREENWICH VILLAGE APARTMENT  NIGHT  FLASHBACK,40
3,INT GREENWICH VILLAGE APARTMENT  NIGHT  LATER,8
4,INT AUDITORIUM  NIGHT PRESENT,18
5,INT HIGH SCHOOL AUDITORIUM  NIGHT MOMENTS LATER,19
6,INT DRESSING ROOM  NIGHT,2
7,INT BACK STAGE  NIGHT,19
8,INT DRESSING ROOM  NIGHT,58
9,INT HIGHSCHOOL CORRIDOR  NIGHT,7
10,INT WHEELER CAR  NIGHT,36
11,EXT HIGHWAY  NIGHT,3
12,INT WHEELER CAR  NIGHT,37
13,EXT HIGHWAY SHOULDER  NIGHT,95
14,INT CAR  NIGHT,3
15,EXT WHEELER HOUSE  MORNING,4
16,INT WHEELER LIVING ROOM  MORNING,5
17,EXT REVOLUTIONARY ROAD TRAIN STATION  MORNING,4
18,INT COMMUTER TRAIN  MORNING,3
19,INT GRAND CENTRAL PLATFORM  MORNING,3
20,INT GRAND CENTRAL STATION  MORNING,4
21,EXT MIDTOWN STREET  MORNING,11
22,INT KNOX BUILDING ELEVATOR  MORNING,7
23,INT KNOX TH FLOOR FRANKS CUBICLE  MORNING,21
24,EXT WHEELER HOUSE  DAY,5
25,INT MRS GIVINGS CAR  DAY  FLASHBACK,53
26,INT BANDYS OFFICE  DAY PRESENT,37
27,INT KNOX TH FLOOR FRANKS CUBICLE  DAY,20
28,INT KNOX TH FLOOR MAUREENS DESK  DAY,22
29,INT ALGONQUIN HOTEL RESTAURANT  AFTERNOON,38
30,INT WHEELER HALLWAY  DAY,102
31,INT WHEELER HOUSE  AFTERNOON,4
32,INT ALGONQUIN RESTAURANT BAR  AFTERNOON LATER,68
33,INT WHEELER KITCHEN  DAY,7
34,INT BETHUNE STREET APARTMENT  DAWN  FLASHBACK,37
35,INT MAUREENS APARTMENT  AFTERNOON,43
36,INT FRANKS STATION CARWHEELER HOUSE  NIGHT,4
37,EXT WHEELER FRONT DOOR  NIGHT,29
38,INT WHEELER LIVING AND DINING ROOMS  NIGHT,9
39,INT SHOWER  NIGHT,7
40,INT FRANK AND APRILS BEDROOM  NIGHT,169
41,INT KNOX TH FLOOR ELEVATOR BAY  MORNING,4
42,INT KNOX TH FLOOR FRANKS CUBICLE  MORNING,38
43,INT AMERICAN EXPRESS OFFICE  DAY,17
44,INT MIDTOWN RESTAURANT  DAY,48
45,EXT SPACE BETWEEN TRAIN CARS  AFTERNOON,5
46,EXT REVOLUTIONARY ROAD TRAIN STATION  AFTERNOON,4
47,EXT WHEELER HOUSE  LATE AFTERNOON,11
48,INT FRANK AND APRILS BEDROOM  EVENING,45
49,INT CAMPBELL FRONT HALLWAY  LATE AFTERNOON,8
50,INT MILLY AND SHEPS BEDROOM  LATE AFTERNOON,19
51,INT CAMPBELL KITCHEN  LATE AFTERNOON,3
52,INT CAMPBELL FAMILY ROOM  LATE AFTERNOON,8
53,EXT CAMPBELL HOUSE  EVENING,10
54,INT CAMPBELL LIVING ROOM  NIGHT,131
55,INT MILLY AND SHEPS BEDROOM  NIGHT,41
56,INT WHEELER KITCHEN  LATER THAT NIGHT,46
57,INT KNOX TH FLOOR  DAY,24
58,INT KNOX TH FLOOR BANDYS OFFICE  DAY,23
59,INT WHEELER LIVING ROOM  DAY,26
