1,EXT FROZEN POND  NIGHT,52
2,EXT BURGESS SETTLEMENT  TOWN CENTER  CONTINUOUS,34
3,EXT NORTH POLE  DUSK,4
4,INT NORTHS WORKSHOP  DUSK,59
5,INT NORTHS GLOBE ROOM  CONTINUOUS,52
6,EXT NORTH POLE  CONTINUOUS,6
7,INT CHILDS BEDROOM  NIGHT,4
8,EXT TOOTHS PALACE  DAY,3
9,INT TOOTHS PALACE,42
10,EXTINT CHILDS BEDROOM,24
11,INT EGG TUNNEL,6
12,EXT A SNOWY EXPANSE IN THE NORTH POLE,14
13,INT GLOBE ROOM  NIGHT,234
14,EXT ST PETERSBURG  NIGHT,45
15,EXT BURGESS  DAY,9
16,EXT FROZEN POND,34
17,EXT JAMIES BACKYARD  DAY,78
18,EXT SNOWY HILL,250
19,INT JAMIES BEDROOM  NIGHT,52
20,EXT ROOF OF JAMIES HOUSE  CONTINUOUS,30
21,INT CUPCAKES BEDROOM  BURGESS  CONTINUOUS,43
22,EXT BURGESS  NIGHT,9
23,EXT BURGESS  NIGHT,15
24,EXT STREETS OF BURGESS  NIGHT  CONTINUOUS,60
25,INT NORTHS LIBRARY  DAY,269
26,INT TOY FACTORY  NORTH POLE  DAY,63
27,INT NORTHS OFFICE  A MOMENT LATER,113
28,INT LAUNCHING SHED  A MOMENT LATER,94
29,EXT SLEIGH  FLYING THROUGH THE SKY  CONTINUOUS,42
30,EXT SKY  SLEIGH JETTING THROUGH THE SKY,5
31,EXT SKY  NEAR TOOTHS PALACE,28
32,INT TOOTH PALACE  A MOMENT LATER,131
33,EXT VILLAGE  NIGHT  FLASHBACK,10
34,EXT VILLAGE  NIGHT  FLASHBACK  CONTINUOUS,73
35,INT TOOTH PALACE  LAGOON  MOMENTS LATER,133
36,EXT SHANGHAI ROOFTOPS  NIGHT,69
37,INT BOYS BEDROOM  NIGHT,5
38,EXT BOYS BEDROOM  NIGHT  CONTINUOUS,6
39,EXT MIDDLE EAST  NIGHT,3
40,INT KIDS BEDROOM  NIGHT,6
41,INT BOYS BEDROOM  NIGHT,10
42,INT BOYS BEDROOM  NIGHT,14
43,EXT BEDROOM  NIGHT,2
44,INT BEDROOM  NIGHT  CONTINUOUS,4
45,INT BEDROOM NIGHT,11
46,EXT SKYLINE  NIGHT,3
47,INT BEDROOM  NIGHT,8
48,EXT ROOFTOP  NIGHT,17
49,EXT ROOFTOP  NIGHT,4
50,INT HOUSE UNDER ROOFTOP  CONTINUOUS,5
51,EXT PARIS  SKLYLINE  NIGHT,6
52,EXT ROOFTOP  NIGHT,13
53,EXT LAUNDROMAT  NIGHT  CONTINUOUS,13
54,INT BOYS BEDROOM  NIGHT,6
55,EXT SKYLINE  NIGHT,7
56,INT PITCHS LAIR  NIGHT,32
57,INT JAMIES BEDROOM  CONTINUOUS,238
58,EXT BURGESS NEIGHBORHOOD  NIGHT,23
59,EXT DOWNTOWN BURGESS  CONTINUOUS,61
60,EXT EMPTY STREET  CONTINUOUS,48
61,EXT EMPTY STREET  CONTINUOUS,129
62,EXT BURGESS  NIGHT,12
63,EXT BURGESS FOREST  NIGHT,14
64,INT NORTH POLE  GLOBE ROOM  DAY,9
65,INT NORTH POLE  GLOBE ROOM  DAY  MOMENTS LATER,52
