1,EXT CORN FIELD  DAY,14
2,INT DINING ROOMHOME  NIGHT,4
3,INT BEDROOM  NIGHT,6
4,INT BATHROOM  NIGHT,26
5,EXT CAMPSITE  DAWN,33
6,EXT ROAD  DAY,16
7,EXT MOUNTAINSIDE CRACKED ROAD  DAY,10
8,EXT LAKE  DAY,6
9,EXT MOUNTAINSIDE  DAY,15
10,EXT EDGE WOODS  DAY,5
11,EXT GAS STATION  DAY,11
12,EXT LONG ROAD  DAY,6
13,EXT CITY  DAY,2
14,EXT MALL  DAY,19
15,EXT RIDGE CAMPSITE  CAMP   EVENING,13
16,EXT RIDGECAMPSITE  CAMP   NIGHT,18
17,EXT ROADPLAIN  DAY,25
18,EXT ROADHILL  LATE AFTERNOON,32
19,EXT BRIDGE  CAMP   EVENING,23
20,EXT BARN  DAY,5
21,INT BARN  DAY,31
22,EXT FARM GATE  DAY,30
23,INT CLAPBOARD HOUSE  DAY,25
24,INT KITCHENCLAPBOARD HOUSE  DAY,20
25,INT DINING ROOM  CLAPBOARD HOUSE  DAY,11
26,INT TRAILER HOME  CAMP  EVENING,52
27,EXT TURNPIKE  MORNING,24
28,EXT TURNPIKE TUNNEL APPROACH  DAY,24
29,INT TUNNEL  DAY,23
30,EXT TUNNEL EXIT AND TURNPIKE  CAMP   EARLY MORNING,4
31,INT ABANDONED CAR  CAMP   EARLY MORNING,41
32,EXT TURNPIKE UNDERPASS  DAY,159
33,EXT WOODS  DAY,10
34,EXT WOODSTURNPIKE  DAY,18
35,EXT WOODS  EVENING,30
36,EXT EMBANKMENT  DAWN,36
37,EXT EMBANKMENT BY TUNNEL EXIT  DAY,40
38,EXT TURNPIKE ROAD  DAY,18
39,EXT EMBANKMENT BY THE TURNPIKE  DAY,13
40,INT CLAPBOARD HOUSE  NIGHT,83
41,EXT RAVINEWATERFALL  DAY,38
42,EXT RIVERWATERFALL  DAY,5
43,EXT RAVINEROCKFACE  CAMP   EVENING,36
44,EXT THE RIVERVALLEY  MORNING,17
45,EXT BACK ROAD  DAY,4
46,EXT BRIDGE  DAY,7
47,EXT ABANDONED TRUCK  DAY,4
48,INT TRUCKCAB  DAY,6
49,INT TRUCKCAB  CAMP   NIGHT,61
50,EXT TRUCKCAB  CAMP  EARLY HOURS,4
51,EXT CAMPROAD  CAMP   EARLY HOURS,13
52,EXT CLAPBOARD HOUSEYARD  NIGHT,40
53,EXT CITY LIMITS  DUSK,2
54,EXT OVERPASSCITY LIMITS  EVENING,31
55,EXT OUTSKIRTSCITY  DAY,3
56,EXT COUNTRY RAILWAY LINE  DAY,14
57,EXT DRIVEWAYSTATELY HOME,13
58,EXT PORCHSTATELY HOME  DAY,4
59,INT FOYERSTATELY HOME  DAY,17
60,INT KITCHENSTATELY HOME  DAY,22
61,EXT BACK GARDENSTATELY HOME  DAY,9
62,INT KITCHENSTATELY HOME  DAY,23
63,INT CELLARSTATELY HOME  DAY,48
64,INT KITCHENSTATELY HOME  DAY,7
