1,EXTA STILL FRAME OF A DENTON CATHOLIC CHURCHDAY,189
2,EXTCHURCHDAY,74
3,INT CHURCHDAY,83
4,INTA STUDYNIGHT,45
5,EXTNIGHT,39
6,EXTROADNIGHT,5
7,INTCARNIGHT,9
8,EXTROADNIGHT,3
9,INTCARNIGHT,29
10,EXTROADNIGHT,60
11,EXTCASTLE DRIVEWAYNIGHT,7
12,EXTCASTLE FACADENIGHT,11
13,EXTSKYNIGHT,9
14,EXTCASTLE DRIVENIGHT,10
15,EXTCASTLE DRIVENIGHT,10
16,EXTCASTLE DRIVENIGHT,11
17,INTSTUDYNIGHT,10
18,EXTFRONT DOOR OF THE CASTLENIGHT,38
19,EXTCASTLENIGHT,2
20,EXTFRONT DOOR OF CASTLENIGHT,9
21,INTSTAIRWAYNIGHT,13
22,INTHALLWAYNIGHT,48
23,INTBALLROOMNIGHT,29
24,INTSTUDYNIGHT,9
25,INTBALLROOMNIGHT,7
26,INTSTUDYNIGHT,5
27,INTBALLROOMNIGHT,17
28,INTSTAIRWAYNIGHT,34
29,INTBANDSTANDNIGHT,15
30,INTBALLROOMNIGHT,7
31,INTSTUDYNIGHT,8
32,INTBALLROOMNIGHT,5
33,INTSTUDYNIGHT,5
34,INTBALLROOMNIGHT,12
35,INTBALCONYHALLWAYNIGHT,8
36,AINTHALLLIFTNIGHT,42
37,INTLIFTHALLNIGHT,15
38,AINTBALLROOMNIGHT,77
39,INTLIFT AREA,7
40,INTLIFT AREA,7
41,INTLIFT AREA,7
42,INTLIFT AREA,7
43,INTLIFT AREA,7
44,INTLIFT AREA,8
45,INTBALLROOMNIGHT,18
46,INTHALLLIFTNIGHT,49
47,INTLABORATORYNIGHT,137
48,INTLABORATORYNIGHT,35
49,INTTHE LABORATORYNIGHT,67
50,INTSTUDYNIGHT,10
51,INTLABORATORYNIGHT,58
52,INTLABORATORYNIGHT,46
53,AINTLABORATORYNIGHT,52
54,INTLABORATORY REFRIGERATORNIGHT,117
55,INTLABNIGHT,14
56,INTLABORATORYNIGHT,26
57,INTBRIDAL SUITENIGHT,9
58,INTSTUDYNIGHT,15
59,INTJANETS ROOM RED FILTERNIGHT,4
60,INTBRADS ROOM BLUE FILTERNIGHT,3
61,INTLABORATORYNIGHT,8
62,INTJANETS ROOM RED FILTERNIGHT,76
63,INTLABORATORYNIGHT,4
64,INTJANETS ROOM RED FILTERNIGHT,8
65,INTBRIDAL SUITE ADJOINING LABORATORYNIGHT,17
66,INTBRADS ROOM BLUE FILTERNIGHT,106
67,EXTCASTLE GROUNDSNIGHT,4
68,INTJANETS ROOM RED FILTERNIGHT,8
69,AINTBRADS ROOM BLUE FILTERNIGHT,13
70,BINTJANETS ROOM RED FILTERNIGHT,9
71,CINTBRADS ROOM BLUE FILTERNIGHT,9
72,DINTJANETS ROOM RED FILTERNIGHT,8
73,EINTBRADS ROOM BLUE FILTERNIGHT,10
74,FINTCORRIDOR RED FILTER  OAKLEY COURTNIGHT,8
75,GINTBRADS ROOM BLUE FILTERNIGHT,10
76,HINTLABORATORYNIGHT,6
77,INTSTUDYNIGHT,17
78,INTLABORATORYNIGHT,26
79,INTLABORATORYNIGHT,19
80,INTSTUDYNIGHT,12
81,INTCOLUMBIAS ROOMNIGHT,6
82,INTLABORATORYNIGHT,9
83,INTCOLUMBIAS ROOMNIGHT,6
84,INTLABORATORYNIGHT,40
85,INTCOLUMBIAS ROOM,11
86,INTLABORATORYNIGHT,32
87,INTCOLUMBIAS ROOMNIGHT,2
88,INTLABORATORYNIGHT,2
89,INTCORRIDOR OUTSIDE LABORATORYNIGHT,6
90,INTLABORATORYNIGHT,20
91,INTLABORATORYNIGHT,7
92,INTLABORATORYNIGHT,20
93,INTLABORATORYNIGHT,28
94,INTLABORATORYNIGHT,5
95,EXTINTVARIOUS LOCALESNIGHT,4
96,INTLABORATORYNIGHT,82
97,INTTHE STUDYNIGHT,11
98,INTDINING ROOMNIGHT,62
99,INTTHE STUDYNIGHT,4
100,INTDINING ROOMNIGHT,35
101,INTCOLUMBIAS ROOMNIGHT,12
102,INTDINING ROOMNIGHT,16
103,INTDINING ROOMNIGHT,19
104,INTDINING ROOMNIGHT,22
105,INTDINING ROOMHALLSTAIRS,23
106,INTCORRIDORNIGHT,16
107,INTLABORATORYNIGHT,72
108,INTSTUDYNIGHT,3
109,INTLABORATORYNIGHT,32
110,INTLABORATORYNIGHT,61
111,INTSTUDYNIGHT,26
112,INTBALLROOM  STAGENIGHT,8
113,INTBALLROOM INCLUDING STAGENIGHT,3
114,INTBACKSTAGENIGHT,3
115,INTBALLROOM STAGENIGHT,4
116,INTBACKSTAGENIGHT,3
117,INTSTAGENIGHT,12
118,INTBACKSTAGENIGHT,3
119,INTSTAGENIGHT,12
120,INTSTAGENIGHT,11
121,INTSTAGENIGHT,13
122,INTSTAGENIGHT,16
123,INTSTAGENIGHT,68
124,INTBALLROOMNIGHT,26
125,INTSTAGENIGHT,53
126,INTBALLROOMNIGHT,98
127,INTCASTLE CORRIDORSNIGHT,2
128,AINTBALLROOMNIGHT,18
129,BEXTCASTLEDAWN,2
130,EXTCASTLEDAWN,6
131,EXTTHE CRATERDAY,31
132,INTSTUDYNIGHT,109
133,INT NARRATORS STUDYN,13
