1,EXT DESERT  DAWN,14
2,EXT NARROW CANYON  DAWN,8
3,EXT HILL  DAWN,9
4,EXT FORSTER CAMP  DAWN,12
5,EXT FORSTER CAMP  DAWN,9
6,EXT CREEK  DAWN,7
7,EXT DESERT ROAD  DAY,6
8,EXT CREEK  DAY,5
9,EXT MEADOW  DAY,7
10,EXT FORSTER CAMP  DAY,7
11,EXT DESERT ROAD  DAY,164
12,EXT ASPEN  DAY  MATTE SHOT,5
13,EXT ASPEN STREET  DAY DISSOLVE IN,16
14,EXT SHERIFFS OFFICE  DAY,10
15,INT BLACKSMITH SHOP  DAY,72
16,EXT SHERIFFS OFFICE  DAY,5
17,INT BLACKSMITH SHOP  DAY,10
18,EXT SHERIFFS OFFICE  DAY,101
19,EXT STREET  DAY,153
20,EXT GENERAL STORE,25
21,EXT DESERT ROAD  DAY,368
22,EXT DESERT ROAD  DAY,14
23,EXT CAMP SITE  LATE AFTERNOON,114
24,EXT KNOLL  NIGHT,29
25,EXT CAMP  NIGHT  MOONLIGHT,9
26,EXT ROAD  NIGHT  MOONLIGHT,54
27,EXT CAMP  NIGHT  MOONLIGHT,184
28,EXT CAMP SITE  NIGHT,126
29,EXT KNOLL  NIGHT  MOONLIGHT,4
30,EXT WAGON  MOONLIGHT  NIGHT,57
31,EXT CREEK  NIGHT  MOONLIGHT,11
32,EXT ROAD  NIGHT  MOONLIGHT,3
33,EXT KNOLL  NIGHT  MOONLIGHT,6
34,EXT MEADOW  NIGHT  MOONLIGHT,7
35,EXT DESERT  NIGHT  MOONLIGHT,9
36,EXT WASH,66
37,EXT DESERT  NIGHT  MOONLIGHT,5
38,EXT HILLTOP  NIGHT  MOONLIGHT,76
39,EXT TRAIL  DAY FADE IN,228
40,EXT WYATT RANCH  DAY,35
41,EXT TRAIL  DAY,7
42,EXT WYATT RANCH  DAY,75
43,EXT TRAIL,5
44,EXT RANCH HOUSE  DAY,9
45,INT RANCH HOUSE,49
46,EXT HILLTOP  NIGHT DISSOLVE IN,34
47,EXT FARM HOUSE  NIGHT,47
48,EXT CORRAL  NIGHT,4
49,EXT TRAIL  NIGHT,4
50,EXT HILLTOP  NIGHT,8
51,EXT WYATT RANCH  NIGHT  MOONLIGHT,3
52,INT FARMHOUSE  NIGHT,3
53,EXT PORCH  NIGHT,58
54,INT KITCHEN  NIGHT,4
55,INT BEDROOM  NIGHT,49
56,INT KITCHEN  NIGHT,11
57,INT BEDROOM  NIGHT,15
58,INT KITCHEN  NIGHT,42
59,EXT CORRAL  NIGHT,59
60,INT KITCHEN  NIGHT,25
61,EXT PORCH  NIGHT,4
62,INT KITCHEN  NIGHT,31
63,INT BEDROOM  NIGHT,6
64,INT KITCHEN  NIGHT,11
65,INT MARYS AND HELENS BEDROOM  NIGHT DISSOLVE IN,11
66,INT KITCHEN  NIGHT,17
67,EXT PORCH  NIGHT,101
68,INT SECOND BEDROOM  NIGHT,18
69,INT KITCHEN  MORNING,74
70,INT ELAINES BEDROOM,119
71,INT KITCHEN,4
72,EXT YARD,3
73,INT KITCHEN,6
74,INT ELAINES BEDROOM,36
75,EXT PORCH,72
76,EXT WYATT RANCH,4
77,EXT FOREST TRAIL  DAY FADE IN,98
78,EXT FOREST TRAIL,27
79,EXT MEADOW,21
80,EXT HILLTOP  DUSK DISSOLVE IN,164
81,EXT TRAIL  NIGHT,11
82,EXT FOREST  NIGHT,4
83,EXT ROCKY HILLSIDE  DAWN,98
84,EXT CANYON TRAIL,53
85,EXT MEADOW,5
86,EXT FOWLERS CAMP,89
87,EXT RIVER BANK,95
88,EXT MEADOW,94
89,EXT CAMP,165
90,EXT TRAIL,115
91,EXT RIVER,29
92,EXT PEAKS OF THE SIERRA NEVADA MOUNTAINS,19
93,EXT UPPER FORD  NIGHT  MOONLIGHT,11
94,EXT MEADOW  NIGHT,3
