1,INT OFFICE  PROCESSING HALL  AFTERNOON  A FULL,485
2,EXT,16
3,INT TONYS TENT  FREEDOMTOWN,38
4,INT TENT  LATER THATNIGHT,137
5,EXT FREEDOMTOWN,216
6,EXT PLAYING FIELD  DAY  TWO WEEKS LATER,208
7,EXT FREEDOMTOWN  DAY,7
8,INT PROCESSXNG,15
9,EXT DOWNTOWN MIAMI  SUNNY DAY,155
10,EXT MIAMI SHOPPING STREET  DAY,163
11,INTEXT LITTLE HAVANA RESTAURANT  NIGHT  HOURS LATER,51
12,EXT PARKING LOT OUTSIDE LITTLE HAVANA RESTAURANT  NIGHT,218
13,EXT MIAMI EACH  DAY  MOVING SHOT,16
14,INTEXT,160
15,EXT SUNRAY MOTEL  DAY,10
16,EXT TOADS MOTEL ROOM  DAY,11
17,INT TOADS MOTEL ROOM  DAY,115
18,INT TOADS MOTEL ROOM  DAY,58
19,EXT SUNRRY MOTEL  DAY,9
20,EXT SUNRAY MOTEL  DAY,6
21,EXT SUNRAY MOTEL  DAY,10
22,INT,82
23,EXT SUNRAY MOTEL  DAY,8
24,INT TOADS MOTEL ROOM  DAY,14
25,EXT SUNRAY MOTEL  DAY,8
26,INT TOADS MOTEL ROOM  DAY,53
27,INTEXT,116
28,EXT SUNRAY MOTEL  DAY,60
29,EXT,21
30,INT TOADS MOTEL ROOM,23
31,EXT SUNRAY MOTEL  DAY,14
32,EXT LITTLE HAVANA RESTAUWWT,91
33,EXT LOPEZ CONDO  SOUTH MIAMI  NIGHT,13
34,INT,357
35,EXT THE BABYLON CLUB  NIGXT,14
36,INT BABYLON CLUB  NIGHT,85
37,INT,141
38,INT BABYLON CLUB  NIGHT,151
39,INT,35
40,INT BABYLON CLUB DANCE FLOOR  NIGHT,205
41,EXT TONYS MOTHERS HOUSE  SOUTHWEST MIAMI  LATE DAY,9
42,INT TONYS CADILLAC SEDAN  SIMULTANEOUS DAY,175
