1, EXT TORONTO RESIDENTIAL STREET  DAY ,11
2, INT STEPHEN STILLS KITCHEN  DAY ,57
3, INT THE BUS  NIGHT ,20
4, INT STEPHEN STILLS KITCHEN  DAY ,17
5, INTEXT STEPHEN STILLS HOUSE  DAY ,35
6, INT STEPHEN STILLS HOUSE  DAY ,49
7, EXT BUS STOP  EVENING ,5
8, INT STEPHEN STILLS ROOM  EVENING ,37
9, INT WALLACES APARTMENT  EVENING ,98
10, EXT CATHOLIC SCHOOL  DAY ,40
11, INT THE ARCADE  DAY ,25
12, EXT PIZZA PIZZA  DAY ,10
13,A INT THE GOODWILL  DAY A,10
14, INT SONIC BOOM RECORD STORE  DAY ,49
15, EXT SNOWY TORONTO STREET  DAY ,16
16, EXT WALLACES APARTMENT  DAY ,26
17, EXT THE DREAM DESERT  HOTTEST DAY ,14
18, INT WALLACES APARTMENT   ,45
19, INT THE LIBRARY  DAY ,28
20, INT STEPHEN STILLS HOUSE  EVENING ,21
21, EXT TORONTO RESIDENTIAL STREET  NIGHT ,23
22, INT JULIES HOUSE  NIGHT ,50
23, INT JULIES HOUSE  MOMENTS LATER ,180
24, INT WALLACES APARTMENT  NIGHT ,142
25, INT SONIC BOOM  DAY ,8
26, INT THE GOODWILL  DAY ,8
27, EXT PIZZA PIZZA  DAY ,12
28, INT THE ARCADE  DAY ,20
29, INT STEPHEN STILLS HOUSE  EVENING ,73
30, INT STEPHEN STILLS HOUSE BATHROOM  EVENING ,4
31, INT DREAM HIGH SCHOOL   ,7
32, INT WALLACES APARTMENT  MORNING ,97
33, EXT PARK  NIGHT ,150
34, INT RAMONAS APARTMENT  NIGHT ,90
35, INT RAMONAS ROOM  MORNING ,13
36, EXT RAMONAS APARTMENT  MORNING ,37
37, INT THE ROCKIT  NIGHT ,48
38, INT THE ROCKIT BACKSTAGE  CONTINUOUS ,17
39, INT THE ROCKIT STAGE  CONTINUOUS ,16
40,A INT THE ROCKIT BACKSTAGE  CONTINUOUS A,4
41,B INT THE ROCKIT STAGE  CONTINUOUS B,22
42, INT THE ROCKIT BACKSTAGE  CONTINUOUS ,7
43, INT THE ROCKIT STAGE  CONTINUOUS ,6
44, INT THE ROCKIT BACKSTAGE  CONTINUOUS ,12
45, INT THE ROCKIT BALCONY  CONTINUOUS ,13
46, INT THE ROCKIT BACKSTAGE  CONTINUOUS ,5
47, INT THE ROCKIT BALCONY  CONTINUOUS ,9
48, INT THE ROCKIT STAGE  CONTINUOUS ,167
49, INT THE ROCKIT BALCONY  CONTINUOUS ,14
50, INT THE ROCKIT STAGE  CONTINUOUS ,10
51, INT THE ROCKIT BALCONY  CONTINUOUS ,3
52, INT THE BUS  NIGHT ,40
53, INT WALLACES APARTMENT  MORNING ,91
54, EXT PAYPHONE ON BUSY STREET  DAY ,19
55, INT SONIC BOOM  DAY ,56
56, INT THE BUS  RECORD STORE  DAY ,6
57, INTEXT STEPHEN STILLS BASEMENT  EVENING ,100
58, INT WALLACES APARTMENT  NIGHT ,146
59, EXT ENDLESS STAIRWAY  NIGHT ,38
60, EXT CASA LOMA  CONTINUOUS ,245
61, INT WALLACES APARTMENT  DAY ,151
62,A EXT STREET  DAY A,4
63, EXT ALLEY  DAY ,80
64, EXT BLOOR STREET  DAY ,26
65, INT THE SECOND CUP  CONTINUOUS ,126
66, EXT TORONTO RESIDENTIAL STREET  DAY ,48
67, INT WALLACES APARTMENT  NIGHT ,26
68, INT STEPHEN STILLS HOUSE  DAY ,52
69, INT DRUG SMART  EVENING ,8
70,A INT KNIVES BEDROOM  EVENING A,8
71,B INT KNIVES BATHROOM  EVENING B,41
72, EXT LEES PALACE  NIGHT ,4
73, INT LEES PALACE  CONTINUOUS ,10
74, INT LEES PALACE  LATER ,10
75, INT LEES PALACE LADIES BATHROOM  MOMENTS LATER ,12
76, INT LEES PALACE  MOMENTS LATER ,34
77, INT LEES PALACE MENS BATHROOM  MOMENTS LATER ,4
78, INT LEES PALACE  MOMENTS LATER ,27
79, INT LEES PALACE  LATER ,28
80, INT LEES PALACE RATTY BACKSTAGE AREA  NIGHT ,262
81, INT LEES PALACE  CONTINUOUS ,18
82, INT LEES PALACE RATTY BACKSTAGE AREA CONTINUOUS ,107
83, INT PIZZA PIZZA  NIGHT ,68
84, EXT AFTER PARTY  NIGHT ,44
85, INT AFTER PARTY  CONTINUOUS ,331
86, INT STEPHEN STILLS HOUSE  NIGHT ,41
87, EXT THE NINTH CIRCLE  NIGHT ,31
88, INT THE NINTH CIRCLE STAGE  NIGHT ,147
89, EXT THE NINTH CIRCLE  NIGHT ,117
90, INT THE BUS  GIDEONS LINCOLN  NIGHT ,11
91,A EXT THE PARK  NIGHT  DAY  NIGHT A,25
92, INT WALLACES APARTMENT  NIGHT ,24
93, INT WALLACES APARTMENT  LATER ,60
94, INT GIDEONS LAIR  CONTINUOUS ,10
95, INT WALLACES APARTMENT  CONTINUOUS ,32
96, EXT STREETS OF TORONTO  NIGHT ,13
97, INT WAREHOUSE  NIGHT ,10
98, INT CHAOS THEATRE  CONTINUOUS ,202
99, EXT THE DREAM DESERT  DAY ,89
100, INT WALLACES APARTMENT  NIGHT ,69
101, EXT STREETS OF TORONTO  DAY ,6
102, INT WAREHOUSE  DAY ,7
103, INT CHAOS THEATRE  CONTINUOUS ,257
