1,EXT CITY SKYLINE  DAY,37
2,INT LORNAS APARTMENT BEDROOM  DAY,19
3,INT LORNAS KITCHEN  DAY,20
4,EXT STREET  DAY,30
5,INT COFFEE SHOP  DAY,157
6,INT TODDS APARTMENT  DAY,140
7,INT TODDS BATHROOM  DAY,8
8,INT TODDS BEDROOM  DAY,43
9,INT TODDS KITCHEN  DAY,42
10,INT TODDS CAR  MOVING  DAY,80
11,INT TODDS CAR  DAY,16
12,INT PHOTOGRAPHY STUDIO  DAY,118
13,EXT MOVIE THEATER  NIGHT,70
14,INT TODDS CAR  MOVING  NIGHT,139
15,INT SARAHS APARTMENT BEDROOM  NIGHT,65
16,INT SARAHS HALLWAY  NIGHT,20
17,INT SARAHS BEDROOM  NIGHT,66
18,INT SARAHS BEDROOM  LATER  NIGHT,38
19,INT SARAHS BEDROOM  STILL LATER  NIGHT,16
20,EXT STREET  DAY,5
21,EXT SARAHS GRANDPARENTS HOUSE  DAY,15
22,EXT BACK PORCH  DAY,186
23,INT THE MODEL CITYOFFICE  DAY,42
24,INT OFFICE CORRIDOR  DAY,67
25,EXT OFFICE BUILDING  DAY,47
26,EXT SUBURBAN DEVELOPMENT  DAY,8
27,INT HOUSE  DAY,81
28,INT ANOTHER BEDROOM  DAY,8
29,INT THE KITCHEN  DAY,5
30,INT THE LIVING ROOM  DAY,60
31,INT THE LIVING ROOM  LATER  DAY,47
32,EXT HOUSE  DAY,30
33,INT TODDS APARTMENT  DAY,49
34,INT PHARMACY  NIGHT,26
35,EXT JOSHS HOUSE  NIGHT,9
36,INT JOSHS BATHROOM  NIGHT,33
37,INT JOSHS BEDROOM  NIGHT,116
38,INT OFFICE BUILDING  NIGHT,106
39,INT OFFICE BUILDING  THE BAR  NIGHT,66
40,INT JOSHS CAR  MOVING  NIGHT,13
41,EXT CHINESE RESTAURANT  NIGHT,16
42,INT CHINESE RESTAURANT  NIGHT,74
43,EXT CHINESE RESTAURANT  NIGHT,32
44,INT JOSHS CAR  NIGHT,39
45,INT GWENS HOUSE  DAY,149
46,INT GWENS BATHROOM  DAY,22
47,INT HOTEL LOBBY  DAY,31
48,INT HOTEL RESTAURANT  DAY,151
49,INT HOTEL LOBBY DAY,40
50,INT ELEVATOR  DAY,6
51,INT HOTEL HALLWAY  DAY,5
52,INT HOTEL ROOM  DAY,45
53,INT HOTEL HALLWAY  DAY,10
54,INT ELEVATOR  CONTINUOUS,42
55,INT HOTEL LOBBY  DAY,3
56,INT HOTEL FRONT DESK  DAY,68
57,INT EMPLOYEE BREAK ROOM  DAY,41
58,INT MUSIC CONSERVATORY  DAY,11
59,INT CONSERVATORY HALLWAY  DAY,58
60,INT APARTMENT  DAY,64
61,INT APARTMENT KITCHEN  DAY,38
62,INT DAVIDS APARTMENT  NIGHT,77
63,EXT DAVIDS APARTMENT  NIGHT,82
64,INT DAVIDS BEDROOM  NIGHT,14
65,INT DAVIDS BEDROOM  LATER  NIGHT,10
66,INT ROSALIES CAR  MOVING  NIGHT,16
67,INT ROSALIES APARTMENT  NIGHT,5
68,INT ROSALIES BEDROOM  NIGHT,11
69,INT ROSALIES BEDROOM  ON TV  NIGHT,6
70,INT ROSALIES BEDROOM  NIGHT,78
71,INT PHOTOGRAPHY STUDIO  DAY,33
72,INT CHURCH  NIGHT,40
73,INT TOBACCO SHOP  DAY,73
74,INT TOWNHOUSE  NIGHT,9
75,INT TOWNHOUSE FOYER  NIGHT,18
76,INT TOWNHOUSE HALLWAY  NIGHT,18
77,INT TOWNHOUSE BEDROOM  NIGHT,139
78,INT TOWNHOUSE BATHROOM  NIGHT,15
79,INT TOWNHOUSE BEDROOM  NIGHT,93
80,INT TOWNHOUSE BEDROOM  NIGHT,11
81,INT COFFEE SHOP  NIGHT,28
82,INT LORNAS APARTMENT  DAY,18
83,EXT STREET  DAY,4
84,EXT CATHEDRAL  DAY,15
85,INT CATHEDRAL VESTIBULE  DAY,52
86,INT CATHEDERAL  DAY,68
87,EXT CATHEDERAL  DAY,3
