1,EXT STREETS OF LONDON  NIGHT,77
2,INT CARRIAGE  CLOSEUP ON THE OFFICERS  NIGHT,9
3,EXT STREETS OF LONDON  NIGHT,18
4,INT CATHEDRAL CRYPTS  ENTRANCE  NIGHT,81
5,INT CATHEDRAL CRYPTS  BALCONY  NIGHT,71
6,INT CATHEDRAL CRYPTS  BALCONY  NIGHT,20
7,INT CATHEDRAL CRYPTS,147
8,INT LAB,7
9,INT NEWSPAPER LIBRARY,9
10,INT LAB,4
11,INT NEWSPAPER LIBRARY,10
12,INT LAB,5
13,INT NEWSPAPER LIBRARY,15
14,INT LAB,5
15,INT NEWSPAPER LIBRARY,12
16,INT PRINTING PRESS,13
17,EXT  BAKER ST  AFTERNOON,12
18,INT  BAKER ST  WATSONS APARTMENT,52
19,INT  BAKER ST  HALL,55
20,INT  BAKER ST  HOLMES APARTMENTS,181
21,INT THE ROYALE  DINING ROOM,225
22,A OMITTEDINT PUNCH BOWL PUB  BAREKNUCKLE BOXING FIGHT  A,92
23,INT PENTONVILLE PRISON  CORRIDOR  NIGHT,33
24,INT PENTONVILLE PRISON  BLACKWOODS CELL  NIGHT,58
25,INT PUNCH BOWL PUB  BAREKNUCKLE BOXING RING  NIGHT,7
26,INT PUNCH BOWL PUB  ATTIC,57
27,EXT LONDON  DAWN,78
28,EXT PENTONVILLE PRISON  EARLY MORNING,14
29,INT PENTONVILLE PRISON  CORRIDOR  DAWN,23
30,INT PENTONVILLE PRISON  BLACKWOODS CELL  DAY,122
31,INT PENTONVILLE PRISON  CORRIDOR  MORNING,14
32,INT PENTONVILLE PRISON  GALLOWS,40
33,INT  BAKER STREET  DAY,127
34,INT  BAKER ST  STAIRS,10
35,EXT LONDON STREET,16
36,INT CARRIAGE,39
37,EXT LONDON STREET,35
38,INT  BAKER ST  HOLMES APARTMENT,103
39,FLASHBACK  INT  BAKER ST  HOLMES APARTMENT,10
40,INT  BAKER ST  CORRIDOR,6
41,EXT  BAKER ST  REAR YARD,10
42,EXT COAL SHED,5
43,EXT LONDON STREET,20
44,INT ALLEY,39
45,EXT LONDON STREET,13
46,EXT LONDON STREET,8
47,INT  BAKER ST  HOLMES APARTMENTS PRESENT,79
48,EXT THE BLACKWOOD ESTATE  ESTABLISHING  DAY,6
49,EXT THE BLACKWOOD BURIAL PLOT  DAY,206
50,EXT LONDON STREET  DAY,190
51,EXT LONDON EAST END  MINUTES LATER,34
52,INT LODGING HOUSE,14
53,INT REORDONS ROOMS  DAY,25
54,INT REORDONS LAB,80
55,INT REORDONS ROOM,57
56,INT REORDONS LAB,18
57,INT REORDONS LAB,9
58,INT REORDONS ROOMS,41
59,EXT TOOLEY IRONWORKS  GATE,10
60,INT SLIPWAY  DAY,7
61,EXT UNLAUNCHED SHIP  FIRST SLIPWAY,27
62,EXT FABRICATION SHED  DAY,7
63,EXT UNLAUNCHED SHIP  SLIPWAY,11
64,EXT FABRICATION SHED,6
65,EXT SECOND SLIPWAY  CONTINUOUS ACTION,9
66,EXT SECOND SLIPWAY  CONTINUOUS ACTION,19
67,EXT SECOND SLIPWAY  CONTINUOUS ACTION,37
68,INT LONDON JAIL  MORNING,165
69,INT LONDON JAIL  CORRIDOR,20
70,EXT LONDON JAIL  DAY,27
71,INT CARRIAGE,17
72,INT TEMPLE OF FOUR ORDERS HEADQUARTERS,211
73,EXT THE GRAND HOTEL,5
74,INT IRENES HOTEL ROOM  DAY,199
75,INT SIR THOMAS HOUSE  NIGHT,26
76,INT SIR THOMAS BATHROOM,38
77,INT THE GRAND HOTEL  CORRIDOR  DAY,11
