1,INT JAVEDS SAFEHOUSE BATHROOM NIGHT,20
2,INT STUDIO BACKSTAGE DAY,16
3,INT JAVEDS SAFEHOUSE BATHROOM NIGHT,12
4,INT STUDIO NIGHT,35
5,INT POLICE INTERVIEW ROOM NIGHT,17
6,INT STUDIO NIGHT,11
7,INT BUCKET NIGHT,10
8,INT STUDIO NIGHT,41
9,INT POLICE INTERVIEW ROOM DAY,124
10,EXT CRICKET GROUND DAY,35
11,EXT AIRPORT PERIMETER DAY,16
12,INT JUHU SLUM DAY,67
13,INT SCHOOL DAY,21
14,INT INSPECTORS OFFICE DAY,7
15,INT CORRIDOR POLICE STATION DAY,91
16,INT INSPECTORS OFFICE,13
17,INT STUDIO NIGHT,36
18,INT SHACK NIGHT,6
19,EXT JUHU SLUM RUBBISH DUMP NIGHT,60
20,INTEXT TOILET NIGHT,45
21,EXT JUHU SLUM NIGHT,30
22,EXT JUHU SLUM NIGHT,9
23,EXT JUHU SLUM NIGHT,10
24,INT INSPECTORS OFFICE NIGHT,36
25,INT STUDIO NIGHT,46
26,INT INSPECTORS OFFICE DAY,56
27,INT STUDIO NIGHT,25
28,INT GALLERY NIGHT,26
29,INT STUDIO NIGHT,19
30,EXT DHOBI JUHU SLUM DAY,100
31,INT STREET EVENING,16
32,EXT MUMBAI EVENING,48
33,INT BUILDERS YARD NIGHT,31
34,EXT JUHU SLUM DAY,5
35,INT BUILDERS YARD LATER,34
36,INT INSPECTORS OFFICE DAY,10
37,INT STUDIO NIGHT,73
38,INT STUDIO BACKSTAGE NIGHT,70
39,INT STUDIO NIGHT,57
40,INT CHHATRAPATI SHIVAJI TERMINUS DAY,19
41,INT STUDIO NIGHT,43
42,INT CHHATRAPATI SHIVAJI TERMINUS DAY,34
43,INT CHHATRAPATI SHIVAJI TERMINUS DAY,9
44,INT INSPECTORS OFFICE NIGHT,59
45,INT STUDIO NIGHT,27
46,EXT MUMBAI STREET NIGHT,35
47,EXT GARDEN NIGHT,16
48,INT ALLEY NIGHT,20
49,EXT GORAI BEACH DUMPING GROUND DAY,14
50,INT TENT DAY,17
51,EXT ORPHANAGE EVENING,11
52,INT ORPHANAGE COURTYARD EVENING,37
53,INT ORPHANAGE EVENING,35
54,EXT CENTRAL MUMBAI TRAFFIC DAY,59
55,INT ORPHANAGE KITCHEN NIGHT,8
56,INT ORPHANAGE DORMITORY NIGHT,19
57,INT ORPHANAGE SHOWERS NIGHT,22
58,INT SHACK NIGHT,68
59,INT DORMITORY ORPHANAGE NIGHT,39
60,EXT PATH NIGHT,23
61,INT SHACK NIGHT,30
62,EXT SHACK NIGHT,6
63,INT SHACK NIGHT,20
64,EXT SHACK NIGHT,5
65,EXT HILLSIDE NIGHT,9
66,EXT GOODS YARD NIGHT,52
67,INT STUDIO NIGHT,33
68,INT INSPECTORS OFFICE DAY,16
69,EXT TRAIN MORNING,17
70,INT EXT FIRST CLASS CARRIAGE MORNING,35
71,EXT RAILWAY EMBANKMENT DAY,28
72,EXT TAJ MAHAL DAY,26
73,EXT TAJ MAHAL DAY,98
74,EXT TAJ MAHAL DAY,25
75,EXT TAJ MAHAL DAY,10
76,EXT ROADSIDE MARKET AGRA DAY,11
77,EXT BOYS CAMP YAMUNA RIVER DAY,13
78,EXT SLUM DAY,84
79,EXT YAMUNA RIVER NIGHT,7
80,EXT TAJ MAHAL NIGHT,16
81,EXT STANDS NIGHT,51
82,EXT YAMUNA RIVER NIGHT,58
83,INT STUDIO NIGHT,39
84,INT GALLERY NIGHT,10
85,INT STUDIO NIGHT,73
86,INT INSPECTORS OFFICE DAY,44
87,EXT BOMBAY DAY,16
88,EXT CONSTRUCTION SITE DAY,14
89,EXT SLUM NIGHT,12
90,EXT HOTEL DAY,9
91,INT HOTEL FOYER DAY,7
92,INT HOTEL CORRIDOR DAY,19
93,INT HOTEL KITCHENS DAY,51
94,EXT BANDRA BANDSTAND DAY,128
95,EXT PILA STREET NIGHT,17
96,INT BROTHEL NIGHT,32
97,INT LANDING NIGHT,33
98,INT BROTHEL NIGHT,113
99,EXT CHOWPATTY BEACH DUSK,57
100,EXT TULIP STAR NIGHT,5
101,INT TULIP STAR LOBBY NIGHT,20
102,INT TULIP STAR KITCHENS NIGHT,20
103,INT TULIP STAR CORRIDOR NIGHT,5
104,INT TULIP STAR HOTEL LOBBY LATER,6
105,INT HOTEL ROOM NIGHT,41
106,INT HOTEL ROOM LATER,35
107,EXT MUMBAI SLUM STREET NIGHT,26
108,INT HOTEL ROOM LATER,44
109,INT HOTEL ROOM LATER,41
110,INT HOTEL CORRIDOR NIGHT,41
111,INT INSPECTORS OFFICE DAY,37
112,EXT TULIP STAR MORNING,26
113,INT STUDIO NIGHT,15
114,EXT MUMBAI DAY,5
115,INT SHACK DAY,10
116,INT SHACK DAY,6
117,EXT SLUM DAY,7
118,INT CALL CENTRE NIGHT,63
119,INT CALL CENTRE UK FLOOR NIGHT,74
120,INT REST AND RECREATION ROOM NIGHT,10
121,INT CALL CENTRE UK FLOOR NIGHT,165
122,INT STUDIO NIGHT,26
123,INT CALL CENTRE NIGHT,21
124,INT STUDIO NIGHT,101
125,INT HOTEL NIGHT,5
126,INT STUDIO NIGHT,29
127,INT INSPECTORS OFFICE NIGHT,12
128,INT STUDIO NIGHT,21
129,INT GALLERY NIGHT,6
130,INT STUDIO NIGHT,32
131,EXT CRICKET GROUND DAY,15
132,INT STUDIO NIGHT,11
133,EXT TOWER BLOCK DAY,53
134,EXT TOWER BLOCK LATER,52
135,INT SALIMS APARTMENT,16
136,INT SALIMS APARTMENT NIGHT,17
137,INT SALIMS APARTMENT DAWN,15
138,EXT SALIMS APARTMENT DAY,6
139,EXT JAVEDS BUNGALOW DAY,9
140,EXT JAVEDS BUNGALOW DAY,31
141,INT KITCHEN DAY,224
142,INT SALIMS APARTMENT NIGHT,37
143,INT STUDIO NIGHT,29
144,INT CHHATRAPATI SHIVAJI TERMINUS DAY,7
145,INT CORRIDOR NIGHT,7
146,INT CHHATRAPATI SHIVAJI TERMINUS DAY,6
147,INT TOILET NIGHT,42
148,INT STUDIO NIGHT,7
149,INT CHHATRAPATI SHIVAJI TERMINUS DAY,42
150,EXT CHHATRAPATI SHIVAJI TERMINUS DAY,14
151,INT STUDIO NIGHT,150
152,EXT JAVEDS BUNGALOW DAY,10
153,INT JAVEDS BUNGALOW DAY,28
154,INT JAVEDS SAFE HOUSE SALIMS ROOM DAY,17
155,INT JAVEDS BUNGALOW DAY,6
156,INT SALIMS APARTMENT NIGHT,14
157,INT STUDIO BACKSTAGE NIGHT,8
158,EXT STUDIO BACKSTAGE NIGHT,38
159,INT INSPECTORS OFFICE DAY,44
160,EXT POLICE STATION DAY,23
161,INT POLICE OFFICE DAY,72
162,INT JAVEDS SAFEHOUSE SITTING ROOM NIGHT,39
163,INT JAVEDS SAFEHOUSE KITCHEN NIGHT,57
164,INT INSPECTORS OFFICE NIGHT,9
165,INT BACKSTAGE NIGHT,6
166,INT BACKSTAGE NIGHT,6
167,INT POLICE OFFICE NIGHT,14
168,INT POLICE JEEP NIGHT,7
169,INT CAR NIGHT,6
170,INT POLICE JEEP NIGHT,15
171,EXT SLUM NIGHT,5
172,EXT ROADSIDE CHI HOUSE NIGHT,6
173,INT CALL CENTRE NIGHT,17
174,EXT ROADSIDE SHACKS NIGHT,6
175,INT STUDIO BACKSTAGE NIGHT,26
176,EXT MUMBAI STREET NIGHT,10
177,INT COMMISSIONERS OFFICE NIGHT,7
178,INT INSPECTORS OFFICE NIGHT,15
179,INT STUDIO NIGHT,47
180,INT ROADSIDE SHACK NIGHT,9
181,INT STUDIO NIGHT,43
182,INT STUDIO NIGHT,9
183,INT ROADSIDE SHACK NIGHT,8
184,INT STUDIO NIGHT,16
185,INT CAR NIGHT,5
186,INT STUDIO NIGHT,8
187,INT CAR NIGHT,4
188,INT STUDIO NIGHT,17
189,EXT STUDIO BACKSTAGE NIGHT,8
190,INT JAVEDS SAFEHOUSE NIGHT,10
191,INT STUDIO INT ROADSIDE SHACK NIGHT,100
192,INT ROADSIDE SHACK NIGHT,8
193,INT JAVEDS SAFEHOUSE BATHROOM NIGHT,19
194,INT STUDIO BACKSTAGE NIGHT,22
195,INTEXT POLICE JEEP NIGHT,15
196,EXT CHHATRAPATI SHIVAJI TERMINUS NIGHT,19
