1,INT VAN  NIGHT,151
2,EXT CASINO  LAS VEGAS PAST,13
3,INT DRESSING ROOM  NIGHT PAST,12
4,INT CLUB  NIGHT PAST,6
5,INT,22
6,INT HOSPITAL  DAY PAST,16
7,INT POOL HALL  NIGHT PRESENT,35
8,INT POOL HALL,19
9,INT BRIEFING ROOM  DAY,47
10,EXT NEW JERSEY TURNPIKE  NIGHT PAST,18
11,INT BRIEFING ROOM  CONTINUOUS,75
12,INT BRIEFING ROOM  CONTINUOUS,20
13,INT DINER  NIGHT,59
14,INT BRIEFING ROOM  DAY,55
15,INT POOL HALL  MORNING,26
16,INT DINNER CLUB  NIGHT,27
17,EXT DINNER CLUB  PARKING LOT  NIGHT,9
18,INT POOL HALL,10
19,INT DINER  NIGHT,7
20,EXT STREET  DAY,25
21,INT POOL HALL  BAR,64
22,INT DINER  NIGHT,24
23,INT BRIEFING ROOM  DAY,23
24,INT BRIEFING ROOM  CONTINUOUS,59
25,INT HOSPITAL ROOM  MORNING,21
26,INT PENTHOUSE SUITE  NOMAD HOTEL  CASINO  MORNING,171
27,INT CAR  DAY,47
28,INT CHOW SHACK BUFFET  MORNING,84
29,INT HOTEL ROOM  BLACKJACK INN  MORNING,139
30,INT PENTHOUSE SUITE  DAY,69
31,INT PENTHOUSE BEDROOM  CONTINUOUS,12
32,INT PRIVATE PRACTICE  DAY,28
33,INT PENTHOUSE SUITE  CONTINUOUS,19
34,INT PENTHOUSE BEDROOM  CONTINUOUS,57
35,INT PENTHOUSE SUITE  CONTINUOUS,28
36,INT TAHOE SKILLET RESTAURANT  MORNING,118
37,INT NOMAD HOTEL AND CASINO  LOBBYRECEPTION  DAY,24
38,EXT PARKING LOT  OFF THE LAKE  DAY,183
39,INT NOMAD HOTEL AND CASINO  LOBBY  MORNING,83
40,INT NOMAD HOTEL ROOM  LOWER FLOOR,77
41,INT PENTHOUSE SUITE  NOMAD HOTEL  CASINO  MORNING,19
42,INT FOUR SEASONS HOTEL  WASHINGTON DC  DAY,78
43,EXT TAHOE SKILLET RESTAURANT  MORNING,27
44,INT NOMAD HOTEL AND CASINO  SECURITY ROOM  DAY,190
45,INT EMPLOYEE ENTRANCE  DAY,16
46,EXT LAKE DAY,21
47,INT CAR  DAY,74
48,INT NOMAD HOTEL SUITE  DAY,20
49,INT HORIZON HOTEL AND CASINO  SAME,280
50,EXT TAHOE INTERNATIONAL AIRPORT  DAY,18
51,EXT TAHOE INTERNATIONAL AIRPORT  TARMAC  SAME,9
52,INT PENTHOUSE SUITE  DAY,35
53,INT PENTHOUSE SUITE  MASTER BEDROOM  DAY,56
54,INT NOMAD HOTEL AND CASINO  LOBBY  SAME,82
55,EXT LAKEYS SOUVENIR SHOPPE  DAY,14
56,EXT LAKESIDE  DAY,70
57,INT PARKING STRUCTURE  NOMAD HOTEL  SAME,27
58,INT PENTHOUSE SUITE  SAME,50
59,INT BEDROOM  SAME,60
60,INT LEARJET  DAY,18
61,INT ELEVATOR CAR  SAME,80
62,INT NOMAD HOTEL  UPPER FLOOR  SAME,8
63,INT HORIZON HOTEL  TOP FLOOR  SAME,28
64,INT ELEVATOR CAR  SAME,34
65,INT BATHROOM  DAY,107
66,INT HOTEL ROOM  BLACKJACK INN  SAME,19
67,INT GAMBLERS RAMBLE HOTEL  SAME,12
68,INT NOMAD HOTEL  CASINO  PARKING STRUCTURE  DAY,11
69,INT NOMAD HOTEL  PENTHOUSE  SAME,4
70,INT MASTER BEDROOM  SAME,45
71,INT PENTHOUSE SUITE  ANTEROOM  SAME,34
72,INT MASTER BEDROOM  SAME,81
73,EXT PENTHOUSE HALLWAY  SAME,4
74,INT ELEVATOR CAR  SAME,5
75,INT HALLWAY  SAME,17
76,INT HALLWAY  FOURTEENTH FLOOR  SAME,6
