1,EXT THE SUSAN MARIE SHIP CHANNEL BANK  NIGHT,41
2,EXT THE SUSAN MARIE SHIP CHANNEL BANK  MORNING,25
3,INT CORONERS LAB  DAY,21
4,EXT SAN PIEDRO ISLAND  DAY,24
5,INT COURTROOM  DAY,86
6,INT COURTHOUSE CORRIDOR  DAY,34
7,INT COURTROOM  DAY,34
8,INT TEAM BUS  DAY,36
9,INT COURTROOM  DAY,17
10,EXT HEINE HOME  DAY,67
11,INT COURTROOM  DAY,14
12,EXT DOCKS  DAY,108
13,INT COURTROOM  DAY,200
14,INT COURTROOM  LATER,51
15,EXT STRAWBERRY FIELDS  DAWN,79
16,INT COURTROOM  MORNING,193
17,EXT MANZANAR INTERNMENT CAMP  NIGHT,8
18,INT BUDDHIST CHAPEL  NIGHT,7
19,INT BARRACKS  LATER,75
20,INT COURTROOM  DAY,7
21,INT IMADA PARLOR  DAY,16
22,EXT HOLLOW CEDAR  DAY,21
23,INT BEDROOM  DAY,47
24,INT SAN PIEDRO REVIEW  DAY,61
25,EXT MAIN STREET AMITY HARBOR  SUNSET,55
26,EXT SOUTH BEACH  DAY,89
27,EXT IMADA FARM  DUSK,22
28,EXT STRAWBERRY FIELDS  DAY,30
29,EXT CEDAR GROVE  DAY,109
30,INT COURTROOM  DAY,30
31,INT HEINE FARMHOUSE  DAY,7
32,INT KITCHEN  LATER,40
33,INT COURTROOM  DAY,28
34,INT FARMHOUSE KITCHEN  DAY,81
35,INT PARLOR  TWILIGHT,55
36,INT COURTROOM  DAY,60
37,INT ETTAS APARTMENT AMITY HARBOR  DAY,51
38,INT COURTROOM  DAY,75
39,EXT DEEP FOREST  FIRST LIGHT,39
40,INT COURTROOM  DAY,68
41,EXT FARMHOUSE PORCH  DAY,30
42,INT COURTROOM  EVENING,31
43,INT COURTHOUSE CORRIDOR  MINUTES LATER,54
44,INT JAIL  NIGHT,23
45,INT JAIL  DAY,250
46,INT ISHMAELS APARTMENT  NIGHT,27
47,EXT HOLLOW CEDAR  DAY,56
48,INT SCHOOL BUS  DAY,38
49,INT SAN PIEDRO REVIEW  LATE NIGHT,32
50,EXT WOODS  TWILIGHT,59
51,INT IMADA FARMHOUSE  NIGHT,15
52,INT IMADA FARMHOUSE  DAY,152
53,INT FARMHOUSE KITCHEN  NIGHT,67
54,INT ISHMAELS KITCHEN  NIGHT,15
55,INT SAN PIEDRO REVIEW  NIGHT,89
56,EXT HOLLOW CEDAR  DUSK,107
57,EXT AMITY HARBOR FERRY  MORNING,34
58,EXT IMADA FRONT PORCH  NIGHT,20
59,EXT MANZANAR INTERNMENT CAMP  NIGHT,150
60,INT BARRACKS  NIGHT,50
61,EXT APARTMENT HOUSE REAR PORCH  NIGHT,17
62,EXT TARAWA ATOLL  NIGHT,76
63,EXT SEAWALL  DAY,29
64,EXT SEAWALL  NIGHT,26
65,INT SHIPBOARD OPERATING ROOM  NIGHT,33
66,INT KABUOS CELL  LATE NIGHT,17
67,EXT WOODS  NIGHT,79
68,INT COURTROOM  DAY,71
69,EXT THE ISLANDER  NIGHT,138
70,INT COURTROOM  DAY,66
71,INT COURTROOM  DAY,101
72,INT COURTROOM  DAY,39
73,EXT TRAINING FIELD CAMP SHELBY MISSISSIPPI  DAY,81
74,INT COURTROOM  DAY,30
75,INT COURTROOM  DAY,40
76,INT BATHROOM  DAY,15
77,INT PARLOR  MORNING,14
78,INT PARLOR  LATER,58
79,INT COURTROOM  DAY,82
80,INT ISHMAELS DESOTO CENTER VALLEY  TWILIGHT,55
81,INT DESOTO SOUTH BEACH DRIVE  TWILIGHT,71
82,EXT COAST GUARD LIGHTHOUSE POINT WHITE  DUSK,5
83,INT LIGHTHOUSE RECORDS ROOM  DUSK,46
84,INT PETERSENS GROCERIES  DAY,64
85,INT LIGHTHOUSE RECORDS ROOM  NIGHT,84
86,EXT FLETCHERS BAY  MORNING,161
87,INT KITCHEN  NIGHT,145
88,INT BEDROOM  NIGHT,13
89,EXT VETERANS CEMETERY  DAY,46
90,INT BEDROOM  NIGHT,117
91,INT COURTROOM  DAY,258
92,INT COURTROOM  DAY,193
93,INT KABUOS CELL  NIGHT,96
94,EXT SHIP CHANNEL BANK  NIGHT,35
95,INT CARLS CABIN  LATER,165
96,INT COURTROOM  DAY,197
97,INT COURTROOM  LATER,103
98,INT COURTROOM  LATER,160
99,INT COURTROOM  LATER,105
100,INT KABUOS CELL  NIGHT,66
101,INT SOMMENSENS WAREHOUSE  NIGHT,187
102,INT JURY ROOM  NIGHT,108
103,INT NELS KITCHEN  LATE NIGHT,79
104,INT COURTROOM  DAY,571
105,INT COURTHOUSE CORRIDOR  DAY,209
106,INT COURTROOM  DAY,99
107,INT COURTHOUSE CORRIDOR  LATER,53
108,INT COURTHOUSE BASEMENT,12
109,INT COURTHOUSE CORRIDOR,58
