1,INT CAMPUS BAR  NIGHT,359
2,EXT BAR  NIGHT,4
3,EXT HARVARD SQUARE  NIGHT,17
4,INT KIRKLAND HOUSELOBBY  NIGHT,5
5,INT MARKS DORM ROOM  NIGHT,40
6,INT MARXS DORM ROOM  NIGHT,27
7,INT FINAL CLUB  NIGHT,42
8,INT MARKS DORM ROOM  NIGHT,13
9,EXT FINAL CLUB  NIGHT,9
10,INT MARKS DORM ROOM  NIGHT,16
11,INT FINAL CLUB  NIGHT,98
12,INT FINAL CLUB  NIGLT,10
13,INT MARKS DORM ROOM  NIGHT,27
14,EXT FINAL CLUB  NIGHT,39
15,INT PHOENIX CLUB  NIGHT,15
16,INT ANOTHER DORM ROOM  NIGHT,5
17,INT ANOTHER DORM ROOM  NIGHT,5
18,INT ALL NIGHT DINER  NIGHT,5
19,INT FINAL CLUB  NIGHT,6
20,INT CYBER CAFE  NIGHT,6
21,INT ANOTHER DORM ROOM  NIGHT,5
22,INT ANOTHER DORM ROOM  NIGHT,5
23,INT ANOTHER DORM ROOM  NIGHT,4
24,INT ANOTHER DORM ROOM  NIGHT,3
25,INT DORM ROOM  NIGHT,31
26,INT HARVARD DORM ROOM  NIGHT,3
27,INT COFFEE HOUSE  NIGHT,3
28,INT DINING HALL  NIGHT,3
29,INT GIRLS DORM ROOM  NIGHT,3
30,INT MARKS DORM ROOM  NIGHT,12
31,INT BEDROOM  NIGHT,11
32,INT HARVARD COMMUNICATIONS OFFICE  SAME TIME,25
33,INT MARKS DORM ROOM  NIGHT,31
34,INT DEPOSITION ROOM  DAY,79
35,EXT CHARLES RIVER  DAWN,54
36,INT DINING HALL  MORNING,58
37,INT SECOND DEPOSITION ROOM  DAY,17
38,INT ADMINISTRATIVE HEARING ROOM  DAY,65
39,INT CORRIDOR  DAY,8
40,EXT QUAD  CONTINUOUS,25
41,INT LECTURE HALL  DAY,41
42,EXT ACADEMIC BUILDING  DAY,55
43,INT PORCELLIAN CLUB  DAY,106
44,INT SECOND DEPOSITION ROOM  DAY,8
45,INT FIRST DEPOSITION ROOM  DAY,7
46,INT SECOND DEPOSITION ROOM  DAY,7
47,INT FIRST DEPOSITION ROOM  DAY,40
48,INT LARGE LECTURE HALL  NIGHT,98
49,EXT QUAD NIGHT,33
50,INT FIRST DEPOSITION ROOM  DAY,4
51,EXT QUAD  NIGHT,13
52,INT FIRST DEPOSITION ROOM  DAY,22
53,EXT QUAD  NIGHT,5
54,INT FIRST DEPOSITION ROOM  NIGHT,7
55,EXT QUAD  NIGHT,7
56,INT FIRST DEPOSITION ROOM  DAY,10
57,EXT QUAD  NIGHT,5
58,INT FIRST DEPOSITION ROOM  DAY,29
59,EXT QUAD  NIGHT,8
60,INT SECOND DEPOSITION ROOM  DAY,54
61,INT MARKS DORM ROOM  NIGHT,7
62,INT SECOND DEPOSITION ROOM  DAY,14
63,INT MARKS DORM ROOM  NIGHT,7
64,INT SECOND DEPOSITION ROOM  DAY,10
65,INT PHOENIX HOUSE NIGHT,36
66,INT EDUARDOS DORM ROOM  NIGHT,39
67,INT SECOND DEPOSITION ROOM  DAY,11
68,INT CAMERON AND TYLERS DORM ROOM  NIGHT,6
69,INT SECOND DEPOSITION ROOM  DAY,10
70,INT THE PORCELLIAN CLUB  NIGHT,7
71,EXT HARVARD YARD  NIGHT,43
72,INT EDUARDOS DORM ROOM  NIGHT,4
73,INT SECOND DEPOSITION ROOM  DAY,8
74,INT MARKS DORM ROOM  DAY,6
75,INT SECOND DEPOSITION ROOM  DAY,8
76,INT CAMERON AND TYLERS DORM ROOM  NIGHT,14
77,INT SECOND DEPOSITION ROOM  DAY,50
78,INT COMPUTER SCIENCE LAB  DAY,37
79,EXT COPUTER SCIENCE BUILDING  DAY,177
80,INT CAMPUS PUB  NIGHT,53
81,INT BOATHOUSE  NIGHT,26
82,INT CAMERON AND TYLER S DORM ROOM  NIGHT,271
83,INT SECOND DEPOSITION ROOM  DAY,81
84,INT FIRST DEPOSITION ROOM  DAY,18
85,INT SECOND DEPOSITION ROOM  DAY,21
86,EXTEST AUDITORIUM  NIGHT,7
87,INT AUDITORIUM  SAME TIME,72
88,EXT AUDITORIUM  NIGHT,63
89,INT MARKS DORM ROOM  NIGHT,155
90,INT MARKS DORM ROOM  NIGHT,7
91,INT SECOND DEPOSITION ROOM  DAY,92
92,INT MARKS DORM ROOM  NIGHT,7
93,INT MENS ROOM  NIGHT,33
94,INT CLUBMENS ROOM  NIGHT,144
95,INT MARKS DORM ROOM  NIGHT,54
96,INT FIRST DEPOSITION ROOM  DAY,56
97,INT TYLER AND CAMERONS DORM ROOM  NIGHT,88
98,INT A GIRLS COLLEGE APARTMENT PALO ALTO  MORNING,220
99,INT LARRY SUMMERS OUTER OFFICE  DAY,33
100,INT SUMMERS OFFICE  CONTINUOUS,250
101,INT SUMMERS OUTER OFFICE  DAY,7
102,INT FIRST DEPOSITION ROOM  DAY,41
103,INT AD EXECUTIVES OFFICE  DAY,21
104,INT FIRST DEPOSITION ROOM  DAY,13
105,INT   NIGHT,49
106,INT FIRST DEPOSITION ROOM  DAY,73
107,INT FIRST DEPOSITION ROOM  DAY,7
108,INT   NIGHT,133
109,INT FIRST DEPOSITION ROOM  DAY,9
110,INT   NIGHT,30
111,INT FIRST DEPOSITION ROOM  DAY,68
112,INT FIRST DEPOSITION ROOM  DAY,42
113,INT MARKS DORM ROOM  DAY,6
114,INT FIRST DEPOSITION ROOM  DAY,18
115,INTMARKS DORM ROOM  DAY,36
116,INT FIRST DEPOSITION ROOM  DAY,29
117,INT MARKS DORM ROOM  DAY,101
118,INT COMPUTER SCIENCE BUILDINGBASEMENT CORRIDOR NIGHT,6
119,INT CLASSROOM  NIGHT,99
120,INT FIRST DEPOSITION ROOM  DAY,43
121,EXT PALO ALTO HOUSE  DAY,46
122,INT PALO ALTO HOUSE  CONTINUOUS,56
123,INT PALO ALTO HOUSE  LATER,38
124,EXT RUBY SKYE  NIGHT,8
125,INT RUBY SKYE  CONTINUOUS,159
126,EXT THE THAMES  DAY,58
127,EXT AWARD CEREMONY  DAY,61
128,INTEXT STEWARDS TENT  DAY,114
129,INT PALO ALTO HOUSE  NIGHT,40
130,INT PALO ALTO HOUSE  NIGHT,164
131,INT KITCHEN CONTINUOUS,76
132,INT BANK OF AMERICA BRANCH DAY,12
133,EXTEST SAN FRANCISCO SKYSCRAPER  DAY,2
134,INT TBIELLS OUTER OFFICE  DAY,17
135,INT THIELS OFFICE  CONTINUOUS,16
136,INT EDUARDOS APARTMENT  NIGHT,107
137,INT PALO ALTO HOUSE  SAME TIME,115
138,INT FACEBOOK OFFICE  DAY,50
139,INT FIRST DEPOSITION ROOM EVENING,42
140,INT ACEK OFFICE  DAY,24
141,EXT SAN FRANCISCO STREET  DAY,31
142,INT FIRST DEPOSITION ROOM  EVENING,16
143,INT NEW FACEBOOE OFFICES  NIGHT,24
144,INT FIRST DEPOSITIONROOM  EVENING,8
145,INT NEW FACEBOOK OFFICES  NIGHT,9
146,INT CONFERENCE ROOM CONTINUOUS,20
147,INT BULLPEN  CONTINUOUS,38
148,INT FIRST DEPOSITION ROOM  EVENING,28
149,INT NEW FACEBOOK OFFICES  NIGHT,173
150,EXT SORORITY HOUSE  NIGHT,4
151,INT SORORITY HOUSE  NIGHT,4
152,INT BEDROOM  NIGHT,76
153,INT BEDROOM  CONTINUOUS,65
154,INT NEW FACEBOOK OFFICES  NIGHT,11
155,EXT POLICE STATION  NIGHT,60
