1,INT PROFESSOR OCKS PRIVATE PHYSICS LABORATORY THE,62
2,EXT EMPIRE STATE UNIVERSITY  DAY,74
3,INT CYCLOTRON AREA HALLWAY  DAY,33
4,INT OCKS LAB,29
5,INT COLLEGE PHYSICS LAB  DAY,13
6,INT OCKS LAB,35
7,INT COLLEGE PHYSICS LAB  DAY,21
8,INT CYCLOTRON ROOM  DAY,15
9,INT ELECTRICAL CONDUIT MONTAGE  DAY,4
10,INT LAB  DAY,218
11,INT BASEMENT HALLWAY  DAY,104
12,INT CONTROL ROOM  DAY,94
13,EXT DAILY BUGLE  DAY,5
14,INT JAMESONS OFFICE  DAY,39
15,EXT STREET  DAY,9
16,INT PETERS APARTMENT  DAY,45
17,INT LARGE COMPUTER LAB  NIGHT,44
18,INT CYCLOTRON ROOM  NIGHT,46
19,INT APARTMENT OF AUNT MAY AND UNCLE BEN  NIGHT,39
20,INT THE DINING ROOM  NIGHT,52
21,INT BASEMENT CYCLOTRON ROOM  NIGHT,97
22,INT EXPERIMENTAL CHAMBER  NIGHT,4
23,INT THE CONTROL ROOM  NIGHT,7
24,INT EXPERIMENTAL CHAMBER  NIGHT,30
25,INT BASEMENT HALLWAY  NIGHT,12
26,INT CYCLOTRON ROOM  NIGHT,18
27,INT BASEMENT HALLWAY  NIGHT,6
28,EXT THE EMPIRE UNIVERSITY  NIGHT,103
29,EXT SCIENCE CENTER  NIGHT,9
30,INT DUMPSTER  NIGHT,9
31,EXT FIRE DOOR  NIGHT,3
32,INT BASEMENT HALLWAY  NIGHT,30
33,INT MENS ROOM  NIGHT,31
34,EXT FIRE DOOR  NIGHT,9
35,EXT UNIVERSITY  NIGHT,25
36,EXT BRICK BUILDING  NIGHT,14
37,EXT THE ROOF  NIGHT,27
38,EXT ROOFTOP SHACK  NIGHT,5
39,EXT THE TALLER BUILDING  NIGHT,9
40,EXT CHELSEA STREET  NIGHT,7
41,EXT ROOFTOP MONTAGE  NIGHT,18
42,EXT PHONE BOOTH  NIGHT,80
43,INT EXT PHONE BOOTHAUNT MAYS BEDROOM  NIGHT,34
44,INT PHONE BOOTH  NIGHT,15
45,INT HOSPITAL OPERATING ROOM  NIGHT,73
46,INT HOSPITAL ROOM  DAY,76
47,INT TAXI  NIGHT,28
48,INT CATACOMBS MADISON SQUARE GARDEN  NIGHT,21
49,INT WASHROOM  NIGHT,7
50,INT THE ARENA  NIGHT,2
51,INT THE CATACOMBS  NIGHT,13
52,INT THE RING  NIGHT,44
53,INT LIZKIMS DORM ROOM  NIGHT,14
54,INT RING  NIGHT,66
55,EXT CITY STREET  NEAR A HOSPITAL  DAY,25
56,INT HOSPITAL CORRIDOR  ROOM  DAY,19
57,INT CORRIDOR TO OCKS LAB  DAY,4
58,INT CONTROL ROOM  NIGHT,66
59,EXT PETER PARKERS ROOFTOP  DAY,57
60,INT ELECTRODYNE FACTORY SHOP  DAY,23
61,EXT STREET  OUTSIDE OF A BANK  BACK DOOR  NIGHT,16
62,INT JAMESONS OFFICE  DAY,36
63,INT CYCLOTRON ROOM  NIGHT,36
64,INT CAFETERIA  NIGHT,182
65,INT BEN AND MAYS FAMILY ROOM  NIGHT,11
66,EXT TAXI  NIGHT,2
67,INT TAXI  NIGHT,33
68,EXT THE STREET  NIGHT,3
69,INT BEN AND MAYS BEDROOM  NIGHT,8
70,INT BEN AND MAYS KITCHEN  NIGHT,5
71,INT BEN AND MAYS LIVING ROOM  NIGHT,4
72,EXT TAXI  NIGHT,2
73,INT TAXI  NIGHT,16
74,INT BEN AND MAYS FAMILY ROOM  NIGHT,5
75,INT BEN AND MAYS DINING ROOM  NIGHT,4
76,INT BEN AND MAYS KITCHEN  NIGHT,3
77,EXT TH STREET BRIDGE  NIGHT,10
78,EXT THE TRUCK  NIGHT,6
79,INT BEN AND MAYS DINING ROOM  NIGHT,5
80,INT BEN AND MAYS HOUSE  NIGHT,2
81,INT BEN AND MAYS FAMILY ROOM  NIGHT,11
82,EXT FOREST HILLS STREET  NIGHT,4
83,INT BEN AND MAYS BEDROOM  NIGHT,7
84,EXT BEN AND MAYS HOUSE  NIGHT,2
85,INT BEN AND MAYS FAMILY ROOM  NIGHT,13
86,INT HOSPITAL WAITING ROOM  NIGHT,50
87,EXT WAREHOUSE  NIGHT,4
88,EXT COP CAR  NIGHT,13
89,EXT WAREHOUSE WALL  NIGHT,5
90,EXT COP CAR  NIGHT,9
91,EXT WAREHOUSE WALL  NIGHT,3
92,INT THE WAREHOUSE  NIGHT,88
93,INT WAREHOUSE HALLWAY  NIGHT,3
94,INT WAREHOUSE PAINT ROOM  NIGHT,9
95,INT CYCLOTRON  NIGHT,9
96,INT CONTROL ROOM  NIGHT,21
97,INT PETER PARKERS APARTMENT  NIGHT,14
98,INT THE HALLWAY LANDING  NIGHT,5
99,INT PETER PARKERS APARTMENT  NIGHT,34
100,INT HALLWAY  NIGHT,3
101,INT PETER PARKERS APARTMENT  NIGHT,75
102,INT HALLWAY  NIGHT,6
103,EXT THE STREET  NIGHT,3
104,EXT PETER PARKERS APARTMENT  NIGHT,4
105,INT PETER PARKERS APARTMENT  NIGHT,9
106,EXT STREET  NIGHT,4
107,INT CONSTRUCTION ALLEY  NIGHT,10
108,INT ELEVATOR  NIGHT,10
109,EXT CONSTRUCTION SITE  NIGHT,3
110,EXT CONSTRUCTION ROOF  NIGHT,123
111,EXT BRICK WALL  NIGHT,3
112,EXT THE ALLEY  NIGHT,6
113,EXT STREET  NIGHT,2
114,EXT SIDE WALL  NIGHT,2
115,EXT COP CARS  NIGHT,7
