1,EXT AREA OF LUMINESCENCE S,47
2,INT KLINGON CRUISER BRIDGE O,18
3,EXT SPACE  THE KLINGON PATROL AND THE HAZE S,6
4,INT THE KLINGON BRIDGE  CAPTAIN AND EXEC O,14
5,INT BRIDGE  KLINGON COMMAND CRUISER,19
6,INT KLINGON BRIDGE  TACTICAL GRID  CAPTAIN AND,8
7,EXT SPACE  ANGLE ON KLINGON VESSEL  TORPEDO HATCH S,10
8,INT KLINGON BRIDGE  TACTICAL GRID O,6
9,INT KLINGON BRIDGE  CAPTAIN AND EXEC,12
10,INT KLINGON BRIDGE O,31
11,INT KLINGON BRIDGE,9
12,EXT SPACE  STARFLEET MONITOR STATION EPSILON  S,8
13,INT EPSILON   MONITOR ROOM  A VIEWER O,74
14,EXT SURFACE OF PLANET VULCAN  DAY M,10
15,EXT VULCAN LEDGE  SPOCK  M  FP,87
16,EXT EARTH  AN AIR TRAM  DAY S,5
17,EXT SAN FRANCISCO  HILLTOP AIR TRAM STATION ,13
18,EXT TRAM STATION  CLOSE ON TRAM DOORS  DAY,16
19,INT AIR TRAM STATION  DAY,55
20,EXT EARTH ORBIT S,14
21,INT INNER OFFICE O,62
22,EXT POD,6
23,EXT EARTH ORBIT  ANGLES ON TRAVEL POD S,11
24,INT TRAVEL POD  KIRK AND SCOTT,37
25,EXT OUTSIDE THE POD WINDOW  KIRKS POV O,4
26,INT TRAVEL POD,13
27,EXT EARTH ORBIT  OTHER ANGLES FROM THE POD O,11
28,INT POD  VERY CLOSE ON KIRK AT WINDOW,16
29,EXT THE ENTERPRISE  AND THE POD TINY IN THIS SHOT,20
30,INT POD  AT THE AIRLOCK,11
31,INT ENTERPRISE CARGO DECK M,6
32,INT CARGO DECK  BALCONY AND CATWALK,35
33,EXT ELEVATOR AND CATWALK,4
34,INT ELEVATOR,12
35,INT BRIDGE,89
36,INT ENGINEERING SECTION,165
37,INT TRANSPORTER ROOM  INCLUDING TRANSPORTER CHAMBER,75
38,INT CORRIDOR  TRAVELING WITH KIRK,73
39,INT RECREATION DECK M,109
40,ON THE VIEWER  EXT THE DESTRUCTION OF EPSILON  O,37
41,EXT THE ENTERPRISE IN DRYDOCK S,13
42,INT BRIDGE,157
43,INT TRANSPORTER ROOM,98
44,INT ENTERPRISE  MONTAGE,13
45,INT BRIDGE,23
