1,INT REBEL BLOCKADE RUNNER  MAIN PASSAGEWAY,61
2,EXT SPACECRAFT IN SPACE,4
3,INT REBEL BLOCKADE RUNNER,18
4,EXT TATOOINE  DESERT WASTELAND  DAY,27
5,INT REBEL BLOCKADE RUNNER  MAIN HALLWAY,10
6,INT REBEL BLOCKADE RUNNER,3
7,INT REBEL BLOCKADE RUNNER,26
8,INT REBEL BLOCKADE RUNNER  CORRIDOR,32
9,INT REBEL BLOCKADE RUNNER  SUBHALLWAY,15
10,INT REBEL BLOCKADE RUNNER  SUBHALLWAY,28
11,INT IMPERIAL STARDESTROYER,9
12,INT LIFEPOD,9
13,EXT TATOOINE  ANCHORHEAD SETTLEMENT  POWER STATION  DAY,8
14,INT POWER STATION  DAY,54
15,EXT TATOOINE  ANCHORHEAD  SETTLEMENT  POWER STATION ,34
16,INT REBEL BLOCKADE RUNNER  HALLWAY,67
17,EXT SPACE,3
18,EXT TATOOINE  DESERT,55
19,EXT TATOOINE  DUNE SEA,22
20,EXT TATOOINE  ANCHORHEAD SETTLEMENT  POWER STATION  DAY,135
21,EXT TATOOINE  ROCK CANYON  SUNSET,24
22,EXT TATOOINE  ROCK CANYON  SANDCRAWLER  SUNSET,8
23,INT SANDCRAWLER  HOLD AREA,8
24,INT SANDCRAWLER  PRISON AREA,9
25,EXT TATOOINE  ROCK CANYON  SANDCRAWLER  SUNSET,4
26,EXT TATOOINE  DESERT  DAY,11
27,EXT TATOOINE  DUNES,2
28,INT SANDCRAWLER,21
29,EXT TATOOINE  DESERT  LARS HOMESTEAD  AFTERNOON,128
30,INT LARS HOMESTEAD  GARAGE AREA  LATE AFTERNOON,220
31,INT LARS HOMESTEAD  DINING AREA,101
32,EXT TATOOINE  LARS HOMESTEAD,5
33,INT LARS HOMESTEAD  GARAGE,18
34,EXT TATOOINE  LARS HOMESTEAD,34
35,INT LARS HOMESTEAD  PLAZA,7
36,INT LARS HOMESTEAD  KITCHEN,18
37,EXT TATOOINE  DESERT WASTELAND  LUKES SPEEDER  DAY,4
38,INTEXT LUKES SPEEDER  DESERT WASTELAND  TRAVELING ,32
39,EXT TATOOINE  ROCK MESA  DUNE SEA  COASTLINE  DAY,12
40,EXT TATOOINE  ROCK MESA  CANYON,7
41,EXT TATOOINE  ROCK CANYON  FLOOR,39
42,EXT TATOOINE  ROCK CANYON  RIDGE  DAY,25
43,EXT TATOOINE  ROCK CANYON  FLOOR  DAY,80
44,EXT TATOOINE  SAND PIT  ROCK MESA  DAY,29
45,INT KENOBIS DWELLING,151
46,EXT SPACE,3
47,INT DEATH STAR  CONFERENCE ROOM,88
48,EXT TATOOINE  WASTELAND,38
49,EXT TATOOINE  WASTELAND,2
50,EXT TATOOINE  LARS HOMESTEAD,11
51,EXT SPACE,2
52,INT DEATH STAR  DETENTION CORRIDOR,14
53,EXT TATOOINE  WASTELAND,16
54,EXT TATOOINE  WASTELAND,14
55,EXT TATOOINE  MOS EISLEY  STREET,35
56,EXT TATOOINE  MOS EISLEY  STREET,32
57,INT TATOOINE  MOS EISLEY  CANTINA,101
58,EXT TATOOINE  MOS EISLEY  STREET,7
59,INT TATOOINE  MOS EISLEY  CANTINA,80
60,EXT TATOOINE  MOS EISLEY  STREET,6
61,INT MOS EISLEY  CANTINA,53
62,EXT SPACE,2
63,INT DEATH STAR  CONTROL ROOM,24
64,EXT TATOOINE  MOS EISLEY  STREET,25
65,EXT TATOOINE  MOS EISLEY  STREET  ALLEYWAY  USED,21
66,INT DOCKING BAY   DAY,69
67,EXT DOCKING PORT ENTRY  ALLEYWAY,9
68,INT MOS EISLEY SPACEPORT  DOCKING BAY ,22
69,INT MILLENNIUM FALCON,3
70,INT MOS EISLEY SPACEPORT  DOCKING BAY ,5
71,EXT TATOOINE  MOS EISLEY  STREET,9
72,INT MOS EISLEY SPACEPORT  DOCKING BAY ,14
73,INT MILLENNIUM FALCON,7
74,EXT TATOOINE  MOS EISLEY  STREETS,5
75,INT MILLENNIUM FALCON  COCKPIT,3
76,EXT SPACE  PLANET TATOOINE,2
77,INT MILLENNIUM FALCON  COCKPIT,11
78,EXT SPACE  PLANET TATOOINE,4
79,INT MILLENNIUM FALCON  COCKPIT,18
80,EXT SPACE  PLANET TATOOINE,2
81,INT MILLENNIUM FALCON  COCKPIT,32
82,EXT SPACE,3
83,EXT DEATH STAR,2
84,INT DEATH STAR  CONTROL ROOM,75
85,INT DEATH STAR  BLAST CHAMBER,10
86,INT MILLENNIUM FALCON  CENTRAL HOLD AREA,153
87,INT DEATH STAR  CONFERENCE ROOM,19
88,EXT HYPERSPACE,3
89,INT MILLENNIUM FALCON  COCKPIT,57
90,EXT SPACE,2
91,INT MILLENNIUM FALCON  COCKPIT,13
92,EXT SPACE,3
93,INT MILLENNIUM FALCON  COCKPIT,14
94,EXT SPACE,3
95,INT MILLENNIUM FALCON  COCKPIT,40
96,INT MILLENNIUM FALCON  DEATH STAR,6
97,EXT DEATH STAR  HUGE PORT DOORS,6
98,INT DEATH STAR  DOCKING BAY ,8
99,INT DEATH STAR  HALLWAY,2
100,INT DEATH STAR  HANGAR ,7
101,INT DEATH STAR  CONFERENCE ROOM,15
102,INT DEATH STAR  DOCKING BAY ,32
103,INT MILLENNIUM FALCON  HALLWAY,24
104,INT DEATH STAR  MAIN FORWARD BAY,14
105,INT DEATH STAR  FORWARD BAY  COMMAND OFFICE,211
106,INT DEATH STAR  DETENTION AREA  ELEVATOR TUBE,12
107,INT DEATH STAR  MAIN HALLWAY,8
108,INT DEATH STAR  INTERIOR ELEVATOR  DETENTION SECURITY,12
109,INT DETENTION AREA,72
110,INT DEATH STAR  CELL ROW,25
111,INT DEATH STAR  CONFERENCE ROOM,41
112,INT DEATH STAR  DETENTION AREA  HALLWAY,34
113,INT DEATH STAR  MAIN BAY GANTRY  CONTROL TOWER,15
114,INT DEATH STAR  DETENTION CORRIDOR,45
115,INT DEATH STAR  GARBAGE ROOM,102
116,INT DEATH STAR  MAIN GANTRY  COMMAND OFFICE,37
117,INT DEATH STAR  GARBAGE ROOM,17
118,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,10
119,INT DEATH STAR  GARBAGE ROOM,13
120,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,9
121,INT DEATH STAR  GARBAGE ROOM,4
122,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,5
123,INT DEATH STAR  GARBAGE ROOM,3
124,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,9
125,INT DEATH STAR  GARBAGE ROOM,4
126,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,18
127,INT DEATH STAR  GARBAGE ROOM,12
128,INT DEATH STAR  MAIN FORWARD BAY  SERVICE PANEL,4
129,INT DEATH STAR  TRACTOR BEAM  POWER GENERATOR TRENCH,8
130,INT DEATH STAR  UNUSED HALLWAY,49
131,INT DEATH STAR  POWER TRENCH,25
132,INT DEATH STAR  HALLWAY,47
133,INT DEATH STAR  SUBHALLWAY,9
134,INT DEATH STAR  SUBHALLWAY,7
135,INT DEATH STAR  SUBHALLWAY,5
136,INT DEATH STAR  CENTRAL CORE SHAFT,65
137,INT DEATH STAR  NARROW PASSAGEWAY,6
138,INT DEATH STAR  MAIN FORWARD BAY,7
139,INT DEATH STAR  CORRIDOR  BLAST SHIELDS DOOR,13
140,INT DEATH STAR  HALLWAY LEADING TO MAIN FORWARD BAY,37
141,INT DEATH STAR  MAIN FORWARD BAY,17
142,INT DEATH STAR  HALLWAY,11
143,INT DEATH STAR  DOCKING BAY,8
144,INT DEATH STAR  HALLWAY,46
145,INT MILLENNIUM FALCON  COCKPIT,10
146,EXT MILLENNIUM FALCON,4
147,INT MILLENNIUM FALCON  CENTRAL HOLD AREA,5
148,INT MILLENNIUM FALCON  COCKPIT,8
149,INT MILLENNIUM FALCON  CENTRAL HOLD AREA,15
150,INT MILLENNIUM FALCON  GUNPORTS  COCKPIT,2
151,INT MILLENNIUM FALCON  HOLD AREA,3
152,INT MILLENNIUM FALCON  GUNPORTS  COCKPIT,4
153,INT MILLENNIUM FALCON  SOLOS GUNPORT,6
154,INT MILLENNIUM FALCON  GUNPORTS  COCKPIT,4
155,INT MILLENNIUM FALCON  SOLOS GUNPORT  COCKPIT,3
156,INT MILLENNIUM FALCON  GUNPORT  COCKPIT,3
157,INT MILLENNIUM FALCON  COCKPIT,5
158,INT MILLENNIUM FALCON  COCKPIT  POV POINT OF VIEW ,4
159,INT TIE FIGHTER  COCKPIT,3
160,EXT MILLENNIUM FALCON  IN SPACE,3
161,INT MILLENNIUM FALCON  HOLD AREA,4
162,INT MILLENNIUM FALCON  COCKPIT  GUNPORTS,5
163,EXT SPACE,2
