1,EXT SPACE,13
2,INT ARGO CITY,142
3,EXT A SPRINGTIME MEADOW  USA  DAY UNDER TITLES,125
4,EXT EARTH,6
5,EXT HIGH ABOVE THE EARTH,3
6,EXT HIGH ABOVE MOUNTAIN MEADOWS,5
7,EXT MOUNTAINTOP,7
8,EXT FOREST,3
9,EXT MANSION  GARDEN PARTY,104
10,INT SELENAS HOUSE,21
11,EXT MIDVALE SCHOOL DAY,3
12,INT MAIN BUILDING MIDVALE SCHOOL STAIRWAY,7
13,INT MAIN BUILDING  MIDVALE SCHOOL HALL,2
14,INT REGISTRARS OFFICE,28
15,EXT CAMPUS DORM,9
16,INT DORM CORRIDOR,6
17,INT DORM ROOM,54
18,EXT SCHOOL PLAYING FIELDS DAY,11
19,INT LOCKER ROOM DAY,8
20,INT SHOWER LATER DAY,3
21,INT PLUMBING ROOM,15
22,INT SHOWER,2
23,INT PLUMBING ROOM,3
24,INT COMPUTING CLASS,7
25,EXT CAMPUS,3
26,INT CLASS,15
27,EXT ROAD OUTSIDE SCHOOL DAY,2
28,INT CADILLAC,6
29,EXT ROAD OUTSIDE SCHOOL,2
30,INT CADILLAC,40
31,EXT DORM DAY,2
32,INT LINDA AND LUCYS ROOM DAY,14
33,INT BATHROOM OFF DORM ROOM DAY,5
34,INT DORM,25
35,INT DORM LOUNGE,2
36,INT LINDAS DORM ROOM,31
37,EXT SCHOOL GROUNDS BENCH DAY,3
38,INT OFFICE IN THE MATH DEPARTMENT,6
39,EXT SCHOOL GROUNDS BENCH DAY LATER,12
40,EXT BACKYARD OF DANVERSS HOUSE DAY,2
41,INT SELENAS HOUSE LIVING ROOM DAY,9
42,EXT SELENAS HOUSE GARDEN DAY,2
43,INT SELENAS HOUSE LIVING ROOM DAY,71
44,EXT FRONT DOOR OF MANSION,13
45,INT SELENAS LIVING ROOM,6
46,EXT FRONT DOOR OF MANSION,18
47,EXT GROUNDS OF SELENAS MANSION SUNSET,4
48,INT SELENAS LIVING ROOM,4
49,INT THE DANVERS LIVING ROOM NIGHT,23
50,INT SELENAS LIVING ROOM NIGHT,7
51,EXT HAMBURGER HEAVEN NIGHT,40
52,INT SELENAS LIVING ROOM NIGHT,6
53,EXT STREET OPPOSITE HMBUPGER RESTAURANT NIGHT,11
54,EXT GAS STATION NIGHT,2
55,EXT HAMBURGER RESTAURANT NIGHT,2
56,EXT MOTELGAS STATION NIGHT,5
57,EXT HAMBURGER RESTAURANT NIGHT,7
58,EXT ACCIDENT SCENEGAS STATION NIGHT INSIDE THE RING OF FIRE,3
59,INT SCOOP OF BULLDOZER,11
60,INT SELENAS LIVING ROOM,6
61,EXT ACCIDENT SCENEGAS STATION BULLDOZER RING OF FIRE,8
62,EXT ACCIDENT SCENE OUTSIDE RING OF FIRE NIGHT,2
63,EXT IN THE SKY HIGH ABOVE THE ACCIDENT NIGHT,13
64,EXT ACCIDENT SCENE POST FIRE NIGHT,5
65,INT SELENAS LIVING ROOM NIGHT,11
66,EXT HOSPITAL ENTRANCE NIGHT,2
67,INT HOSPITAL EMERGENCY ROOM NIGHT,18
68,INT HOSPITAL EMERGENCY ROOM NIGHT,32
69,INT SELENA S MANSION,53
70,INT DANVERS  LIVING ROOM NIGHT,12
71,EXT MIDVALE SCHOOL DESERTED CAMPUS OUTSIDE THE DORM NIGHT,2
72,INT DORM CORRIDOR NIGHT,2
73,INT LINDAS ROOM NIGHT,4
74,EXT OUTSIDE DORM TENNIS COURT NIGHT,3
75,INT LINDAS BEDROOM NIGHT,2
76,EXT FORM TENNIS COURT CAMPUS NIGHT,2
77,INT LINDAS BEDROOM NIGHT,4
78,EXT OUTSIDE THE DORM NIGHT,7
79,EXT THUNDER STORM LIGHTNING,2
80,EXT CAMPUS,4
81,EXT CAMPUS NIGHT,3
82,INT DORM ENTRY NIGHT,2
83,INT HOUSEMOTHERS ROOM NIGHT,2
84,INT DORM HALLWAY,3
85,INT LINDAS ROOM NIGHT,22
86,INT SELENAS HOUSE LIVING ROOM,9
87,INT DORM LINDAS ROOM,6
88,EXT HOSPITAL ENTRANCE DAY,2
89,INT HOSPITAL DAY,71
90,EXT HOSPITAL ENTRANCE LATE AFTERNOON,5
91,INT HOSPITAL CORRIDOR LATE AFTERNOON,2
92,INT ETHANS ROOM DAY,91
93,INT HOSPITAL CORRIDOR,8
94,INT OPERATING THEATRE,9
95,INT XRAY ROOM,4
96,INT DUCT,3
97,INT LUCYS HOSPITAL ROOM,26
98,INT HOSPITAL CORRIDOR,10
99,EXT ROOF OF HOSPITAL SUNSET,11
100,EXT HOSPITAL ENTRANCE SUNSET,17
101,EXT ROOF OF HOSPITAL,3
102,EXT LADDER ONTHE SIDE OF THE CHIMNEY,6
103,EXT HOSPITAL ENTRY,13
104,EXT HOSPITAL ROOF,4
105,EXT TOP OF CHIMNEY,6
106,EXT ROOF OF HOSPITAL,3
107,EXT TOP OF CHIMNEY,9
108,EXT HOSPITAL ENTRANCE JIMMYS CAR,5
109,EXT ALLEY BEHIND HOSPITAL,2
110,EXT TOP OF CHIMNEY,2
111,EXT CHIMNEY SKY,2
112,EXT ROOF OF HOSPITAL,2
113,EXT HOSPITAL ENTRY,16
114,EXT HIGH IN THE AIR ABOVE THE HOSPITAL SUNSET,19
115,EXT HOSPITAL ENTRY TWILIGHT,18
116,EXT AMUSEMENT PARK NIGHT,55
117,EXT ENTRANCE TO AMUSEMENT PARK NIGHT,2
118,EXT TOP OF FERRIS WHEEL,59
119,INT DODGEM CARS TENT,2
120,EXT AMUSEMENT PARK,10
121,INT DODGEM CAR TENT,5
122,EXT AMUSEMENT PARK,38
123,EXT TROPICAL BEACH DAY,29
124,EXT SELENAS MANSION NIGHT,11
125,INT SELENAS LIVING ROOM CANDLELIT NIGHT,75
126,EXT TROPICAL BEACH DAY,41
127,INT SELENAS LIVING ROOMPAGAN TEMPLE NIGHT,11
128,EXT BESIDE A STREAM TROPICAL PARADISE DAY,56
129,INT SELENAS LIVING ROOM,10
130,EXT TROPIAL ISLAND,33
131,EXT TROPICAL ISLAND SUNSET SKY ABOVE ISLAND DAY,2
132,EXT ABOVE THE OCEAN DAY,2
133,EXT ABOVE MIDVALE DAY,2
134,EXT SELENAS FRONT LAWN,2
135,INT SELENAS MANSION FRONT HALLLIVING ROOM,20
