1,INT RIPLEYS CABIN EVENING,24
2,EXT CENTRAL PARK WEST TERRACE EARLY EVENING,36
3,INT ELEVATOR OPENING OUT INTO LOBBY EARLY EVENING,15
4,EXT CENTRAL PARK WEST EARLY EVENING,21
5,EXT THEATER EVENING,3
6,INT MENS ROOM THEATER NIGHT,6
7,INT A BOX AT THE THEATER NIGHT,5
8,INT BACKSTAGE  AM,11
9,EXT GREENLEAF SHIPYARDS BROOKLYN DAY,31
10,INT RIPLEYS APARTMENT NEW YORK DAY,19
11,INT RIPLEYS APARTMENT DAY,15
12,INT RIPLEYS APARTMENT DAY,10
13,INT RIPLEYS APARTMENT DAY,5
14,EXT RIPLEYS APARTMENT DAY,29
15,INT HERBERT GREENLEAFS CAR DAY,9
16,EXT QUEEN MARY MANHATTAN SKYLINE DAY,3
17,INT NAPLES HARBOR CUSTOMS  IMMIGRATION HALL DAY,88
18,EXT COASTAL ROAD FROM NAPLES LATE AFTERNOON,3
19,INT BUS LATE AFTERNOON,7
20,EXT MONGIBELLO FISHERMANS WHARF LATE DAY,10
21,EXT MIRAMARE HOTELBOAT AT SEA MORNING,29
22,EXT MONGIBELLO DAY,70
23,EXT MONGIBELLO EARLY MORNING,25
24,EXT MARGES HOUSE AFTERNOON,124
25,INTEXT MONGIBELLO CHURCH AND SQUARE DUSK,37
26,EXT DICKIES HOUSE MONGIBELLO AFTERNOON,70
27,INT JAZZ CLUB NAPLES NIGHT,39
28,INT DICKIES HOUSE NOON,39
29,INT DICKIES HOUSE UPSTAIRS DAY,4
30,INT DICKIES BEDROOM DAY,29
31,EXT TERRACE OF DICKIES HOUSE DAY,67
32,EXT BIRD SAILBOAT DAY,49
33,EXT MONGIBELLO LATE DAY,52
34,EXT MARGES HOUSE EARLY EVENING,5
35,EXT MONGIBELLO SQUARE EARLY EVENING,13
36,EXT COASTAL ROAD TO NAPLES EVENING,10
37,INT JAZZ CLUB NAPLES NIGHT,5
38,INT DICKIES HOUSE NIGHT,76
39,INT DICKIES BATHROOM NIGHT,29
40,INTEXT AMERICAN EXPRESS OFFICE NAPLES DAY,27
41,INT TRAIN TO ROME DAY,29
42,EXT ARCARIS CAFE PIAZZA NAVONA ROME DAY,80
43,INT A JAZZ RECORD STORE LATE AFTERNOON,49
44,EXT THE CAPITOL LATE AFTERNOON,7
45,INT ROME RAILWAY STATION NIGHT,5
46,INT DICKIES BEDROOM NIGHT,49
47,EXT DICKIES TERRACE DAY,14
48,EXT THE OCEAN ABOARD THE BIRD DAY,52
49,EXT OCEAN ABOARD THE BIRD DUSK,48
50,EXT DICKIES MOORING DAY,8
51,EXT MONGIBELLO SLIPWAY LATE DAY,27
52,EXT DICKIES TERRACE LATE DAY,35
53,INT DICKIES HOUSE LATE AFTERNOON,47
54,EXT AMERICAN EXPRESS NAPLES DAY,44
55,INT TRAIN TO SAN REMO AFTERNOON,15
56,EXT HOTEL TERRACE RESTAURANT SAN REMO NIGHT,74
57,EXT MID OCEAN DAY,157
58,EXT A COVE NEAR SAN REMO AFTERNOON,7
59,EXT SAN REMO DUSK,3
60,INT HOTEL LOBBY EARLY EVENING,15
61,EXT ROAD BETWEEN NAPLES AND MONGIBELLO DAY,5
62,EXT MONGIBELLO FISHERMANS WHARF DAY,3
63,INT DICKIES LIVING ROOM MONGIBELLO DAY,5
64,INT DICKIES LIVING ROOM DAY,8
65,EXT MARGES GARDEN MONGIBELLO DAY,56
66,EXT MONGIBELLO BEACH EARLY MORNING,3
67,INT OFF FROM DICKIES LIVING ROOM MORNING,32
68,INT ALBERGO GOLDONI ROME DAY,5
69,INT HOTEL GRAND DAY,16
70,INT RIPLEYS SUITE GRAND DAY,20
71,INT RIPLEYS HOTEL ROOM GOLDONI DAY,10
72,INT GUCCI STORE ROME DAY,17
73,EXT ACROSS PIAZZA NAVONA TO ARCARIS CAFE DAY,33
74,EXT AMERICAN EXPRESS OFFICE ROME DAY,13
75,INT AMERICAN EXPRESS OFFICE ROME DAY,12
76,INT RIPLEYS SUITE GRAND ANOTHER DAY,27
77,INT THE OPERA HOUSE ROME,13
78,INT OUTSIDE THE BOXES OPERA HOUSE ROME,27
79,INT OPERA HOUSE FOYER NIGHT,90
80,INT BOX OPERA HOUSE NIGHT,20
81,EXT CAROZZA ROME NIGHT,16
82,EXT MEREDITHS APARTMENT ROME,22
83,EXT DINELLIS CAFE PIAZZA DI SPAGNA MORNING,133
84,INT APARTMENT PALAZZA GIOIA DAY,17
85,INT RIPLEYS APARTMENT AFTERNOON,6
86,INT RIPLEYS APARTMENT LATE AFTERNOON,115
87,INT LANDING AND STAIRS RIPLEYS BUILDING LATE DAY,5
88,INT RIPLEYS APARTMENT ROME LATE DAY,14
89,EXT PALAZZO GIOIA NIGHT,9
90,EXT VIA APPIA ANTICA NIGHT,5
91,INT RIPLEYS APARTMENT ROME EVENING,10
92,INT RIPLEYS APARTMENT EVENING,41
93,EXT NARROW STREET THE GHETTO ROME MORNING,10
94,EXT AMERICAN EXPRESS PIAZZA DI SPAGNA DAY,41
95,EXT SQUARE OF THE PALAZZO GIOIA DAY,5
96,EXT ROME STREET BY THE RIVER DAY,24
97,EXT SQUARE OF THE PALAZZO GIOIA AFTERNOON,9
98,INT ENTRANCE AND STAIRS PALAZZO GIOIA CONTINUOUS,33
99,INT RIPLEYS APARTMENT AFTERNOON,142
100,INT RIPLEYS APARTMENT PALAZZO GIOIA NIGHT,9
101,INT RIPLEYS APARTMENT PALAZZO GIOIA NIGHT,37
102,INT BASEMENT PALAZZO GIOIA NIGHT,12
103,EXT BY THE PALAZZO GIOIA ROME NIGHT,5
104,EXT BY THE PALAZZO GIOIA NIGHT,3
105,EXT PIAZZALE ROMA VENICE DAWN,7
106,EXT PIAZZA SAN MARCO VENICE EARLY MORNING,20
107,INT POLICE STATION VENICE LATE DAY,60
108,INT POLICE STATION INTERVIEW ROOM VENICE LATE DAY,151
109,INT PETER SMITHKINGSLEYS APARTMENT DAY,48
110,INT SANTA MARIA DELLA PIETA BRIDGE OF SIGHS DAY,9
111,EXT VENICE SLUCIA RAILWAY STATION DAY,41
112,EXT RIPLEYS HOUSE VENICE DAY,13
113,INT RIPLEYS HOUSE VENICE DAY,28
114,EXT PIAZZA SAN MARCO VENICE DAY,73
115,INT RIPLEYS HOUSE AFTERNOON,34
116,INT RIPLEYS HOUSE VENICE DUSK,46
117,INT RIPLEYS BATHROOM VENICE NIGHT,48
118,INT RIPLEYS SITTING ROOM VENICE NIGHT,81
119,INT RIPLEY HOUSE LIVING ROOM NIGHT,11
120,INT LOBBY EUROPA REGINA HOTEL VENICE MORNING,2
121,INT HERBERT GREENLEAFS SUITE EUROPA REGINA DAY,54
122,EXT EUROPA REGINA THE GREENLEAF TERRACE DAY,81
123,EXT EUROPA REGINA MOORING DAY,44
124,EXT FERRY FOR ATHENS NAPLES DAY,13
125,INT PETERS CABIN DUSK,27
126,EXT DECK OF THE HELLENES SUNSET,71
127,INT PETERS CABIN NIGHT,77
