1,FILM OPENS  EXT  MANHATTAN CAB GARAGE,42
2,INT CORRIDOR     L   ,260
3,CAMERA PANS SILENTLY  INT ,37
4,EXT  TAXI GARAGE,8
5,INT  TAXI GARAGE,84
6,INT PORNO THEATRE,40
7,INT THEATRE AUDITORIUM,15
8,EXT CHARLES PALANTINE CAMPAIGN HEADQUARTERS,165
9,EXT PALANTINE HEADQUARTERS,8
10,INT TRAVIS APARTMENT,40
11,INT TRAVIS APARTMENT,245
12,EXT PALANTINE HEADQUARTERS  ANOTHER DAY,2
13,INT PALANTINE HEADQUARTERS,93
14,EXT ACROSS THE STREET FROM HEADQUARTERS,182
15,INT COFFEE SHOP,316
16,EXT TRAVIS TAXI    ,110
17,EXT BARCLAY HOTEL,19
18,EXT MANHATTAN STREET  EARLY MORNING,260
19,INT BUILDING  DAY,51
20,EXT,38
21,EXT,112
22,INT HOTEL,218
23,INT FIRING RANGE,20
24,INT APARTMENT,130
25,INT GARAGE,26
26,INT PORNO THEATER AUDITORIUM,408
27,EXT,146
28,EXT CHARLES PALANTINE RALLY  DAY,359
29,A TRAVIS     CUTS TO INT APARTMENT,476
30,INT ST REGIS SUITE NOON,59
31,EXT FIFTH AVE NOON,4
32,EXT DOWNTONE COFFEE SHOP NOON,390
33,INT APARTMENT,60
34,INT APARTMENT,40
35,EXT,124
36, INT APARTMENT       ,232
37,EXT TRAVIS APARTMENT  DAY,4
38,SLOW TRACKING SHOT  INT APARTMENT,88
39,EXT PLAZA HOTEL  NIGHT,83
