1,EXT CITY STREET  DAY,22
2,EXT CITY RUINS  NIGHT,54
3,EXT BATTLEFIELD  NIGHT,79
4,EXT TRUCKSTOP  NIGHT,16
5,INT TRUCK STOP DINER  NIGHT,77
6,INT KITCHEN,20
7,INT TRUCK STOP,20
8,EXT TRUCK STOP,37
9,EXT FREEWAY  NIGHT,11
10,EXT OVERPASS  NIGHT,57
11,INT SUBURBAN HOUSEGARAGE  DAY,25
12,INT HOUSE  LIVING ROOM,17
13,INT GARAGE,18
14,EXT VACANT LOTDRAINAGE CANAL,24
15,EXT PESCADERO STATE HOSPITAL  DAY,11
16,INT HOSPITAL  MAXIMUM SECURITY WING,26
17,INT HOSPITALCORRIDOR,20
18,INT CELL,21
19,INT CORRIDOR,40
20,INT CELL,50
21,EXT BANK PARKING LOT  DAY,35
22,EXT ALLEY BEHIND BANK,37
23,INT POLICE CRUISER  DAY,15
24,INTEXT VOIGHT HOUSE  DAY,47
25,EXT STREET,15
26,INT SARAHS CELL  DAY,87
27,INT CORRIDOR,76
28,INT PESCADERO STATE HOSPITAL  INTERVIEW ROOM,123
29,EXT CYBERDYNE SYSTEMS  DAY,5
30,INT SECOND FLOORELEVATORS,18
31,INT SECURITY STATION,5
32,INT ARTIFICIAL INTELLIGENCE AI LAB,40
33,INT VAULT ROOM,16
34,INT VAULT,30
35,INT INTERVIEW ROOMOBSERVATION ROOM,67
36,EXT ELEVEN STORE  DAY,15
37,EXT STREET,20
38,INT GALLERIA  DAY,8
39,INT GALLERIA PARKING LOT,8
40,INT GALLERIA,64
41,INT SERVICE CORRIDOR,132
42,INT PARKING GARAGE,20
43,EXT STREET,23
44,EXT FLOOD CONTROL CHANNEL,149
45,EXT SIDE STREET  NIGHT,17
46,EXT ALLEY,50
47,EXT STREET  NIGHT,47
48,EXT PAYPHONE,16
49,INT VOIGHT HOUSE  KITCHEN  NIGHT,90
50,INT VOIGHT HOUSEKITCHEN,26
51,EXT VOIGHT HOUSEBACKYARD  NIGHT,12
52,EXT PARKING LOT  NIGHT,34
53,INT VOIGHT HOUSE  NIGHT,26
54,EXT PARKING LOT  NIGHT,184
55,INT VOIGHT HOUSEBEDROOM  NIGHT,35
56,INT INTERVIEW ROOMPESCADERO  NIGHT,52
57,INT SARAHS CELL,30
58,EXT ROAD  NIGHT,9
59,INT SARAHS CELL,12
60,EXT HOSPITAL ENTRANCE,11
61,INT SARAHS CELLCORRIDOR,49
62,INT HOSPITAL ENTRANCECORRIDOR,115
63,INT CORRIDORNIGHT RECEIVING DESK,28
64,INT ISOLATION SECURITY CHECKPOINT,97
65,EXT HOSPITAL,39
66,INT ISOLATION FLOOR,513
67,INTEXT SECURITY CAR,85
68,EXT MENTAL HOSPITAL,18
69,INT CAR,19
70,EXT SERVICE STATION  NIGHT,13
71,INT GAS STATION,256
72,EXT GAS STATION  DAY LATER,43
73,INTEXT PICKUP TRUCKHIGHWAY  DAY,48
74,EXT ROADSIDE STANDGAS STATION  DAY,80
75,EXT REST STOPPICKUP TRUCK  DAY LATER,105
76,INT DYSON HOUSE  DAY,120
77,EXT DESERTCOMPOUND  DAY,140
78,EXT COMPOUNDBEHIND THE TRAILERS,22
79,INT WEAPONS CACHE,22
80,EXT COMPOUNDNEARBY,33
81,INT WEAPONS CACHE,68
82,EXT COMPOUND  DAYLATER,116
83,EXT ROAD  DAY,48
84,EXT HIGHWAY  DAYMINUTES LATER,6
85,EXT COMPOUND  DAY LATE AFTERNOON,140
86,EXT COMPOUND  DUSKMINUTES LATER,35
87,INTEXT SARAHS JEEP  DUSK,7
88,EXT HIGHWAY  NIGHT,59
89,INT DYSON HOUSE,25
90,INT DYSONS HOUSE,10
91,EXT DYSON HOUSEEMBANKMENT,8
92,INT DYSON HOUSE,94
93,EXT DYSON HOUSESTREET,6
94,INT HOUSE,176
95,INT HOUSEKITCHEN  LATER,211
96,INT CYBERDYNE SYSTEMS BUILDINGLOBBY  NIGHT,42
97,INT SECOND FLOOR CORRIDOR,25
98,INT FIRST FLOOR CORRIDORLOBBY,21
99,INT SECURITY STATION,35
100,INT LOBBY,12
101,INT SECURITY STATIONLAB,73
102,INT DYSON HOUSE  NIGHT,17
103,EXT HOUSESTREET,7
104,INT CYBERDYNE BUILDINGLAB,61
105,INT SECOND FLOOR SECURITY STATION,13
106,INT LAB,35
107,EXT CYBERDYNE BUILDING,9
108,EXT CYBERDYNE BUILDING,11
109,INTEXT SECOND FLOOR OFFICE,25
110,INT VAULT ANTECHAMBER,10
111,EXTINT LOBBY,19
112,INT VAULT,19
113,INT FIRST FLOOR CORRIDORSTAIRWELL,5
114,INT LABHALL,70
115,INT SECURITY STATIONCORRIDOR,24
116,INT LAB,36
117,INT CORRIDOR,10
118,INT LAB,23
119,EXT BUILDING,19
120,INT SECOND FLOOROFFICECORRIDOR,9
121,INT GROUND FLOORELEVATORLOBBY,139
122,EXT BUILDING,21
123,INT SWAT VAN,9
124,INTEXT LOBBY,20
125,INTEXT SECOND FLOOR,45
126,INTEXT SWAT VANHIGHWAY  NIGHT,181
127,INTEXT PICKUP TRUCK,35
128,INT TANKER CAB,5
129,INTEXT PICKUP,51
130,EXT STEEL MILL,53
131,INT STEEL MILLMAIN AISLE,183
132,INT AISLE BETWEEN FURNACES,51
133,INT AISLE,70
134,INT MAZE OF MACHINES,14
135,INT AISLE BETWEEN FURNACES,110
