1,EXT DESERT  DAY,173
2,EXT STREET BAZAAR  EVENING,172
3,INT BARRACKS  NIGHT,122
4,EXT DESERT  DAY,150
5,INT INTELLIGENCE ROOM  LATER,76
6,INT BARRACKS  LATER,52
7,EXT DESSERT  DAY,297
8,EXT DESERT  LATER,80
9,EXT HUMVEE  SIMULTANEOUS,8
10,EXT HUMVEE  LATER,8
11,EXT DESERT  LATER,677
12,EXT DESERT  LATER,352
13,EXT DESERT  LATER,148
14,EXT DESERT  RISE,150
15,EXT DESERTMOUNTAINS  LATER,443
16,EXT DESERTMESA  LATER,55
17,INT CREVICES  CONTINUOUS,561
18,EXT MESA  EARLY MORNING,310
19,EXT MESA  LATER,99
20,EXT DESERT  LATER,513
21,EXT DESERT  LATER,5
22,EXT DESERT  LATER,11
23,EXT DESERT  EVENING,282
24,INT SHACK  MORNING,148
25,EXT SHIITE CAMP  LATER,504
26,EXT DESERTROAD  LATER,353
