1,EXT COTTAGE  LONG SHOT  NIGHT  MATTE,129
2,INT LIBRARY,274
3,INT  EBONY BOX ON TABLE  CLOSE SHOT AFTERNOON,448
4,INT ENTRANCE HALL  FULL SHOT,15
5,EXT COTTAGE  LONG SHOT  DUSK  MATTE,11
6,EXT ENTRANCE  FULL SHOT,16
7,INT ENTRANCE HALL  MED SHOT,22
8,INT LIBRARY  LONG SHOT,231
9,INT CORRIDOR  MOVING SHOT,8
10,INT LABORATORY  FULL SHOT  NIGHT,247
11,EXT TREE IN GARDEN  FULL SHOT  ANIMATION,18
12,EXT DISTANT HILLSIDE  FULL SHOT  ANIMATION,45
13,INT LIBRARY,38
14,EXT COTTAGE  LONG SHOT  DAY,25
15,EXT ROAD  LONG SHOT  DAY,125
16,INT LABORATORY  FULL SHOT,30
17,EXT STREET  FULL SHOT  NIGHT  STOP MOTION,163
18,EXT STREET IN   LONG SHOT  DAY,38
19,EXT STORE WINDOW  FULL SHOT,15
20,INT DEPARTMENT STORE  LONG SHOT,297
21,EXT TIME MACHINE AND GROUND NEARBY  LONG SHOT,10
22,EXT TIME TRAVELLER  CLOSE SHOT,35
23,EXT TIME TRAVELLER  CLOSE SHOT  DAY,11
24,EXT THE SPHINX  FULL SHOT  LOW ANGLE  MATTE,54
25,EXT ENTRANCE TO GREAT BUILDING  LONG SHOT  DAY,17
26,INT ENTRANCE  MED SHOT,4
27,INT THE GREAT HALL  FULL SHOT  MATTE  DAY,39
28,EXT LANDSCAPE  FULL SHOT  DAY,24
29,EXT WOODED AREA  LONG SHOT,23
30,EXT THE POOL  LONG SHOT  DAY,126
31,EXT ENTRANCE TO THE GREAT BUILDING  SUNSET,112
32,INT THE GREAT HALL  LONG SHOT  MATTE  DAY,193
33,EXT ENTRANCE  MED SHOT  DUSK,8
34,EXT FOREST  LONG SHOT  NIGHT,6
35,EXT TIME TRAVELLER ON THE PATH  NIGHT,7
36,EXT THE LAWN  FULL SHOT  NIGHT,408
37,EXT WELL  FULL SHOT  DAY,72
38,INT GREAT HALL  FULL SHOT  DAY,8
39,INT STONE CORRIDOR  MED SHOT,6
40,INT GREEN MUSEUM  LONG SHOT  DAY  MATTE,153
41,EXT LANDSCAPE  FULL SHOT  DAY,89
42,EXT EDGE OF FOREST  LONG SHOT  DAY,29
43,EXT THE SIRENS ON THE SPHINX  FULL SHOT  DAY,37
44,EXT ENTRANCE TO THE GREAT BUILDING  LONG SHOT ,5
45,EXT LANDSCAPE  EXTREME LONG SHOT  DAY  SPLIT,24
46,EXT THE SPHINX  FULL SHOT  DAY  MATTE,167
47,EXT THE WELL  FULL SHOT  DAY,41
48,INT GREAT CAVERN  FULL SHOT,16
49,INT ENTRANCE TO FEASTING ROOM  FULL SHOT,411
50,EXT THE WELL  MED SHOT  SUNSET,30
51,EXT LANDSCAPE  FULL SHOT  SUNSET,12
52,EXT ENTRANCE TO GREAT BUILDING  LONG SHOT ,9
53,EXT THE BLAZING FOREST  SUNSET  STOCK,13
54,EXT LANDSCAPE  FULL SHOT  DUSK  MINIATURE,68
55,EXT THE POOL  LONG SHOT  NIGHT,118
56,EXT HILL  LONG SHOT  NIGHT  MATTE,20
57,EXT THE WHITE SPHINX  LONG SHOT  NIGHT ,36
58,INT PEDESTAL  LONG SHOT,112
59,INT LABORATORY  LONG SHOT  NIGHT,167
60,EXT LABORATORY WING  FILBYS POV,9
61,INT LIBRARY  FULL SHOT,131
62,INT LIBRARY  FULL SHOT,29
63,INT ENTRANCE HALL,22
