1,EXT HUNGARY  BUDAPEST    DAY,14
2,EXT BUDAPEST STREET  DAY,23
3,EXT SUBWAY EXIT  DAY,7
4,INT BUDAPEST  GALERIA  DAY,119
5,EXT HQ OF BRITISH INTELLIGENCE  THE CIRCUS  DAY,4
6,INT CIRCUS  FIFTH FLOOR ,9
7,INT CIRCUS  CONFERENCE ROOM  DAY,58
8,INT CIRCUS  FIFTH FLOOR  DAY,13
9,INT CIRCUS  STAIRCASE  DAY,19
10,INT CIRCUS  GROUNDFLOOR LOBBY  DAY,7
11,EXT CIRCUS  ROOF OF THE CIRCUS  DAY,5
12,EXT CIRCUS  DAY,12
13,EXT HAMPSTEAD POND  AUTUMN DAY,9
14,EXT HAMPSTEAD POND  DAY,9
15,INT CIRCUS  FIFTH FLOOR  DAY,12
16,INT SMILEYS HOUSE  WINTER DAY,4
17,INT SMILEYS HOUSE  DAY,8
18,INT SMILEYS HOUSE  BEDROOM  NIGHT,5
19,INT CIRCUS  FIFTH FLOOR  ALLELINES OFFICE  NIGHT,6
20,INT CIRCUS  FIFTH FLOOR  EVENING,9
21,EXT OPTICIANS  SPRING DAY,6
22,INT OPTICIANS  DAY,6
23,INT CIRCUS  GROUNDFLOOR LOBBY  EVENING,6
24,INT LONDON UNDERGROUND  EVENING,8
25,EXT SAFE HOUSE  EVENING,5
26,INT SAFE HOUSE  GROUND FLOOR  NIGHT,8
27,INT SAFE HOUSE  GROUND FLOOR  NIGHT,6
28,INT SMILEYS HOUSE  DRAWING ROOM  DAY,7
29,INT SAFE HOUSE  MEETING ROOM  NIGHT,7
30,EXT SAFE HOUSE  NIGHT,6
31,INT SAFE HOUSE  MEETING ROOM  NIGHT,14
32,EXT LACONS HOUSE  EARLY MORNING,7
33,INTEXT LACONS HOUSE  MORNING,47
34,INT CIRCUS  SCALPHUNTERS  DAY,36
35,INT CIRCUS  SCALPHUNTERS  GUILLAMS OFFICE  DAY,17
36,EXT LONDON STREET  EVENING,6
37,EXT SMILEYS HOUSE  EVENING,5
38,INT SMILEYS HOUSE  EVENING,4
39,INT SMILEYS HOUSE  EVENING,6
40,INT SMILEYS HOUSE  KITCHEN  EVENING,5
41,INTEXT SMILEYS HOUSE  EVENING,16
42,INT SMILEYS HOUSE  EVENING,10
43,INT GUILLAMS CAR  EVENING,9
44,INT LACONS HOUSE  EVENING,44
45,INT LACONS HOUSE  NIGHT,57
46,EXT LACONS HOUSE  TERRACE  NIGHT,80
47,EXT LONDON  MENDEL STREET  MORNING,5
48,EXT MENDELS GARDEN  DAY,10
49,EXT MENDELS HOUSE  DAY,12
50,EXT HOTEL ISLAY  DAY,4
51,INT HOTEL ISLAY  SMILEYS ROOM  DAY,98
52,EXT CONTROLS FLAT  DAY,5
53,INT CONTROLS FLAT  HALLWAY  DAY,6
54,INT CONTROLS FLAT  DAY,10
55,INT CONTROLS FLAT  DAY,19
56,INT CIRCUS  TOBY ESTERHASES OFFICE  DAY,19
57,EXT ROOF OF THE CIRCUS  DAY,19
58,INT HOTEL ISLAY  SMILEYS ROOM  DAY,22
59,INT CIRCUS  SCALPHUNTERS  DAY,18
60,INT CIRCUS  MENS ROOM  DAY,15
61,INT CIRCUS  FAWLEYS OFFICE  DAY,17
62,INT CIRCUS  FAWLEYS OFFICE  DAY,21
63,INT CIRCUS  LIFTS  DAY,27
64,INT PUB  DAY,63
