1,EXT DESOLATE MOUNTAIN RANGE  HIGH ANGLE  DAWN,57
2,EXT THE TOP OF THE WATER FALL ,22
3,EXT SNOWCOVERED FOREST  BOND SKIS THROUGH THE PINES ,1
4,EXT MOUNTAIN CLIFF ,3
5,EXT MOUNTAINSIDE ,125
6,EXT A BRITISH WARSHIP  STEAMING IN THE GULF OF OMAN ,1
7,INT WEAPONS CONTROL ROOM  BRITISH WARSHIP ,4
8,EXT DECK OF THE WARSHIP ,2
9,INT WARSHIP WEAPONS CONTROL ROOM ,158
10,INT BONDS MG BOND SHOVES THE THROTTLES TO THE FIREBALL AND ,7
11,INT BONDS MG ,4
12,INTEXT BONDS MIG ,5
13,INTEXT MIG,3
14,INTEXT BONDS MIG ,4
15,INT MIG ,5
16,INTEXT BONDS MIG ,18
17,EXT BONDS MIG ,5
18,EXT OXFORD COLLEGE  DAY,2
19,INT BOOK LINED OFFICE ,44
20,INT MS ANTEROOM  MI,5
21,INT OFFICE  INTERCUT AS NECESSARY,39
22,INT HALLWAY  OUTSIDE JENNYS OFFICE  OXFORD ,35
23,EXT MI LONDON  DAY,2
24,INT CONFERENCE ROOM  DAY,119
25,INT HALLWAY OUTSIDE OF CONFERENCE ROOM  CONTINUOUS,31
26,INT MS ANTEROOM MONEYPENNYS AREA  CONTINUOUS,13
27,INT MS OFFICE  DAY,296
28,EXT VENICE HARBORGRAND CANAL  NIGHT,8
29,EXT PIAZZA SAN MARCO  NIGHT,130
30,EXT RIALTO BRIDGE  FIRST UP STAIRCASE  NIGHT,202
31,EXT VENICE HARBOR  THE NEXT DAY ,4
32,INT DOCKSIDE CAFE ,116
33,INT SEA DOLPHIN II  BELOW DECKS ,12
34,INT METALLURGY LAB  SEA DOLPHIN II  CONTINUOUS,45
35,INT CAFE ,164
36,INT METALLURGY LAB  SEA DOLPHIN II ,50
37,EXT THE SEA DOLPHIN IIHARBOR  DAY,16
38,EXT THE DANIELLI HOTEL  DAY,5
39,INT BONDS HOTEL ROOM ,6
40,EXT GRAND CANAL  BONDS POV,16
41,INT BRIDGE  DUSK,53
42,INT CREWS MESS ,10
43,INT SHIPS HEAD ,6
44,INT ENGINE ROOM ,27
45,EXT MANOR HOUSE  THE COAST OF SCOTLAND  DAY,6
46,INT GRAND ROOM  SCOTTISH MANOR HOUSE ,12
47,INT HARMSWAYS INNER SANCTUM  SCOTTISH MANOR HOUSE  DAY,124
48,EXT LIMOUSINE  MANOR HOUSE  DAY,2
49,INT LIMOUSINE ,2
50,EXT SCOTTISH HIGHLAND ROADWAY  INTEXT LIMOUSINE  MOVING DAY,11
51,EXT SMALL AIRPORT  SCOTLAND ,14
52,INT GULFSTREAM JET  DAY,13
53,INT BRIDGE  NIGHT,66
54,EXT SPACE ,6
55,RETURN ON BRIDGE  INT HMS INDOMITABLE  NIGHT,32
56,EXT UNDERWATER  NIGHT,7
57,INT BRIDGE  NIGHT,33
58,EXT UNDERWATER  NIGHT,7
59,INT ENGINE ROOM ,125
60,THE WORMS POV  UNDERWATER INT PASSAGEWAY ,32
61,EXT THE HMS INDOMITABLE  FOG  NIGHT,2
62,EXT DECK ,7
63,EXT LIFEBOAT ,54
64,EXT LONDON  RESTAURANT BIBENDUM  NIGHT,2
65,INT RESTAURANT BIBENDUM ,24
66,EXT THE BANK OF LONDON  NIGHT,3
67,INT CONFERENCE ROOM  BANK OF LONDON  NIGHT,53
68,EXT STRAIT OF MALACCA  FOG  NIGHT,3
69,INT BRIDGE  SEA DOLPHIN II  NIGHT,10
70,NEUTRAL POV  UNDERWATER  EXT INDOMITABLE,2
71,WORM POV  INT ENGINE ROOM ,7
72,PASSAGEWAY  UNDERWATER  NEUTRAL POV  INT INDOMITABLE ,10
73,INT SEA DOLPHIN BRIDGE ,19
74,INT BILGE HOLD  UNDERWATER ,3
75,INT BRIDGE  SEA DOLPHIN II ,5
76,INT BILGE HOLD  UNDERWATER ,3
77,INT CONFERENCE ROOM  BANK OF ENGLAND  NIGHT,80
78,EXT SEA DOLPHIN II  NIGHT,21
79,INT HALLWAY  BANK OF LONDON  NIGHT ,27
80,EXT BANK OF LONDON  NIGHT  CONTINUOUS ,31
81,EXT HARMSWAY BUILDING HONG KONG AND SHANGHAI BANK  HONG KONG  DUSK,3
82,INT PENTHOUSE BOARDROOM  DUSK,52
83,EXT ROOF OF HARMSWAY BUILDING ,9
84,INT HELICOPTER  AIRBORNE ,7
85,INT HELICOPTERHARMSWAY ROOFTOP POV ,13
86,INT SEA KING HELICOPTER  AIRBORNE  DAY,31
87,NEW ANGLE  EXT SEA RING CHOPPER  HNN BOAT ,5
88,EXT HNN WORLD HEADQUARTERS PETRONAS TOWERS KUALA LUMPUR  DAY,5
89,INT SKY BRIDGE  HNN HEADQUARTERS  DAY,36
90,INT CONFERENCE ROOM  HNN HEADQUARTERS  CONTINUOUS  DAY,53
91,INT SEA KING HELICOPTER  AIRBORNE  DAY,8
92,EXT COASTAL INLET  MARSHLAND  STRAIT OF MALACCA  DAY,59
93,EXT THE RUNNING DOG CIGARETTE BOAT  STRAIT OF MALACCA  DAY ,18
94,EXT PORT KLANG  ESTABLISHING  DAY,41
95,INT HARBOR MASTER OFFICE  PORT KLANG  DAY,31
96,EXT HARBOR MASTERS TOWER  DAY,12
97,EXT KUALA LUMPUR YACHT CLUB  NIGHT,2
98,INT KUALA LUMPUR YACHT CLUB  NIGHT,161
99,EXT A DESERTED MARINA  MORNING ,2
100,EXTINT BOAT AT MARINA  MORNING ,89
101,EXT SPORT FISHING BOAT FLYING BRIDGE  DAY ,61
102,EXT INDOMITABLE  UNDERWATER ,10
103,INT ENGINE ROOM  UNDERWATER ,2
104,INT PASSAGEWAY  UNDER WATER ,4
105,INT CARGO HOLD  UNDER WATER ,11
106,PASSAGE WAY INT INDOMITABLE  UNDER WATER ,40
107,EXT SEA ,11
108,TARO  EXT SALVAGE BARGE DECK ,28
109,INT BRIDGE  SALVAGE BARGE  DAY,98
110,EXT MALACCA STRAIT  DAY,119
111,EXT DECK  THE CUTTER  DAY ,51
112,EXT SPORT FISHING BOAT  STRAIT OF MALACCA  DAY ,9
113,EXT COASTAL ROADWAY  MALAYSIA  BOND CAR  DAY ,3
114,INT BONDS CAR  MOVING  COASTAL ROADWAY  DAY ,16
115,INT HARMSWAYS OUTER OFFICE ,8
116,RETURN ON BOND  INT BONDS CAR  MOVING ,18
117,INT HARMSWAYS OUTER OFFICE ,5
