1,INT LABORATORY  DAY PERIOD  ,159
2,INT MEDICAL EXAM ROOM  HALF A DOZEN MEN  DAY PERIOD ,15
3,INT HOSPITAL ROOM  CLOSE ON GORGEOUS WOMAN  DAY,13
4,INT HOSPITAL HALLWAY OUTSIDE DELIVERY ROOM  PERIOD,18
5,INT HOSPITAL HALLWAY  DELIVERY ROOM  DAY PERIOD,20
6,INT NURSERY  DAY PERIOD,21
7,INT GREENHOUSE  CLOSEUP  JULIUS   DAY,8
8,INT GREENHOUSE  DAY,42
9,EXT ISLAND  CLIFFS  DAY,36
10,INT JULIUSS HUT  DAY,25
11,EXT TROPICAL ISLAND,72
12,INT BEDROOM LA  DAY,89
13,EXT BALCONY  DAY,13
14,EXT ALS HOUSE  AWNING BELOW  DAY,10
15,EXT ALS HOUSE  MUSTANG  DAY,19
16,INT ALS HOUSE  DAY,129
17,INT NEWSROOM  CLOSE  TV  DAY,15
18,INT ALS HOUSE DAY,38
19,EXT AIRPORT PARKING STRUCTURE  ESTABLISHING  DAY,4
20,INT AIRPORT PARKING STRUCTURE  DAY,10
21,INT BODY SHOP  DAY,35
22,EXT AIRPLANE  DAY,4
23,INT AIRPLANE  ON STEWARDESS,120
24,EXT LAX  FROM SKY,8
25,EXT LAX TERMINAL  LATE AFTERNOON,6
26,EXT HOLLYWOOD STREET  BAR  DAY,5
27,INT BAR  DAY,115
28,INT BAR  DAY,53
29,EXT BAR  BACK DOOR  DAY,6
30,INT BAR  DAY,10
31,INT BAR  DAY LATER,48
32,INT BAR  NEAR DOOR  DAY LITTLE LATER,24
33,EXT GRAUMANS CHINESE THEATRE  MAGIC HOUR,12
34,EXT DOWNTOWN HOLLYWOOD STREET  NIGHT,30
35,EXT HOLLYWOOD  NIGHT,19
36,EXT WINDOW OF FREDERICKS OF HOLLWYOOD  WINDOW  NIGHT A,131
37,EXT HOLLYWOOD STREET  NIGHT,43
38,EXT ORPHANAGE  DAY,4
39,EXT ENCLOSED ORPHANAGE PLAYGROUND  DAY,10
40,INT ORPHANAGE DORMITORY  DAY,26
41,INT MOTHER SUPERIORS OFFICE  DAY,45
42,EXT ORPHANAGE  FRONT DOOR  DAY,18
43,INT LOS ANGELES JAIL  HOLDING CELL  DAY,58
44,INT JAIL  VISITING ROOM  DAY,175
45,EXT POLICE STATION  PARKING LOT  DAY,37
46,EXT POLICE IMPOUND OFFICE  DAY,8
47,EXT IMPOUND PARKING LOT  DAY,33
48,EXT IMPOUND PARKING LOT  DAY,45
49,EXT AIRPORT  PARKING LOT  DAY,30
50,INT PARKING LOT  INSIDE CADILLAC  DAY,12
51,EXT HOLLYWOOD OFFICE BUILDING  ESTABLISHING  DAY,3
52,INT VINCES BUILDING  HALLWAY  DAY,29
53,INT VINCES OFFICE,66
54,INT ALS TICKET BOOTH  AL  DAY,8
55,INT VINCES OFFICE  VINCE  DAY,11
56,INT VINCES OFFICE  HALLWAY  EMPTY CORRIDOR OUTSIDE,164
57,EXT VINCES OFFICE  STREET  LATE AFTERNOON,53
58,INT MUSTANG  DRIVING SHOT  LATE AFTERNOON,37
59,INT PARKING LOT  DAY,86
60,EXT LOS ANGELES STREET  MAGIC HOUR,10
61,INT JULIUS CAR  MOVING  DUSK,33
62,EXT SUPERMARKET PARKING LOT  DUSK,15
63,INT SUPERMARKET  NIGHT,159
64,EXT VINCES HOME  NIGHT,66
65,INT VINCES HOUSE  NIGHT,15
66,INT VINCES KITCHEN  NIGHT,17
67,INT VINCES DINING ROOM  NIGHT,15
68,EXT AIRPORT GARAGE  ESTABLISHING  NIGHT,3
69,INT AIRPORT GARAGE  NIGHT,17
70,INT VINCES DINING ROOM  LATER,158
71,EXT AEROSPACE PLANT  ESTABLISHING  DAY,5
72,INT AEROSPACE PLANT  CORRIDOR  DAY,11
73,INT RECEPTION AREA  DAY,18
74,INT GARFIELDS OFFICE  DAY,112
75,INT RECEPTION AREA  DAY,25
76,EXT WINDING ROAD BEL AIR  DAY,5
77,EXT STREET BEL AIR ESTATE  DAY,7
78,EXT BEL AIR ESTATE  DAY,57
79,INT GRANGERS STUDY  DAY,83
80,EXT CHOP SHOP  DAY,6
81,INT CHOP SHOP  INSIDE CADILLAC  DAY,62
82,INT VINCES APARTMENT  DAY,16
83,EXT HOUSTON SKYSCRAPER  DAY,28
84,INT MKINLEYS OFFICE  DAY,21
85,INT VINCES APARTMENT  VINCE,12
86,INT MKINLEYS OFFICE,18
87,INT VINCES APARTMENT  VINCE  DAY,16
88,INT MKINLEYS OFFICE  CLOSEUP  MKINLEY  DAY,14
89,INT VINCES APARTMENT  VINCE  DAY,39
90,INT ALS HOUSE  DAY,92
91,EXT VINCES DRIVEWAY  DAY,214
92,INT VINCES APARTMENT  DAY,75
93,EXT VINCES NEIGHBORHOOD  DAY,17
94,INT VINCES LIVING ROOM  DAY,6
95,INT VINCES BEDROOM  DAY,12
96,INT VINCES KITCHEN  DAY,13
97,INT VINCES FRONT DOOR  DAY,16
98,INT VINCES KITCHEN  DAY,62
99,EXT HIGHWAY  NIGHT,11
100,INT CAR  NIGHT,15
101,EXT HIGHWAY  NIGHT,4
102,EXT GAS STATION  DAWN,30
103,INT GAS STATION  CONVENIENCE STORE  DAWN,44
104,EXT GAS STATION,14
105,EXT ROAD  DAY,10
106,EXT SANTA FE  MOTEL  DAY,42
107,EXT LOS ALAMOS  DAY,5
108,EXT LAB BUILDING  DAY,28
109,INT LAB BUILDING CORRIDOR  DAY,49
110,INT TRAVENS OFFICE  DAY,44
111,INT BASEMENT HALLWAY  DAY,9
112,INT LAB  DAY,98
113,EXT LAB PARKING LOT LOS ALAMOS  DAY,107
114,EXT DOWNTOWN SANTA FE  ESTABLISHING  DAY,3
115,INT CLOTHING STORE SANTA FE  DAY,27
116,EXT CLOTHING STORE  LATER,47
117,EXT PARK SANTA FE  DAY,26
118,INT VINCE AND JULIUSS MOTEL ROOM  NIGHT,79
119,INT DADDYS GIRL  NIGHT,19
120,INT DADDYS GIRL  BOOTH,60
121,INT DADDYS GIRL  MENS ROOM  NIGHT,60
122,INT MKINLEYS OFFICE  NIGHT,40
123,INT DADDYS GIRL  BOOTH  NIGHT,141
124,EXT SANTA FE MOTEL  ESTABLISHING  NIGHT,7
125,INT MOTEL ROOM  NIGHT,231
126,INT VINCE AND LINDAS HOTEL ROOM  NIGHT,130
127,INT JULIUS AND MARNIES MOTEL ROOM  NIGHT LATER,14
128,EXT NEW MEXICO LANDSCAPE  DAY,6
129,EXT SMALL INDIAN VILLAGE NEW MEXICO  DAY,19
130,EXT WHISPERING PINES  DAY,58
131,EXT WHISPERING PINES  OUTER GARDEN WALL  DAY,10
132,EXT WHISPERING PINES  INNER GARDEN  DAY,186
133,EXT WHIPSERING PINES FRONT ENTRYWAY  DAY,23
134,EXT WHISPERING PINES  INNER GARDEN  DAY,34
135,EXT ROADSIDE DINER NEW MEXICO  LATE AFTERNOON,115
136,INT CADDY  VINCE  DUSK,20
137,EXT SANTA FE AIRPORT  MAGIC HOUR,27
138,EXT JULIUSS PLANE,5
139,EXT HOUSTON  ESTABLISHING  CRACK OF DAWN,6
140,EXT CADILLAC HOUSTON  DAY,4
141,INT CADILLAC HOUSTON  CLOSEUP ON VINCE  DAY,5
142,EXT HOUSTON AIRPORT  DAWN,8
143,EXT DOWNTOWN HOUSTON  DAY,19
144,EXT WAREHOUSE HOUSTON  ESTABLISHING  DAY,7
145,INT WAREHOUSE HOUSTON  DAY,62
146,EXT CADDY AT WAREHOUSE  DAY,15
147,INT WAREHOUSE  DAY,62
148,EXT WAREHOUSE  DAY,6
149,INT WAREHOUSE  DAY,18
150,EXT WAREHOUSE  DAY,18
151,INT WAREHOUSE  DAY,17
152,EXT WAREHOUSE  DAY,8
153,INT WAREHOUSE  BACK TO WEBSTER  DAY,282
154,EXT WHISPERING PINES  INNER GARDEN  DAWN,12
155,INT TRAVENS OFFICE LOS ALAMOS  MORNING,19
156,INT LINDAS APARTMENT BUILDING  DAY,40
157,INT LINDAS APARTMENT  DAY,53
158,INT VINCES OFFICES  NIGHT,112
159,EXT GRIFFITH PARK  DAY,55
