1,INT HOUSE  LATE AFTERNOON,43
2,INT WALTERS HOUSE PIANO ROOM  LATER,33
3,INT WALTERS HOUSE  DAY,43
4,INT CONNECTICUT COLLEGE LECTURE HALL  DAY,13
5,EXT CONNECTICUT COLLEGE CAMPUS  DAY,2
6,INT CONNECTICUT COLLEGE CONFERENCE ROOM  LATER,2
7,INT CONNECTICUT COLLEGE WALTERS OFFICE  LATER,35
8,EXT WALTERS HOUSE  AFTERNOON,3
9,INT WALTERS HOUSE KITCHEN  DUSK,6
10,INT WALTERS HOUSE,5
11,INT CONNECTICUT COLLEGE WALTERS OFFICE  DAY,73
12,INT NEW LONDON THE BLIND TIGER BAR  NIGHT,27
13,EXT WALTERS HOUSE  MORNING,2
14,INT WALTERS HOUSE BEDROOM  SAME,14
15,EXT CONNECTICUT COLLEGE CAFFETERIA  DAY,3
16,EXT CONNECTICUT COLLEGE PARKING LOT  LATER,2
17,INT WALTERS CAR  LATE AFTERNOON,3
18,EXT NEW YORK CITY FDR DRIVE  SUNSET,2
19,INT WALTERS CAR  DUSK,3
20,EXT NEW YORK CITY EAST VILLAGE PARKING GARAGE  NIGHT,4
21,EXT NEW YORK STREET EAST VILLAGE  NIGHT,3
22,EXT LIQUOR STORE  LATER,2
23,EXT APARTMENT BUILDING  SAME,4
24,INT APARTMENT BUILDING  SAME,5
25,INT APARTMENT BUILDING FOURTH FLOOR  CONTINUOUS,3
26,INT APARTMENT  CONTINUOUS,21
27,INT WALTERS APARTMENT BATHROOM  SAME,4
28,INT WALTERS APARTMENT HALLWAY  SAME,179
29,INT WALTERS APARTMENT HALLWAY  LATER,49
30,EXT NEW YORK CITY STREET  LATER,34
31,INT WALTERS APARTMENT LIVING ROOM  LATER,27
32,INT WALTERS APARTMENT BEDROOM  NIGHT,3
33,INT WALTERS APARTMENT TAREK AND ZAINABS ROOM  SAME,60
34,EXT WALTERS APARTMENT BUILDING  MORNING,2
35,INT WALTERS APARTMENT BEDROOM  MORNING,2
36,INT WALTERS APARTMENT HALLWAY  LATER,18
37,EXT NEW YORK UNIVERSITY  DAY,2
38,INT NEW YORK UNIVERSITY  DAY,14
39,INT NYU BANQUET HALL  NIGHT,13
40,INT NYU BANQUET HALL  LATER,4
41,INT WALTERS APARTMENT BUILDING  LATER,52
42,INT WALTERS APARTMENT  LATER,5
43,INT WALTERS APARTMENT  LATER,12
44,INT WALTERS APARTMENT LIVING ROOM  LATER,6
45,INT WALTERS APARTMENT WALTERS BEDROOM  LATER,3
46,EXT NEWSSTAND  MORNING,2
47,INT NEW YORK UNIVERSITY CONFERENCE ROOM  DAY,13
48,EXT WASHINGTON SQUARE PARK  LATER,5
49,EXT WASHINGTON SQUARE PARK  LATER,20
50,INT WALTERS APARTMENT BUILDING  CONTINUOUS,4
51,INT WALTERS APARTMENT  LATER,46
52,INT WALTERS APARTMENT BEDROOM  LATER,3
53,INT APARTMENT  LATER,85
54,INT,35
55,INT SMALL RESTAURANT  LATER,5
56,EXT SMALL RESTAURANT  LATER,15
57,EXT WASHINGTON SQUARE PARK  DAY,4
58,INT WALTERS APARTMENT  CONTINUOUS,109
59,EXT STREET FAIR  DAY,3
60,EXT NEW YORK  STREET,5
