1,EXT TOWN,14
2,EXT LUMBER YARD,64
3,INT POLICE CAR,10
4,EXT THE FAMILY HOME,49
5,INT KITCHEN,77
6,INT BEDROOM,19
7,EXT OUTSIDE THE HOUSE,54
8,EXT FOOTBALL FIELD,86
9,EXT OUTSIDE THE WILD CHERRY CASINO,23
10,INT WILD CHERRY CASINO,19
11,INT VIP LOUNGE,57
12,INT CASINO,11
13,INT CRAPS TABLE,96
14,EXT A BRIDGE,3
15,INT HOSPITAL,43
16,INT HOSPITAL WARD,6
17,INT CHRIS HOSPITAL BED,18
18,EXT FAMILY HOUSE,6
19,INT LOUNGE,4
20,INT GARAGE,17
21,INT CAR,25
22,EXT OUTSIDE THE HOUSE,56
23,INT POLICE STATION,46
24,INT FAMILY HOUSE,21
25,EXT OUTSIDE THE HOUSE,58
26,INT FAMILY HOUSE,4
27,EXT OUTSIDE SOME GARAGE,57
28,INT POLICE STATION ROOM,32
29,INT COURTROOM,124
30,EXT POLICE STATION,15
31,INT POLICE STATION,2
32,EXT A COUNTRY ROAD,59
33,EXT RAYS PLACE,28
34,EXT DEALERS HOUSE,37
35,INT FAMILY HOUSE,15
36,INT POLICE STATION,45
37,INT FAMILY HOUSE,8
38,INT POLICE STATION,5
39,EXT WILD CHERRY CASINO,4
40,INT POLICE STATION,18
41,INT FAMILY HOUSE,3
42,INT POLICE STATION,6
43,INT FAMILY HOUSE,6
44,INT POLICE STATION,3
45,INT FAMILY HOUSE,3
46,INT POLICE STATION,10
47,INT FAMILY HOUSE,14
48,INT POLICE STATION,14
49,INT FAMILY HOUSE,5
50,INT POLICE STATION,4
51,INT FAMILY HOUSE,7
52,INT POLICE STATION,2
53,INT FAMILY HOUSE,8
54,INT POLICE STATION,20
55,INT FAMILY HOUSE,17
56,EXT THE MILL,3
57,INT THE MILL,38
