1,EXT CLINTON CORRECTIONAL FACILITY  DAY,115
2,INT KELLER ZABEL INVESTMENTSANDREW ZABELS OFFICE  DAY,47
3,INT TIFFANYS  DAY,19
4,INT JACOBS APARTMENT  NIGHT,57
5,INT KELLER ZABEL INVESTMENTSTRADING FLOOR  MORNING,45
6,INT ONE OAK  NIGHT,106
7,EXT LOWER BROADWAY  NIGHT,113
8,EXT  THIRD AVENUE  MORNING,24
9,INT  GRAMERCY PARK EASTLOBBY  MORNING,8
10,INT LOBBY  MOMENTS LATER,13
11,EXT GRAMERCY PARK  MORNING,64
12,INT KELLER ZABEL INVESTMENTSTRADING FLOOR  DAY,22
13,EXT MIDTOWN DAY,15
14,INT JACOBS APARTMENT  DAY,60
15,INT JACOBS APARTMENT  MOMENTS LATER,10
16,EXT COLUMBIA UNIVERSITYCAMPUS  DAY,4
17,INT COLUMBIA SCHOOL OF BUSINESSURIS LECTURE HALL  DAY,171
18,INT URIS HALLWAY  DAY,7
19,EXT URIS HALL  EXACTLY  MINUTES LATER,19
20,EXT TH STREET  MOMENTS LATER,106
21,INT TH STREET SUBWAY STATION  DAY,53
22,INT THE DOWNTOWN  TRAIN  DAY,112
23,EXT ANDREW ZABELS MATINECOCK LONG ISLAND HOME  DAY,49
24,INT POOL HOUSE  DAY,58
25,EXT ANDREW ZABELS HOME  DAY,102
26,INT KELLER ZABEL INVESTMENTSTRADING FLOOR  DAY,75
27,INT CHRISTIES SHOWING  NIGHT,5
28,INT EVOLUTION STUDIOS  DAY,6
29,INT TRICEBA LOFT  NIGHT,42
30,EXT UNION STATION WASHINGTON DC  NIGHT,4
31,INT WASHINGTON DC RIA RESTAURANT  NIGHT,26
32,EXT MANHATTAN  MONDAY MORNING,2
33,INT STREETACCOUNTCOM OFFICES  MORNING,6
34,INT WINNIES APARTMENTWASHINGTON DC  MORNING,6
35,INT THE CAPITAL FUNDNEW YORK OFFICES  MORNING,8
36,INT WINNIES APARTMENTWASHINGTON DC  MORNING,7
37,INT MORGAN STANLEYPRIVATE CLIENT GROUP OFFICES  MORNING,11
38,INT WINNIES APARTMENTWASHINGTON DC  MORNING,16
39,INT AMLYN PHARMACEUTICALSPRESS ROOM  DAY,6
40,INT WINNIES APARTMENT  NIGHT,47
41,EXT  CENTRAL PARK WEST  NIGHT,4
42,INT  CENTRAL PARK WEST PENTHOUSE  NIGHT,47
43,INT BRETTON WOODSS OFFICE  NIGHT,161
44,EXT  THIRD AVENUE  MORNING,16
45,EXT UPPER EAST SIDEATLANTIC GRILL  DAY,30
46,INT WHOLE FOODS  DAY,68
47,EXT PARK AVENUE  DAY,44
48,INT  PARK AVENUEELEVATOR  DAY,16
49,INT GEKKOS APARTMENTLIVING ROOM  DAY,152
50,EXT PARK AVENUE  NIGHT,51
51,EXT SENATOR LEHIGHS GEORGETOWN HOME  NIGHT,83
52,INT THE LOCUST FUND FOYER  DAY,11
53,INT ELEVATOR  DAY,12
54,INT AUGUSTA HELICOPTER  DAY,3
55,EXT TETERBORO AIRPORT  DAY,5
56,EXT LONDON  NIGHT,3
57,EXT CHELSEA  NIGHT,6
58,INT BRETTON WOODSS CHELSEA HOMETHE BLACK SWAN HOUSE  NIGHT,124
59,INT LONDONSAVOY HOTEL SUITE  NIGHT,25
60,EXT LONDON  DAY,6
61,INT   DAY,54
62,EXT DUBAIAERIAL VIEW  DAY,63
63,EXT BURJ AL ARAB HOTEL  DAY,10
64,INT BURJ AL ARABLOBBY  DAY,8
65,INT HALLWAY  DAY,18
66,INT JACOBS SUITEBATHROOM  NIGHT,6
67,INT THE LEFT BANK  NIGHT,86
68,EXT DUBAI HARBOR  NIGHT,9
69,INT SUBMARINE  NIGHT,11
70,INT THE DECK SALOON  NIGHT,63
71,INT JACOBS SUITE  NIGHT,19
72,INT JACOBS SUITE  LATER,66
73,INT BURJ AL ARABLOBBY  MORNING,22
74,EXT BOWLING GREEN PARK  DAY,141
75,INT THE LOCUST FUNDJACOBS OFFICE  DAY,39
76,EXT  THIRD AVENUE  DAY,15
77,EXT WASHINGTON DC  MORNING,2
78,EXT ROCK CREEK PARK  MORNING,70
79,EXT WESTSIDE HIGHWAY DAY,3
80,INT JETVAN  DAY,26
81,EXT ADIRONDACK FOREST PRESERVE  DAY,106
82,INT JACOBS OFFICE  DAY,33
83,EXT UPPER WEST SIDE  NIGHT,3
84,INT TAXI  NIGHT,25
85,INT SHUN LEE CAFE  NIGHT,58
86,INT WEST TH  NIGHT,41
87,INT JACOBS APARTMENT  NIGHT,33
88,INT NORMAS  MORNING,235
89,INT FINANCIAL FOLLIES  LATER,148
90,EXT  THIRD AVENUE  MORNING,10
91,INT THE LOCUST FUNDJACOBS OFFICE  MORNING,49
92,INT JACOBS APARTMENT  NIGHT,62
93,INT THE LOCUST FUNDJACOBS OFFICE  MORNING,87
94,INT CENTRAL PARK  DUSK,134
95,INT TH STREET DINER  NIGHT,13
