1,EXT,35
2,EXT,16
3,INT DELLAS HOUSE KENNETHS MEDIA ROOM  EVENING,94
4,INT STAIRS  EVENING,10
5,INT THE TWINS BEDROOM  EVENING,57
6,INT,5
7,INT,10
8,INT KITCHEN  EVENING,6
9,INT STAIRWAY  EVENING,9
10,EXT,9
11,INT,24
12,EXT PLEASANT VALLEY BOULEVARD  EVENING,8
13,EXT PLEASANT VALLEY CRESCENT  EVENING,6
14,INT FORD EXPLORER  EVENING,7
15,EXT PLEASANT VALLEY DRIVE  EVENING,6
16,INT FORD EXPLORER  EVENING,23
17,EXT PLEASANT VALLEY DRIVE  EVENING,5
18,INT FORD EXPLORER EXT PLEASANT VALLEY DRIVE  EVENING,119
19,EXT,6
20,INT,95
21,INT FORD EXPLOREREXT RAILWAY CROSSING  EVENING,93
22,EXT MALL PARKING LOT ENTRANCE  EVENING,9
23,INT FORD EXPLORER  EVENING,8
24,EXT MALL PARKING LOTINT FORD  EVENING,25
25,INT FORD EXPLORER  EVENING,7
26,EXT MALL PARKING LOT  EVENING,7
27,INT FORD EXPLORER  EVENING,6
28,EXT MALL PARKING LOT  EVENING,11
29,INT FORD EXPLOREREXT MALL PARKING LOT  EVENING,32
30,EXT MALL PARKING LOT  EVENING,6
31,INT FORD EXPLOREREXT MALL PARKING LOT  EVENING,16
32,EXT MALL PARKING LOT  EVENING,8
33,INT FORD EXPLORER  EVENING,9
34,EXT MALL PARKING LOT  EVENING,35
35,EXT MALL ENTRANCE  EVENING,6
36,INT,33
37,INT,23
38,INT MALL  EVENING,7
39,INT COFFEE SHOP  EVENING,36
40,INT MALL  EVENING,56
41,INT,47
42,INT MALL  EVENING,24
43,EXT MALL ENTRANCE  EVENING,48
44,INT,21
45,EXT MALL PARKING LOT  EVENING,206
46,INT,23
47,EXT MALL PARKING LOT  EVENING,50
48,EXT,11
49,INT FORD EXPLORER  EVENING,29
50,EXT SERVICE ROAD  EVENING,9
51,INT FORD EXPLORER  EVENING,9
52,EXT SERVICE ROAD  EVENING,7
53,INT FORD EXPLORER  EVENING,4
54,EXT SERVICE ROAD  EVENING,5
55,EXT EMPTY HOUSING ESTATE ROAD  EVENING,5
56,EXT EMPTY HOUSING ESTATE  EVENING,9
57,EXT SEVEN ELEVEN MINI MALL  EVENING,7
58,INT FORD EXPLORER  EVENING,4
59,EXT EMPTY HOUSING ESTATE  EVENING,5
60,EXT FILLING STATION  EVENING,5
61,INT FORD EXPLORER  EVENING,6
62,EXT FILLING STATION  EVENING,5
63,EXT EMPTY HOUSING ESTATE  EVENING,9
64,INT FORD EXPLORER  EVENING,5
65,EXT ROUGH ROAD  EVENING,5
66,INT FORD EXPLORER  EVENING,5
67,EXT ROUGH ROAD  EVENING,5
68,INT FORD EXPLORER  EVENING,7
69,EXT EDGE OF WOODS  EVENING,5
70,INT FORD EXPLORER  EVENING,4
71,EXT EDGE OF WOODS  EVENING,4
72,INT FORD EXPLORER  EVENING,18
73,EXT EDGE OF WOODS  EVENING,28
74,INT,10
75,EXT,11
76,EXT ROUGH ROAD  EVENING,8
77,EXT EDGE OF WOODS  EVENING,73
78,EXT ROUGH ROAD  EVENING,78
79,EXT EDGE OF WOODS  EVENING,35
80,EXT UNFINISHED HOUSE   EVENING,9
81,EXT EDGE OF WOODSCONSTRUCTION SITE  EVENING,30
82,EXT PLANKS IN TARP  EVENING,11
83,EXT CEMENT PILES  EVENING,6
84,EXT CONSTRUCTION SITE  EVENING,13
85,EXT UNFINISHED HOUSE   EVENING,11
86,EXT CONSTRUCTION SITE  EVENING,20
87,INT UNFINISHED HOUSE   EVENING,10
88,EXT CONSTRUCTION SITE EVENING,6
89,EXT FENCE EVENING,9
90,EXT CONSTRUCTION SITE EVENING,6
91,EXT MUD EVENING,4
92,EXT PLANK BETWEEN TWO HOUSES EVENING,6
93,EXTINT UNFINISHED HOUSE  EVENING,12
94,EXT PLANK BETWEEN TWO HOUSES  EVENING,14
95,INT UNFINISHED HOUSE  FOUNDATION EVENING,27
96,INT UNFINISHED HOUSE  EVENING,226
97,EXT,71
98,EXT XD TREES  EVENING,7
99,EXT WOODS EVENING,24
100,EXT LEDGE  EVENING,7
101,EXT,110
102,EXT LEDGE  EVENING,70
103,EXT STEEP INCLINE  EVENING,138
104,EXT,27
105,EXT DEADWOOD PILE  EVENING,164
106,EXT,107
107,EXT,16
108,EXT PINE TREE  EVENING,21
109,EXT STREAM THROUGH WOODS  EVENING,54
110,EXT EMBANKMENT  EVENING,115
111,EXT,348
112,EXT WOODS  EVENING,14
113,EXT PERIPHERAL WOODS  EVENING,12
114,INT EXPLORER EVENING,5
115,EXT PERIPHERAL WOODS  EVENING,19
116,INT FORD  EVENING,12
117,EXT ROUGH ROAD  EVENING,5
118,EXT EMPTY HOUSING ESTATE  EVENING,7
119,INT FORD EXPLORER EVENING,7
120,EXT MALL ROAD  EVENING,4
121,INT FORD EXPLORER  EVENING,5
122,EXT MALL ROAD  EVENING,8
123,INT FORD EXPLORER  EVENING,6
124,EXT MALL ROAD  EVENING,7
125,INT FORD EXPLORER  EVENING,32
126,EXT RAILWAY ROAD  EVENING,4
127,INT FORD EXPLORER  EVENING,11
128,EXT CROSSROADS  EVENING,4
129,INT FORD EXPLORER  EVENING,19
130,EXT PLEASANT DRIVE  EVENING,31
131,EXT DELLAS HOUSE  EVENING,12
132,INT,54
133,INT STAIRWAY  EVENING,4
134,INT THE TWINS BEDROOM  EVENING,9
135,INT STAIRWAY  EVENING,4
