1,EXT ABOVE THE CLOUDS  DAY,62
2,EXT TECUMSEH HIGH SCHOOL  DAY,25
3,INT TECUMSEH HIGH SCHOOL  CORRIDOR  DAY,45
4,INT TECUMSEH HIGH SCHOOL  NEWSROOM  DAY,57
5,INT TEDS OFFICE  NEWSROOM  DAY,15
6,INT CORRIDOR  TECUMSEH HIGH SCHOOL  DAY,34
7,INT BASKETBALL COURT  TECUMSEH HIGH SCHOOL  DAY,112
8,INT TEACHERS LOUNGE  TECUMSEH HIGH SCHOOL  DAY,39
9,INT TEDS OFFICE  NEWSROOM  DAY,144
10,INT TECUMSEH HIGH SCHOOL  MENS ROOM  DAY,21
11,INT THE NELSON KITCHEN  EVENING,66
12,EXT NELSON HOUSE  EVENING,46
13,INT NELSON LIVING ROOM  NIGHT,52
14,INT TEDS BEDROOM  NIGHT,94
15,EXT LAX  DAY,2
16,INT LAX  DAY,39
17,INT LAX  TERMINAL  DAY,31
18,INT STRETCH LIMO  DAY,62
19,EXT LIMO  DAY  MOVING,10
20,EXT ENTRY GATE  DAY,7
21,EXT LIMO  DAY,11
22,EXT HEAVEN MANSION  DAY,31
23,INT HEAVEN MANSION  CONFERENCE ROOM  DAY,162
24,INT HEAVEN MANSION  LIVING ROOM  DAY,22
25,INT HEAVEN MANSION  GAME ROOM  DAY,24
26,INT HEAVEN MANSION  SWIMMING ROOM  DAY,6
27,EXT HEAVEN MANSION  SWIMMING POOL  DAY,77
28,INT,11
29,INT TEDS BEDROOM  HEAVEN MANSION  NIGHT,60
30,INT TEDS BEDROOM  HEAVEN MANSION  NIGHT,45
31,INT HEAVEN MANSION  UPSTAIRS CORRIDOR  NIGHT,12
32,INT HEAVEN MANSION  MASTER BEDROOM  NIGHT,57
33,INT HEAVEN MANSION  GARAGE  THE NEXT MORNING,41
34,EXT HEAVEN MANSION  GARAGE  DAY,58
35,EXT BEVERLY HILLS  DAY,7
36,INT CLOTHING STORE  DAY,13
37,INT A CHIC EYEWEAR BOUTIQUE  DAY,42
38,INT HEAVEN HEADQUARTERS  DAY,61
39,INT MASTER BEDROOM CLOSET  HEAVEN MANSION  NIGHT,116
40,EXT JACUZZI  NIGHT,115
41,INT HEAVEN MANSION  TEDS BEDROOM  MORNING,13
42,INT HOTEL BALLROOM  DAY,41
43,INT CHRISTY MALONES BATHROOM  SAME,6
44,INT JULIE CONROYS BEDROOM  SAME,4
45,INT PRINCIPAL MERKINS DEN  SAME,6
46,INT NELSON FAMILY ROOM  SAME,34
47,EXT NELSON HOUSE  DAY,50
48,INT THE NELSON HOUSE  KITCHEN  DAY,5
49,INT HEAVEN MANSION  TEDS ROOM  DAY,33
50,EXT TECUMSEH HIGH SCHOOL  MORNING,63
51,INT PRINCIPAL MERKINS OFFICE  DAY,47
52,INT NEWSROOM  DAY,76
53,INT NELSON DINING ROOM  DAY,110
54,EXT ABOVE THE CLOUDS  DAY,3
55,INT THE HEAVEN JET  DAY,94
56,INT GREEN ROOM  DAY,53
57,INT THE TONIGHT SHOW SET  DAY,48
58,INT PRINCIPAL MERKINS KITCHEN  MORNING,58
59,INT PRINCIPAL MERKINS HONDA CIVIC  MOVING  DAY,16
60,INT TECUMSEH HIGH SCHOOL  CORRIDOR  DAY,6
61,INT CITY COUNCIL HALL  EVENING,106
62,INT CITY BUILDING CORRIDOR  SAME TIME,29
63,EXT DOWNTOWN BUILDING  XENIA  DAY,7
64,INT BUILDING CORRIDOR  DAY,19
65,INT TEDS OFFICE  DAY,24
66,INT TEDS BEDROOM  DAY,51
67,EXT THE NELSON HOUSE  DAY,14
68,INT NELSON LIVING ROOM  DAY,77
69,INT SCHOOL GYMNASIUM  NIGHT,176
70,INT ELEVATOR  NIGHT,6
71,INT HOTEL PENTHOUSE  NIGHT,60
72,EXT HOLIDAY INN  NIGHT,15
73,EXT STREETS OF XENIA  CONTINUOUS,8
74,EXT JULIES BACKYARD  NIGHT,4
75,INT JULIES TREE HOUSE  NIGHT,106
76,INT OLD FOLKS HOME  NIGHT,7
77,INT SOUP KITCHEN  ANOTHER NIGHT,4
78,EXT HIGHWAY  SATURDAY AFTERNOON,9
79,EXT XENIA  WATER TOWER  DAY,76
80,INT TEDS LUXURIOUS HOTEL SUITE  DESK AREA  THAT NIGHT,198
81,INT JULIES BEDROOM  NIGHT,16
82,INT CINCINNATI NIGHTCLUB  NIGHT,132
83,EXT NIGHTCLUBCINCINNATI STREET  NIGHT,51
84,INT TECUMSEH HIGH SCHOOL  GIRLS LOCKER ROOM  NIGHT,158
85,INT TECUMSEH HIGH SCHOOL  CORRIDOR  NIGHT,14
86,INT GIRLS RESTROOM  CONTINUOUS,44
87,INT SCHOOL CORRIDOR  DAY,38
88,INT HEAVEN MANSION  CONFERENCE ROOM  DAY,46
89,INT HEAVEN MANSION  TEDS OFFICE  DAY,23
90,INT MANSION ATTIC  DAY,53
91,INT NELSON LIVING ROOM  DAY,52
92,INT NELSON GROCERY STORE  DAY,8
93,INT CONFERENCE HALL  DAY,99
94,INT HEAVEN HEADQUARTERS  DAY,25
95,EXT JULIES HOUSE  DAY,21
96,INT MERKINS HONDA CIVIC  MOVING  DAY,20
97,EXT SCHOOL PARKING LOT  DAY,8
98,EXT SCHOOL STADIUM  DAY,4
99,INTEXT NELSONS HOUSE  EVENING,108
100,EXT LONDON  BUCKINGHAM PALACE  DAY,13
101,INT LONDON DRAG CLUB  NIGHT,15
102,EXT UTAH FARM  DAY,13
103,INT TELEMARKETING CUBICLE  DAY,11
